pauli,vac,tor,cmb,c_inv_r3,c_r
2.0,0.01,1.0,0.0,160426.781,125.156
2.0,0.1,2.0,0.0,168646.453,-237.244
2.0,0.1,2.0,0.0,0.0,139448.5
4.0,0.1,2.0,0.0,205.31,3706.833
5.0,0.0,0.5,0.0,0.0,0.871
5.0,0.01,0.5,0.0,686.35,-2407.961
5.0,0.01,1.0,0.0,762.013,-1868.879
5.0,0.1,1.0,0.0,531.517,-1795.647
5.0,0.1,2.0,0.0,0.0,0.0
6.0,0.0,0.5,0.0,1261.179,760.496
6.0,0.0,1.0,0.0,635.121,245.046
6.0,0.0,2.0,0.0,1259.406,5992.852
6.0,0.01,0.5,0.0,720.849,960.619
6.0,0.01,1.0,0.0,383.016,1417.903
6.0,0.01,2.0,0.0,804.069,2948.89
6.0,0.1,1.0,0.0,1141.682,2929.581
6.0,0.1,2.0,0.0,0.0,0.0
