pauli,vac,tor,cmb,c_inv_r3,c_r
2.0,0.0,0.5,0.0,224823.734,12136.003
2.0,0.0,0.5,0.0,224823.734,12136.003
2.0,0.0,0.5,0.0,224823.734,12136.003
2.0,0.0,0.5,0.01,224823.734,12136.003
2.0,0.0,0.5,0.01,224823.734,12136.003
2.0,0.0,0.5,0.05,224823.734,12136.003
2.0,0.0,0.5,0.05,224823.734,12136.003
2.0,0.0,1.0,0.0,-150971.656,-557.059
2.0,0.0,1.0,0.0,-150971.656,-557.059
2.0,0.0,1.0,0.0,-150971.656,-557.059
2.0,0.0,1.0,0.01,-150971.656,-557.059
2.0,0.0,1.0,0.05,-150971.656,-557.059
2.0,0.0,1.0,0.05,-69924.141,-604.319
2.0,0.0,2.0,0.0,-31014.752,-111519.695
2.0,0.0,2.0,0.0,-31014.752,-111519.695
2.0,0.0,2.0,0.0,-31014.752,-111519.695
2.0,0.0,2.0,0.01,-31014.752,-111519.695
2.0,0.0,2.0,0.01,-31014.752,-111519.695
2.0,0.0,2.0,0.05,-31014.752,-111519.695
2.0,0.0,2.0,0.05,-31014.752,-111519.695
2.0,0.01,0.5,0.0,278798.312,-4830.342
2.0,0.01,0.5,0.0,278798.312,-4830.342
2.0,0.01,0.5,0.0,278798.312,-4830.342
2.0,0.01,0.5,0.01,278798.312,-4830.342
2.0,0.01,0.5,0.01,278798.312,-4830.342
2.0,0.01,0.5,0.05,278798.312,-4830.342
2.0,0.01,1.0,0.0,160426.781,125.156
2.0,0.01,1.0,0.0,171723.266,-3624.43
2.0,0.01,1.0,0.0,171723.266,-3624.43
2.0,0.01,1.0,0.01,171723.266,-3624.43
2.0,0.01,1.0,0.05,171723.266,-3624.43
2.0,0.01,2.0,0.0,39010.188,9092.732
2.0,0.01,2.0,0.01,-80116.578,8684.402
2.0,0.01,2.0,0.05,39010.188,9092.732
2.0,0.1,0.5,0.0,85221.477,-2546.441
2.0,0.1,0.5,0.0,85221.477,-2546.441
2.0,0.1,0.5,0.01,85221.477,-2546.441
2.0,0.1,0.5,0.05,85221.477,-2546.441
2.0,0.1,1.0,0.0,421624.188,-13017.812
2.0,0.1,1.0,0.0,421624.188,-13017.812
2.0,0.1,1.0,0.01,421624.188,-13017.812
2.0,0.1,1.0,0.05,421624.188,-13017.812
2.0,0.1,2.0,0.0,168646.453,-237.244
2.0,0.1,2.0,0.0,0.0,139448.5
2.0,0.1,2.0,0.0,3132.092,-25057.135
2.0,0.1,2.0,0.0,3132.092,-25057.135
2.0,0.1,2.0,0.01,3132.092,-25057.135
2.0,0.1,2.0,0.05,3132.092,-25057.135
3.0,0.0,0.5,0.0,102985.938,3328.358
3.0,0.0,0.5,0.0,102985.938,3328.358
3.0,0.0,0.5,0.01,102985.938,3328.358
3.0,0.0,0.5,0.05,102985.938,3328.358
3.0,0.0,1.0,0.0,15194.591,8362.95
3.0,0.0,1.0,0.0,15194.591,8362.95
3.0,0.0,1.0,0.01,15194.591,8362.95
3.0,0.0,1.0,0.05,15194.591,8362.95
3.0,0.0,2.0,0.0,738136.188,7752.554
3.0,0.0,2.0,0.0,738136.188,7752.554
3.0,0.0,2.0,0.01,738136.188,7752.554
3.0,0.0,2.0,0.05,738136.188,7752.554
3.0,0.01,0.5,0.0,185602.781,3542.175
3.0,0.01,0.5,0.0,185602.781,3542.175
3.0,0.01,0.5,0.01,185602.781,3542.175
3.0,0.01,0.5,0.05,185602.781,3542.175
3.0,0.01,1.0,0.0,387146.0,7463.851
3.0,0.01,1.0,0.0,387146.0,7463.851
3.0,0.01,1.0,0.01,387146.0,7463.851
3.0,0.01,1.0,0.05,387146.0,7463.851
3.0,0.01,2.0,0.0,7966.216,705.247
3.0,0.01,2.0,0.0,7966.216,705.247
3.0,0.01,2.0,0.01,7966.216,705.247
3.0,0.01,2.0,0.05,7966.216,705.247
3.0,0.1,0.5,0.0,421766.688,5257.554
3.0,0.1,0.5,0.0,421766.688,5257.554
3.0,0.1,0.5,0.01,421766.688,5257.554
3.0,0.1,0.5,0.05,421766.688,5257.554
3.0,0.1,1.0,0.0,32873.59,6497.628
3.0,0.1,1.0,0.0,32873.59,6497.628
3.0,0.1,1.0,0.01,32873.59,6497.628
3.0,0.1,1.0,0.05,32873.59,6497.628
3.0,0.1,2.0,0.0,438288.25,7981.656
3.0,0.1,2.0,0.0,438288.25,7981.656
3.0,0.1,2.0,0.01,438288.25,7981.656
3.0,0.1,2.0,0.05,438288.25,7981.656
4.0,0.0,0.5,0.0,200.891,3690.743
4.0,0.0,0.5,0.0,200.891,3690.743
4.0,0.0,0.5,0.01,200.891,3690.743
4.0,0.0,0.5,0.05,200.891,3690.743
4.0,0.0,1.0,0.0,198.647,4927.049
4.0,0.0,1.0,0.0,198.647,4927.049
4.0,0.0,1.0,0.01,198.647,4927.049
4.0,0.0,1.0,0.05,198.647,4927.049
4.0,0.0,2.0,0.0,205.927,3574.813
4.0,0.0,2.0,0.0,205.927,3574.813
4.0,0.0,2.0,0.01,205.927,3574.813
4.0,0.0,2.0,0.05,205.927,3574.813
4.0,0.01,0.5,0.0,200.646,4083.427
4.0,0.01,0.5,0.0,200.646,4083.427
4.0,0.01,0.5,0.01,200.646,4083.427
4.0,0.01,0.5,0.05,200.646,4083.427
4.0,0.01,1.0,0.0,199.795,4558.533
4.0,0.01,1.0,0.0,199.795,4558.533
4.0,0.01,1.0,0.01,199.795,4558.533
4.0,0.01,1.0,0.05,199.795,4558.533
4.0,0.01,2.0,0.0,206.05,3505.685
4.0,0.01,2.0,0.0,206.05,3505.685
4.0,0.01,2.0,0.01,206.05,3505.685
4.0,0.01,2.0,0.05,206.05,3505.685
4.0,0.1,0.5,0.0,199.998,3850.391
4.0,0.1,0.5,0.0,199.998,3850.391
4.0,0.1,0.5,0.01,199.998,3850.391
4.0,0.1,0.5,0.05,199.998,3850.391
4.0,0.1,1.0,0.0,203.041,3669.954
4.0,0.1,1.0,0.0,203.041,3669.954
4.0,0.1,1.0,0.01,203.041,3669.954
4.0,0.1,1.0,0.05,203.041,3669.954
4.0,0.1,2.0,0.0,205.31,3706.833
4.0,0.1,2.0,0.0,205.31,3706.833
4.0,0.1,2.0,0.0,205.31,3706.833
4.0,0.1,2.0,0.01,205.31,3706.833
4.0,0.1,2.0,0.05,205.31,3706.833
5.0,0.0,0.5,0.0,0.0,0.871
5.0,0.0,0.5,0.0,424.355,-1249.476
5.0,0.0,0.5,0.0,424.355,-1249.476
5.0,0.0,0.5,0.01,424.355,-1249.476
5.0,0.0,0.5,0.05,424.355,-1249.476
5.0,0.0,1.0,0.0,835.951,-1282.575
5.0,0.0,1.0,0.0,835.951,-1282.575
5.0,0.0,1.0,0.01,835.951,-1282.575
5.0,0.0,1.0,0.05,835.951,-1282.575
5.0,0.0,2.0,0.0,1412.638,1348.424
5.0,0.0,2.0,0.0,1412.638,1348.424
5.0,0.0,2.0,0.01,1412.638,1348.424
5.0,0.0,2.0,0.05,1412.638,1348.424
5.0,0.01,0.5,0.0,686.35,-2407.961
5.0,0.01,0.5,0.0,517.205,-2176.809
5.0,0.01,0.5,0.0,517.205,-2176.809
5.0,0.01,0.5,0.01,517.205,-2176.809
5.0,0.01,0.5,0.05,517.205,-2176.809
5.0,0.01,1.0,0.0,762.013,-1868.879
5.0,0.01,1.0,0.0,750.695,-1638.561
5.0,0.01,1.0,0.0,750.695,-1638.561
5.0,0.01,1.0,0.01,750.695,-1638.561
5.0,0.01,1.0,0.05,750.695,-1638.561
5.0,0.01,2.0,0.0,1309.11,1705.464
5.0,0.01,2.0,0.0,1309.11,1705.464
5.0,0.01,2.0,0.01,1309.11,1705.464
5.0,0.01,2.0,0.05,1309.11,1705.464
5.0,0.1,0.5,0.0,987.54,-849.804
5.0,0.1,0.5,0.0,987.54,-849.804
5.0,0.1,0.5,0.01,987.54,-849.804
5.0,0.1,0.5,0.05,987.54,-849.804
5.0,0.1,1.0,0.0,531.517,-1795.647
5.0,0.1,1.0,0.0,705.067,-5109.888
5.0,0.1,1.0,0.0,705.067,-5109.888
5.0,0.1,1.0,0.01,705.067,-5109.888
5.0,0.1,1.0,0.05,705.067,-5109.888
5.0,0.1,2.0,0.0,0.0,0.0
5.0,0.1,2.0,0.0,785.388,-908.102
5.0,0.1,2.0,0.0,785.388,-908.102
5.0,0.1,2.0,0.01,785.388,-908.102
5.0,0.1,2.0,0.05,785.388,-908.102
6.0,0.0,0.5,0.0,1261.179,760.496
6.0,0.0,0.5,0.0,1261.179,760.496
6.0,0.0,0.5,0.0,1261.179,760.496
6.0,0.0,0.5,0.01,1261.179,760.496
6.0,0.0,0.5,0.05,1261.179,760.496
6.0,0.0,1.0,0.0,635.121,245.046
6.0,0.0,1.0,0.0,635.121,245.046
6.0,0.0,1.0,0.0,635.121,245.046
6.0,0.0,1.0,0.01,635.121,245.046
6.0,0.0,1.0,0.05,635.121,245.046
6.0,0.0,2.0,0.0,1259.406,5992.852
6.0,0.0,2.0,0.0,1259.406,5992.852
6.0,0.0,2.0,0.0,1259.406,5992.852
6.0,0.0,2.0,0.01,1259.406,5992.852
6.0,0.0,2.0,0.05,1259.406,5992.852
6.0,0.01,0.5,0.0,720.849,960.619
6.0,0.01,0.5,0.0,2478.886,-967.91
6.0,0.01,0.5,0.0,2478.886,-967.91
6.0,0.01,0.5,0.01,2478.886,-967.91
6.0,0.01,0.5,0.05,2478.886,-967.91
6.0,0.01,1.0,0.0,383.016,1417.903
6.0,0.01,1.0,0.0,650.701,349.963
6.0,0.01,1.0,0.0,650.701,349.963
6.0,0.01,1.0,0.01,650.701,349.963
6.0,0.01,1.0,0.05,650.701,349.963
6.0,0.01,2.0,0.0,804.069,2948.89
6.0,0.01,2.0,0.0,804.069,2948.89
6.0,0.01,2.0,0.0,804.069,2948.89
6.0,0.01,2.0,0.01,804.069,2948.89
6.0,0.01,2.0,0.05,804.069,2948.89
6.0,0.1,0.5,0.0,1769.981,1819.878
6.0,0.1,0.5,0.0,1769.981,1819.878
6.0,0.1,0.5,0.01,1769.981,1819.878
6.0,0.1,0.5,0.05,1769.981,1819.878
6.0,0.1,1.0,0.0,1141.682,2929.581
6.0,0.1,1.0,0.0,1141.682,2929.581
6.0,0.1,1.0,0.0,1141.682,2929.581
6.0,0.1,1.0,0.01,1141.682,2929.581
6.0,0.1,1.0,0.05,1141.682,2929.581
6.0,0.1,2.0,0.0,0.0,0.0
6.0,0.1,2.0,0.0,1555.033,5854.914
6.0,0.1,2.0,0.0,1555.033,5854.914
6.0,0.1,2.0,0.01,1555.033,5854.914
6.0,0.1,2.0,0.05,1555.033,5854.914
