Feature,x,y,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9999853078709884,0.9999389293406856,0.9999999995013162,-0.21414581684931447,nan,-0.097332958175279,-0.13017122643372375,-0.4207099470860418,-0.9788311143659557,0.2142378201499608,-0.0024964583428905705,-0.09733461143725292,0.9999387085949071,-0.13023652718888423,-0.09738202992096422,-0.9737181518351303
y,0.9999853078709884,1.0,0.9999841394227889,0.9999852901515325,-0.20935371577318432,nan,-0.09738062143372417,-0.13010997798499516,-0.4220278931188818,-0.9789124591372997,0.20944590194531623,-0.002948165454742514,-0.09738228010491734,0.9999840259868484,-0.13017766772388797,-0.09743160666715342,-0.9740586043872391
r,0.9999389293406856,0.9999841394227887,1.0,0.9999388936268883,-0.20434114117039454,nan,-0.09733339523481765,-0.1299340178828081,-0.4234002364533582,-0.9789690920236901,0.2044334293264237,-0.003457371810673866,-0.09733505964006267,0.9999999997171584,-0.13000459887687799,-0.0973867903446419,-0.9743865237151198
hue,0.9999999995013161,0.9999852901515326,0.9999388936268881,1.0,-0.21414895403209416,nan,-0.0973344255019011,-0.1301731868555099,-0.42068560797657367,-0.9788363690503132,0.2142409587234819,-0.002496500475435335,-0.09733607878880879,0.9999386726900449,-0.13023848859251325,-0.09738349797219582,-0.9737121042648684
gamma,-0.2141458168493145,-0.20935371577318432,-0.20434114117039454,-0.21414895403209416,0.9999999999999999,nan,-0.15456929883421328,-0.09483099679751585,-0.1501590010086821,0.19245898083191057,-0.9999993352822476,-0.2045543340497796,-0.1545714364599408,-0.20432057317387015,-0.09643289264230752,-0.15612980516279243,0.14421734293165722
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.097332958175279,-0.09738062143372417,-0.09733339523481765,-0.0973344255019011,-0.15456929883421328,nan,1.0,0.9802551164645235,-0.06379185640963468,0.08950486025460075,0.15407325018099696,-0.0002165659812002981,0.9999999996630901,-0.0973284442961301,0.9799826955910936,0.9997700500572967,0.06712697900915077
1/r^2,-0.13017122643372375,-0.13010997798499516,-0.12993401788280812,-0.13017318685550994,-0.09483099679751585,nan,0.9802551164645235,1.0,-0.08487740878142082,0.11982277672486503,0.0942782527778811,-0.0002129240994069555,0.9802569892681366,-0.12992753399535273,0.999876963118003,0.9801975989024565,0.08990428630670697
sin(hue),-0.42070994708604187,-0.4220278931188818,-0.42340023645335817,-0.42068560797657367,-0.15015900100868207,nan,-0.06379185640963468,-0.08487740878142083,1.0,0.312296677412482,0.1502189830924267,0.0010289672608280863,-0.06379286206293996,-0.42341141727711734,-0.08490838476559164,-0.06381558051137941,0.6157365806538913
cos(hue),-0.9788311143659558,-0.9789124591372996,-0.9789690920236901,-0.9788363690503133,0.19245898083191057,nan,0.08950486025460075,0.11982277672486503,0.31229667741248196,0.9999999999999999,-0.19254373577969824,0.0033326911522960686,0.0895064088615797,-0.978969058752048,0.1198878580061974,0.08955367407789337,0.9274036567517605
m0/gamma,0.2142378201499608,0.20944590194531623,0.2044334293264237,0.2142409587234819,-0.9999993352822476,nan,0.15407325018099696,0.0942782527778811,0.1502189830924267,-0.19254373577969824,1.0,0.20454156060051434,0.15407538437021134,0.20441285655860686,0.09588001999751403,0.15563400341368827,-0.1442809090653918
x/r^3,-0.0024964583428905705,-0.0029481654547425145,-0.0034573718106738665,-0.0024965004754353344,-0.20455433404977957,nan,-0.0002165659812002981,-0.0002129240994069555,0.0010289672608280863,0.0033326911522960686,0.20454156060051434,1.0,-0.00019240965587702342,-0.003463131909105474,0.014836627930723687,0.018952665969472923,0.0026079530461705306
y/r^3,-0.09733461143725292,-0.09738228010491734,-0.09733505964006267,-0.09733607878880879,-0.15457143645994081,nan,0.99999999966309,0.9802569892681365,-0.06379286206293996,0.08950640886157972,0.15407538437021134,-0.0001924096558770234,0.9999999999999998,-0.09733010876037114,0.9799849417448723,0.9997705270398736,0.0671281444839695
d12,0.9999387085949071,0.9999840259868485,0.9999999997171585,0.9999386726900449,-0.20432057317387015,nan,-0.0973284442961301,-0.12992753399535273,-0.4234114172771173,-0.9789690587520479,0.2044128565586069,-0.003463131909105474,-0.09733010876037114,1.0,-0.1299981694428702,-0.09738189576398043,-0.9743892295064573
1/d12^2,-0.13023652718888423,-0.13017766772388797,-0.13000459887687799,-0.13023848859251325,-0.09643289264230752,nan,0.9799826955910935,0.999876963118003,-0.08490838476559164,0.11988785800619742,0.09588001999751401,0.014836627930723689,0.9799849417448723,-0.1299981694428702,1.0,0.9802553905343426,0.08995337979112346
1/d12^3,-0.09738202992096422,-0.0974316066671534,-0.0973867903446419,-0.09738349797219584,-0.15612980516279243,nan,0.9997700500572968,0.9801975989024565,-0.06381558051137941,0.08955367407789339,0.15563400341368827,0.018952665969472923,0.9997705270398736,-0.09738189576398043,0.9802553905343425,1.0,0.06716374825448711
cos(d_hue),-0.9737181518351303,-0.9740586043872391,-0.9743865237151197,-0.9737121042648684,0.14421734293165722,nan,0.06712697900915077,0.08990428630670698,0.6157365806538911,0.9274036567517606,-0.14428090906539176,0.002607953046170531,0.0671281444839695,-0.9743892295064573,0.08995337979112346,0.06716374825448711,1.0
