Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.9756988915020293,-0.7022002967239919,0.9783093349635889,0.8689254072741648,0.966614860210846,nan,-0.9782996130221969,-0.8679429474817623,0.9005243475025408,-0.966608162957462,0.8696869549208135,0.9906252791383987,0.8458569049597573,-0.9559551800610907,0.8523217060747921
y,-0.9756988915020292,1.0,0.6317459367187052,-0.9535132338221353,-0.9349708822217632,-0.9921338478201848,nan,0.9535306541752849,0.9342787987937989,-0.9567309180619153,0.9921320133825628,-0.9355841283191663,-0.9841784694513923,-0.8808430155776089,0.894653161135325,-0.919329814431715
z,-0.7022002967239919,0.631745936718705,1.0,-0.5495607567571679,-0.5222329678670936,-0.6557048601117483,nan,0.5494913389793518,0.5210603473520935,-0.5598984167665362,0.6557427422911868,-0.5224808578561001,-0.7290695036805062,-0.7183185693667735,0.7541899894741227,-0.5155474924054321
r,0.9783093349635889,-0.9535132338221352,-0.5495607567571679,1.0,0.8454471080752243,0.9348822400269512,nan,-0.9999999633265286,-0.8445379641844086,0.8748857329361617,-0.934860788607922,0.8463282379981752,0.9523520640139815,0.7686989792917386,-0.9234733268091282,0.8274601312649679
hue,0.8689254072741648,-0.934970882221763,-0.5222329678670936,0.8454471080752243,1.0,0.9613604595921694,nan,-0.8454808905206387,-0.9999978990044024,0.9974839552956023,-0.9613531130922465,0.9999981205828062,0.9129320189063823,0.7538023102090011,-0.7021485715570315,0.9987946014796656
gamma,0.9666148602108459,-0.9921338478201849,-0.6557048601117483,0.9348822400269512,0.9613604595921694,1.0,nan,-0.9348893069580343,-0.9607944187326715,0.9784556124614134,-0.9999999608266367,0.9617810040098286,0.9878823782000486,0.8490773546878969,-0.8648283553220623,0.9501082872851999
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.9782996130221969,0.9535306541752849,0.5494913389793518,-0.9999999633265287,-0.8454808905206387,-0.9348893069580343,nan,0.9999999999999999,0.844571944464727,-0.8749130474766368,0.9348678624425432,-0.846362077022053,-0.9523385955452306,-0.7687159886512347,0.923434147743328,-0.8274939358842809
sin(hue),-0.8679429474817623,0.9342787987937989,0.5210603473520935,-0.8445379641844086,-0.9999978990044024,-0.9607944187326715,nan,0.8445719444647272,0.9999999999999999,-0.9973366963170442,0.9607870228731451,-0.9999929357665454,-0.9121048558718708,-0.7528771934111008,0.700727587888022,-0.9988655344925761
cos(hue),0.9005243475025408,-0.9567309180619155,-0.5598984167665361,0.8748857329361618,0.9974839552956022,0.9784556124614133,nan,-0.8749130474766368,-0.9973366963170442,1.0,-0.9784501011688602,0.9975919504231372,0.9389456123031763,0.7839682215188276,-0.7492065435917021,0.993650910653291
m0/gamma,-0.966608162957462,0.9921320133825628,0.6557427422911869,-0.934860788607922,-0.9613531130922465,-0.9999999608266368,nan,0.9348678624425432,0.9607870228731452,-0.9784501011688602,0.9999999999999999,-0.961773599901695,-0.9878821186437913,-0.8491022717897106,0.8648352970723509,-0.9501000592889964
K_sync,0.8696869549208136,-0.9355841283191664,-0.5224808578561001,0.8463282379981752,0.9999981205828061,0.9617810040098286,nan,-0.8463620770220529,-0.9999929357665454,0.9975919504231372,-0.9617735999016949,1.0,0.9134895902470882,0.7544478484828766,-0.7031752904499223,0.9987082038448841
F_pauli_x,0.9906252791383988,-0.9841784694513924,-0.7290695036805062,0.9523520640139814,0.9129320189063823,0.9878823782000486,nan,-0.9523385955452307,-0.912104855871871,0.9389456123031763,-0.9878821186437913,0.9134895902470883,1.0,0.8574965572831457,-0.9248457348908112,0.8996029223418834
F_pauli_y,0.8458569049597574,-0.8808430155776088,-0.7183185693667735,0.7686989792917387,0.7538023102090012,0.849077354687897,nan,-0.7687159886512347,-0.7528771934111007,0.7839682215188276,-0.8491022717897106,0.7544478484828767,0.8574965572831456,1.0,-0.8615592922580607,0.7352572552500434
F_pauli_z,-0.9559551800610907,0.894653161135325,0.7541899894741227,-0.9234733268091283,-0.7021485715570315,-0.8648283553220623,nan,0.923434147743328,0.700727587888022,-0.7492065435917021,0.8648352970723509,-0.7031752904499222,-0.9248457348908112,-0.8615592922580607,0.9999999999999998,-0.6794504151426524
F_torsion,0.8523217060747921,-0.9193298144317149,-0.5155474924054322,0.8274601312649679,0.9987946014796656,0.9501082872851999,nan,-0.8274939358842809,-0.9988655344925761,0.9936509106532913,-0.9501000592889963,0.9987082038448842,0.8996029223418834,0.7352572552500433,-0.6794504151426524,1.0
