Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.8492066011056637,-0.7349103352079707,-0.7352787206753041,-0.7423355346607927,0.6641687130140336,nan,-0.08376716547161782,-0.35546063882376966,-0.11008596137765428,-0.6613173032585935,-0.8473574373280355,0.11059907743709793,0.06147177922586483,-0.0646991434536183,-0.07516266144045683
y,-0.8492066011056638,0.9999999999999998,0.959291198832918,0.9594699739088116,0.963817958130869,-0.3854483722159672,nan,-0.24818226914456767,0.15562907269376106,-0.23146236064098444,0.3823109024942398,0.873172415275817,-0.05280930342565491,0.21666082317124252,-0.2924715749721102,-0.16089645007815725
z,-0.7349103352079708,0.9592911988329181,0.9999999999999999,0.9999996048418629,0.9997303787244729,-0.24463483299199487,nan,-0.3264900617204204,-0.05998074680183913,-0.18743780886755274,0.24186136822518547,0.7526565767227434,-0.039640963121943595,0.3127501155796629,-0.3848089296046257,-0.19117520710603603
r,-0.7352787206753041,0.9594699739088115,0.9999996048418628,1.0,0.9997422208944738,-0.2453578699364123,nan,-0.32586290872407064,-0.05966034659385729,-0.18769777997834594,0.2425849532068312,0.752926483297535,-0.03988271570784903,0.31209583346999403,-0.3841891492469095,-0.19067954365909048
hue,-0.7423355346607926,0.963817958130869,0.9997303787244729,0.9997422208944738,0.9999999999999999,-0.24963423294617126,nan,-0.3263522886870877,-0.050043794860055994,-0.20012950867788967,0.24682597018815966,0.7607111701637702,-0.03759058533477645,0.3105924460277004,-0.38356307406892215,-0.1938311718204972
gamma,0.6641687130140337,-0.3854483722159672,-0.24463483299199487,-0.24535786993641226,-0.2496342329461713,0.9999999999999999,nan,-0.7525729973766195,-0.29039667666326274,-0.15938140988651234,-0.9999879574100348,-0.43263425907637953,0.4369990678733544,0.7260510083547036,-0.7253685550200585,-0.6435687445710211
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.08376716547161783,-0.24818226914456767,-0.3264900617204204,-0.32586290872407064,-0.3263522886870877,-0.7525729973766195,nan,1.0,-0.0037728577621293498,0.2722866081084801,0.7553792033608333,-0.2180873216348329,-0.3824156764356185,-0.9457925608507814,0.9897637754199717,0.8491018666493814
sin(hue),-0.35546063882376966,0.15562907269376106,-0.059980746801839124,-0.05966034659385729,-0.050043794860056,-0.2903966766632628,nan,-0.0037728577621293493,1.0,0.03763242140886731,0.28864558173709787,0.6001373877798407,-0.07263011622034739,-0.02029603295898974,0.016036976498244034,-0.037824568739201946
cos(hue),-0.11008596137765428,-0.23146236064098447,-0.18743780886755276,-0.18769777997834594,-0.20012950867788967,-0.15938140988651234,nan,0.2722866081084801,0.03763242140886731,1.0,0.15986081173400177,-0.1562504109650067,-0.0782621004274908,-0.1434050614282042,0.285889980751409,0.23858846630102848
m0/gamma,-0.6613173032585935,0.3823109024942398,0.24186136822518545,0.24258495320683124,0.2468259701881597,-0.9999879574100348,nan,0.7553792033608332,0.28864558173709787,0.15986081173400177,1.0,0.42930313631492656,-0.4381644405945294,-0.7289664660105515,0.7280276163319589,0.6467655652375591
K_sync,-0.8473574373280355,0.873172415275817,0.7526565767227433,0.752926483297535,0.7607111701637701,-0.43263425907637953,nan,-0.2180873216348329,0.6001373877798407,-0.15625041096500672,0.4293031363149266,0.9999999999999998,-0.09207843244838954,0.18987358117475575,-0.2501294653671665,-0.1468802884810283
F_pauli_x,0.11059907743709793,-0.052809303425654916,-0.039640963121943595,-0.03988271570784903,-0.03759058533477645,0.4369990678733544,nan,-0.38241567643561847,-0.07263011622034739,-0.0782621004274908,-0.4381644405945294,-0.09207843244838954,1.0,0.5390059159144754,-0.37776873746471556,-0.6798101907227717
F_pauli_y,0.061471779225864824,0.21666082317124255,0.3127501155796629,0.31209583346999403,0.3105924460277004,0.7260510083547037,nan,-0.9457925608507816,-0.02029603295898974,-0.1434050614282042,-0.7289664660105516,0.18987358117475575,0.5390059159144754,1.0,-0.9474615210005212,-0.8902425205454888
F_pauli_z,-0.0646991434536183,-0.2924715749721102,-0.38480892960462565,-0.38418914924690956,-0.3835630740689221,-0.7253685550200585,nan,0.9897637754199717,0.016036976498244034,0.285889980751409,0.7280276163319588,-0.2501294653671665,-0.37776873746471556,-0.9474615210005211,1.0,0.8223086284702693
F_torsion,-0.07516266144045683,-0.16089645007815725,-0.191175207106036,-0.1906795436590905,-0.19383117182049717,-0.6435687445710212,nan,0.8491018666493813,-0.037824568739201946,0.23858846630102845,0.646765565237559,-0.1468802884810283,-0.6798101907227717,-0.8902425205454889,0.8223086284702693,1.0
