Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.2969998679189762,-0.7262417747519812,-0.7398396441843466,0.7124086551519234,-0.3011046765017499,nan,0.3848083369782934,0.00011740270725471393,-0.002035376596433293,0.3011046765017499,-0.0004366367377567096,-0.0015421123643793444,0.0031170131049115704,-0.0030304568101313634,-0.06735941379039534
y,-0.2969998679189762,0.9999999999999998,0.8057071252116652,0.807503108880621,-0.8178889955908994,-0.025786155303739053,nan,-0.9064278895953306,0.00033594666295701193,-0.0012682015695667632,0.025786155303739053,0.0003030730185968446,-0.003498901143236415,0.007313773458012112,-0.006998703999458135,-0.23720457692357386
z,-0.7262417747519812,0.8057071252116652,1.0,0.9992527111686812,-0.9997301827213609,0.3446121394597773,nan,-0.9123831143814265,0.0003677921983818195,0.0001444739855990719,-0.3446121394597773,0.0008442225926210298,-0.0035619045007640325,0.007507164377105785,-0.007136175097113608,-0.26637119432181217
r,-0.7398396441843466,0.8075031088806209,0.9992527111686813,1.0,-0.9989568520431937,0.3163633516787268,nan,-0.9040818262396829,0.0003569167222568049,0.00016980299456767234,-0.3163633516787268,0.0008297375355956167,-0.0034504300174944664,0.007271798526968362,-0.006911453826038809,-0.25509677743954645
hue,0.7124086551519234,-0.8178889955908996,-0.9997301827213609,-0.9989568520431937,1.0,-0.3323341766248428,nan,0.9204298574522642,-0.00038438370671165325,-5.0729471140901095e-05,0.3323341766248428,-0.0008484764014836894,0.003748714566714825,-0.00788420858143775,0.007496849258429233,0.27358037769655214
gamma,-0.3011046765017499,-0.025786155303739053,0.34461213945977737,0.3163633516787268,-0.3323341766248428,1.0,nan,-0.2540522521033889,-0.0005363018066320458,0.0017799574290540655,-1.0,0.0008226067177740167,-0.022938160660150905,0.00716366341661938,-0.0012627931020498058,-0.042101415913699515
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.3848083369782935,-0.9064278895953306,-0.9123831143814266,-0.904081826239683,0.9204298574522642,-0.2540522521033889,nan,1.0,-0.0005899420752673843,0.001230864811436763,0.2540522521033889,-0.0008567275526214341,0.005957054170297762,-0.01250460063143249,0.011939886818636069,0.4179408810387551
sin(hue),0.00011740270725471393,0.00033594666295701193,0.0003677921983818196,0.0003569167222568049,-0.0003843837067116532,-0.0005363018066320458,nan,-0.0005899420752673843,1.0,-0.00014793257511098673,0.0005363018066320458,-0.026010469945635627,-0.0013815114543870384,0.04394614333045849,0.030145028171601397,-0.0005372670748281606
cos(hue),-0.0020353765964332927,-0.0012682015695667634,0.0001444739855990719,0.00016980299456767237,-5.0729471140901095e-05,0.0017799574290540657,nan,0.001230864811436763,-0.00014793257511098673,1.0,-0.0017799574290540657,-0.19351903451681254,-0.16947814237229997,-0.08809559277851686,0.18952584900656794,0.0011350816016975462
m0/gamma,0.3011046765017499,0.025786155303739053,-0.34461213945977737,-0.3163633516787268,0.3323341766248428,-1.0,nan,0.2540522521033889,0.0005363018066320458,-0.0017799574290540655,1.0,-0.0008226067177740167,0.022938160660150905,-0.00716366341661938,0.0012627931020498058,0.042101415913699515
K_sync,-0.00043663673775670963,0.0003030730185968446,0.0008442225926210298,0.0008297375355956168,-0.0008484764014836894,0.0008226067177740168,nan,-0.0008567275526214342,-0.026010469945635623,-0.19351903451681254,-0.0008226067177740168,1.0,-0.000641041862242086,0.001513623066143372,0.0023572528641267383,-0.000612112530721713
F_pauli_x,-0.0015421123643793444,-0.003498901143236415,-0.0035619045007640325,-0.0034504300174944664,0.0037487145667148255,-0.022938160660150902,nan,0.005957054170297762,-0.0013815114543870384,-0.1694781423723,0.022938160660150902,-0.0006410418622420861,1.0,0.31845559745974067,-0.542327866387246,0.0039012843268735396
F_pauli_y,0.0031170131049115704,0.007313773458012112,0.007507164377105786,0.007271798526968362,-0.00788420858143775,0.00716366341661938,nan,-0.01250460063143249,0.04394614333045849,-0.08809559277851686,-0.00716366341661938,0.001513623066143372,0.3184555974597406,1.0,-0.8870696297230761,-0.007564494307772223
F_pauli_z,-0.0030304568101313634,-0.006998703999458135,-0.007136175097113607,-0.006911453826038809,0.007496849258429234,-0.001262793102049806,nan,0.011939886818636069,0.030145028171601394,0.18952584900656794,0.001262793102049806,0.0023572528641267387,-0.5423278663872458,-0.8870696297230761,1.0,0.007840393992912538
F_torsion,-0.06735941379039534,-0.23720457692357383,-0.26637119432181217,-0.25509677743954645,0.2735803776965522,-0.04210141591369952,nan,0.41794088103875504,-0.0005372670748281606,0.001135081601697546,0.04210141591369952,-0.0006121125307217129,0.0039012843268735396,-0.007564494307772224,0.00784039399291254,1.0
