Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,0.9999999999999999,0.022627682365150663,-0.08825133516335246,-0.017541667841696727,0.0226971061285558,0.020223856764371245,nan,0.022308030513272025,-0.012432875176954268,-0.005589963070792919,-0.01874603961279982,0.02048073543697657,-0.06583847247538008,-0.049162634009247926,0.004536222755866338
y,0.022627682365150666,0.9999999999999999,0.9938462743448788,0.007468003522085298,-0.011061015737242424,0.0007519138532615155,nan,0.005284595734240825,-0.010393110345160798,0.02108771263862182,0.0006206956288569909,-0.009243377067946748,0.03235034061136664,0.022379707195861992,-0.01374923617517313
z,-0.08825133516335246,0.9938462743448789,1.0,0.009393910318470703,-0.013547235843656377,-0.0014968178686414636,nan,0.0027897124923697775,-0.00897436841097138,0.021639015515036466,0.002701204107078798,-0.011490073940796998,0.0395373245416503,0.027749381229148475,-0.014211197023407729
r,-0.017541667841696727,0.007468003522085298,0.009393910318470703,1.0,-0.2948568284823955,-0.9105655480251506,nan,-0.7616649273173469,0.02559437902769959,0.019019114768122052,0.9465573879716423,-0.29426743712704945,0.01750229143138956,-0.012069042269832663,-0.04168177085872167
hue,0.022697106128555796,-0.011061015737242424,-0.013547235843656377,-0.2948568284823955,1.0,0.1383122680472995,nan,0.19377778086408465,-0.08669156432882218,-0.053495587580744075,-0.1353407249116072,0.9998884686748676,-0.2074232636611702,-0.15687047537876697,0.1299082909414846
gamma,0.020223856764371245,0.0007519138532615155,-0.0014968178686414636,-0.9105655480251506,0.1383122680472995,1.0,nan,0.9322951453291699,-0.013003413082704524,-0.0076764971460552105,-0.9923184043849589,0.13806927885416997,0.01174083004886677,0.030015438587197747,0.011060650651256963
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.022308030513272025,0.005284595734240825,0.002789712492369778,-0.761664927317347,0.19377778086408465,0.9322951453291699,nan,1.0,-0.006306483218138608,-0.008384200739094046,-0.8873990739111606,0.19371534569993856,-0.007861445725381014,0.008907892304514461,0.014664925626168697
sin(hue),-0.012432875176954267,-0.0103931103451608,-0.00897436841097138,0.025594379027699593,-0.08669156432882218,-0.013003413082704524,nan,-0.006306483218138608,1.0,0.01795345383225144,0.012483368650816309,-0.08596640960643075,0.1288049366233589,0.1060785638814844,0.08879189843290816
cos(hue),-0.005589963070792919,0.02108771263862182,0.021639015515036466,0.019019114768122052,-0.05349558758074407,-0.00767649714605521,nan,-0.008384200739094044,0.017953453832251443,0.9999999999999999,0.00872225615019654,-0.0519901057343479,0.10084225458466468,0.07365935858658114,0.1553400532127375
m0/gamma,-0.01874603961279982,0.0006206956288569909,0.002701204107078798,0.9465573879716423,-0.1353407249116072,-0.9923184043849588,nan,-0.8873990739111606,0.012483368650816309,0.00872225615019654,1.0,-0.13506900601524682,-0.014024799182175508,-0.03280378393782457,-0.014962386459990618
d12,0.02048073543697657,-0.009243377067946748,-0.011490073940796998,-0.29426743712704945,0.9998884686748677,0.13806927885416995,nan,0.19371534569993856,-0.08596640960643075,-0.0519901057343479,-0.13506900601524682,1.0,-0.2029648031326488,-0.15418588296768848,0.12788786749081688
1/d12^2,-0.06583847247538009,0.03235034061136664,0.0395373245416503,0.017502291431389556,-0.2074232636611702,0.011740830048866772,nan,-0.007861445725381014,0.1288049366233589,0.10084225458466467,-0.014024799182175507,-0.2029648031326488,0.9999999999999998,0.9828769081741238,-0.17018392837073248
1/d12^3,-0.04916263400924792,0.022379707195861995,0.02774938122914847,-0.012069042269832665,-0.15687047537876697,0.03001543858719775,nan,0.008907892304514461,0.1060785638814844,0.07365935858658114,-0.03280378393782457,-0.15418588296768848,0.9828769081741239,0.9999999999999998,-0.13022872488795878
cos(d_hue),0.004536222755866338,-0.01374923617517313,-0.01421119702340773,-0.04168177085872168,0.12990829094148457,0.011060650651256963,nan,0.014664925626168697,0.08879189843290815,0.1553400532127375,-0.014962386459990618,0.12788786749081688,-0.17018392837073248,-0.13022872488795878,1.0
