Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9999999989503197,0.999999999035554,-0.9999999204486828,-0.999977484444683,-0.10881448976194855,nan,0.11602784970037926,-0.031199116664501383,-0.07242701584615087,0.10861238460159048,-0.9999882866898566,0.19152627803000064,0.1520584195735484,-0.03734608398470284
y,0.9999999989503197,1.0,0.9999999996426795,-0.9999999348004991,-0.9999777117701063,-0.10877860272038209,nan,0.11601206114470557,-0.031198283635745838,-0.07242379213925948,0.10857557403260566,-0.999988396993764,0.19149332278938944,0.1520231521421902,-0.0373429209742025
z,0.999999999035554,0.9999999996426795,0.9999999999999998,-0.9999999369682243,-0.9999777437746855,-0.10877349141530089,nan,0.11601099761030109,-0.031200249003261897,-0.07242403945452773,0.10857027892770098,-0.9999883963847346,0.19149019590522304,0.15201891020408637,-0.037343341278574076
r,-0.9999999204486829,-0.9999999348004991,-0.9999999369682244,1.0,0.9999797978853066,0.10843889269899037,nan,-0.11586680619267573,0.031208532872261562,0.07239838264065562,-0.10822739681442062,0.9999892646349482,-0.19119217678055778,-0.1516953699257959,0.03731972969659757
hue,-0.9999774844446829,-0.9999777117701063,-0.9999777437746854,0.9999797978853066,1.0,0.10220519409628318,nan,-0.11172015518589934,0.03130823978775069,0.07191048068458371,-0.10210433218446795,0.9999842077307699,-0.18593794006025618,-0.14612822661798827,0.03696111844125082
gamma,-0.10881448976194856,-0.10877860272038208,-0.10877349141530089,0.10843889269899037,0.10220519409628316,1.0,nan,-0.591231574038867,-0.015670627562511093,0.08431709137477664,-0.9964649351784142,0.1060539031640365,-0.8680114229252978,-0.9224566306950466,0.0648819170079876
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.11602784970037926,0.11601206114470558,0.11601099761030109,-0.11586680619267573,-0.11172015518589933,-0.591231574038867,nan,1.0,0.0407921483955957,-0.04551880728648813,0.5509893707428992,-0.11318880916570269,0.7237803692642488,0.6884783540970154,-0.01535926621257365
sin(hue),-0.03119911666450138,-0.031198283635745838,-0.031200249003261897,0.031208532872261566,0.03130823978775069,-0.01567062756251109,nan,0.0407921483955957,1.0,-0.01630529784441802,0.017442065524297244,0.03199139070949217,0.08295562809682092,0.05729883832285169,-0.008667037011371375
cos(hue),-0.07242701584615086,-0.07242379213925948,-0.07242403945452773,0.07239838264065564,0.07191048068458371,0.08431709137477664,nan,-0.04551880728648813,-0.01630529784441802,0.9999999999999999,-0.08366561208729496,0.07210468966818794,-0.08431581201516758,-0.07752467134471659,0.0007440765934692348
m0/gamma,0.10861238460159048,0.10857557403260565,0.10857027892770098,-0.10822739681442063,-0.10210433218446795,-0.9964649351784142,nan,0.5509893707428992,0.017442065524297248,-0.08366561208729495,1.0,-0.10585489322935396,0.8731999972886488,0.9317851720443296,-0.06667340928566813
d12,-0.9999882866898567,-0.9999883969937641,-0.9999883963847347,0.9999892646349482,0.99998420773077,0.10605390316403648,nan,-0.1131888091657027,0.031991390709492175,0.07210468966818792,-0.10585489322935396,0.9999999999999998,-0.18748585682933264,-0.14845268746490808,0.03705693539390062
1/d12^2,0.19152627803000064,0.19149332278938944,0.19149019590522304,-0.19119217678055778,-0.18593794006025618,-0.8680114229252976,nan,0.7237803692642487,0.08295562809682092,-0.08431581201516758,0.8731999972886488,-0.1874858568293326,1.0,0.9840659289027015,-0.06985495223960037
1/d12^3,0.15205841957354843,0.1520231521421902,0.15201891020408634,-0.15169536992579588,-0.14612822661798827,-0.9224566306950466,nan,0.6884783540970153,0.05729883832285169,-0.07752467134471658,0.9317851720443295,-0.14845268746490806,0.9840659289027014,1.0,-0.06701002717964444
cos(d_hue),-0.03734608398470285,-0.0373429209742025,-0.037343341278574076,0.03731972969659757,0.036961118441250815,0.0648819170079876,nan,-0.01535926621257365,-0.008667037011371375,0.0007440765934692349,-0.06667340928566813,0.03705693539390062,-0.06985495223960037,-0.06701002717964444,1.0
