Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9999999995201345,0.9999999983723017,0.9999999999768919,0.9999999071800408,0.10828153844180068,nan,-0.10771798863289941,0.002713405921232285,0.0021011588490393003,-0.10825842049085267,0.9999436384941026,-0.1938874732356118,-0.149565139173009,0.02548847899886396
y,0.9999999995201346,1.0,0.9999999994556402,0.9999999997064976,0.9999999027985333,0.10827056557319846,nan,-0.1077130506087453,0.0027130937037160457,0.00210017411515484,-0.10824713050869586,0.9999434716575784,-0.19388826709453713,-0.1495664475174423,0.025488374110589084
z,0.9999999983723016,0.9999999994556403,1.0,0.9999999987089189,0.9999999016097141,0.10826907457163049,nan,-0.10771320329039559,0.0027132818451696327,0.0021000859263386176,-0.10824555210616711,0.9999433450996832,-0.1938910902737192,-0.14956886045618564,0.0254883464020579
r,0.9999999999768919,0.9999999997064976,0.9999999987089189,1.0,0.9999999063374921,0.10827921553640521,nan,-0.10771695640489591,0.002713346599317995,0.002100951558631391,-0.10825602981770135,0.9999436017596119,-0.1938876863668847,-0.14956545361525522,0.02548845474294048
hue,0.9999999071800408,0.9999999027985335,0.999999901609714,0.9999999063374921,1.0,0.10870882165040861,nan,-0.10803075603299697,0.0027271539779147964,0.0021366076248413453,-0.10868436113456048,0.9999434401705517,-0.19399599886596283,-0.14962679586951996,0.025496235722582174
gamma,0.10828153844180066,0.10827056557319846,0.10826907457163049,0.10827921553640521,0.10870882165040861,1.0,nan,-0.7365915727129825,0.03192235648933343,0.08246079491870761,-0.9964303027968069,0.10844574623240559,-0.26389657678799844,-0.15239810223416086,0.01920633508122533
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.10771798863289943,-0.1077130506087453,-0.10771320329039559,-0.10771695640489591,-0.10803075603299697,-0.7365915727129825,nan,1.0,-0.03889641259626796,-0.06949197122681684,0.6858782570995365,-0.10779280671623008,0.25003112918719533,0.14186730237592698,0.01037548132268591
sin(hue),0.002713405921232285,0.0027130937037160457,0.0027132818451696327,0.002713346599317995,0.0027271539779147964,0.03192235648933343,nan,-0.03889641259626796,1.0,0.0020550015853241484,-0.03283139093428282,0.0027104777666865014,-0.026827108577745756,-0.02406430081064792,0.007280353495906872
cos(hue),0.0021011588490393003,0.00210017411515484,0.0021000859263386176,0.002100951558631391,0.0021366076248413453,0.08246079491870761,nan,-0.06949197122681684,0.0020550015853241484,1.0,-0.08182582467470086,0.0019754503818045616,0.04454464477369909,0.06125561352972927,-0.0066275662693371425
m0/gamma,-0.10825842049085266,-0.10824713050869586,-0.10824555210616711,-0.10825602981770135,-0.10868436113456048,-0.9964303027968069,nan,0.6858782570995366,-0.03283139093428282,-0.08182582467470086,1.0,-0.1084369003102702,0.26643281379846134,0.15481086887035375,-0.02503645869684884
d12,0.9999436384941027,0.9999434716575785,0.9999433450996832,0.9999436017596119,0.9999434401705517,0.10844574623240559,nan,-0.10779280671623007,0.0027104777666865014,0.0019754503818045616,-0.1084369003102702,1.0,-0.19582004265389613,-0.15161302670767743,0.024944433408146626
1/d12^2,-0.1938874732356118,-0.19388826709453713,-0.1938910902737192,-0.1938876863668847,-0.19399599886596283,-0.26389657678799844,nan,0.25003112918719533,-0.02682710857774576,0.04454464477369909,0.2664328137984613,-0.19582004265389616,0.9999999999999998,0.9778363814271629,-0.020878216227336117
1/d12^3,-0.149565139173009,-0.1495664475174423,-0.14956886045618567,-0.14956545361525522,-0.14962679586951996,-0.1523981022341609,nan,0.14186730237592698,-0.02406430081064792,0.06125561352972927,0.15481086887035375,-0.15161302670767743,0.9778363814271629,0.9999999999999999,-0.02493429044791638
cos(d_hue),0.02548847899886396,0.025488374110589084,0.0254883464020579,0.02548845474294048,0.02549623572258217,0.01920633508122533,nan,0.01037548132268591,0.007280353495906871,-0.0066275662693371425,-0.02503645869684884,0.024944433408146626,-0.020878216227336117,-0.02493429044791638,1.0
