Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9999999995062709,0.9999999999034526,0.999999999980864,-0.999674732648367,0.10709204097383906,nan,-0.10863355951976296,0.22685335877878704,0.11931164014016914,-0.10817964250183308,0.9999490275842382,-0.19746898914007938,-0.15360668948418096,0.009256574364424959
y,0.9999999995062709,1.0,0.9999999996956093,0.9999999996812691,-0.9996748057447438,0.10709142008977379,nan,-0.10863468283361881,0.22686213795784785,0.11928277646408851,-0.10817896775989999,0.9999488549338011,-0.19747361667184643,-0.1536105392080916,0.009256652677682173
z,0.9999999999034526,0.9999999996956093,1.0,0.9999999999438456,-0.9996747751645068,0.10708951152654085,nan,-0.10863319698486162,0.22684791377999367,0.11930309653370302,-0.108177027050826,0.999948950173198,-0.19747156492973972,-0.1536090118633744,0.009256523198870322
r,0.999999999980864,0.9999999996812691,0.9999999999438456,0.9999999999999999,-0.999674747701099,0.10709184176354594,nan,-0.10863375567293261,0.2268548463247685,0.11930596016030623,-0.10817943046806762,0.9999489929194431,-0.19746993326620665,-0.15360748071980562,0.009256593674990854
hue,-0.9996747326483669,-0.9996748057447438,-0.9996747751645068,-0.9996747477010989,1.0,-0.11653000805233867,nan,0.12971477720599647,-0.22396699904882342,-0.11847954738085235,0.1156437716675996,-0.9996039530347696,0.20183926460963522,0.1566981901550014,-0.008439298196462844
gamma,0.10709204097383906,0.10709142008977378,0.10708951152654086,0.10709184176354596,-0.11653000805233868,1.0,nan,-0.7262859965572239,-0.04947691549958889,-0.025366574351766275,-0.9963874723864096,0.10703058207502383,-0.27712808830634283,-0.16691939272589065,0.033788175314808634
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.10863355951976297,-0.10863468283361881,-0.10863319698486162,-0.10863375567293262,0.12971477720599647,-0.7262859965572239,nan,1.0,0.080604693714053,0.008596516527229762,0.6782956480547199,-0.1084792763973595,0.2669649847370662,0.15812578294880228,-0.016384012674480825
sin(hue),0.22685335877878704,0.22686213795784785,0.22684791377999367,0.22685484632476852,-0.22396699904882347,-0.04947691549958888,nan,0.08060469371405299,1.0,-0.06892355109102882,0.04556650111466932,0.22750097546293777,0.08045229935805613,0.06765946295790322,-0.0015029879135636057
cos(hue),0.11931164014016912,0.1192827764640885,0.11930309653370302,0.11930596016030623,-0.11847954738085235,-0.02536657435176627,nan,0.008596516527229762,-0.06892355109102882,1.0,0.030189688408488034,0.12497442239927933,0.10994849157542319,0.0871850173028743,-0.006699908951821599
m0/gamma,-0.10817964250183308,-0.1081789677599,-0.10817702705082602,-0.10817943046806762,0.1156437716675996,-0.9963874723864097,nan,0.67829564805472,0.04556650111466931,0.030189688408488034,1.0,-0.10813042787197794,0.2827592750360658,0.17195285587159517,-0.03867312846394164
d12,0.9999490275842383,0.9999488549338013,0.999948950173198,0.9999489929194431,-0.9996039530347697,0.10703058207502382,nan,-0.1084792763973595,0.22750097546293774,0.12497442239927933,-0.10813042787197794,1.0,-0.19893546811104904,-0.1552599138181132,0.009259394569407756
1/d12^2,-0.19746898914007938,-0.19747361667184643,-0.19747156492973972,-0.19746993326620665,0.20183926460963522,-0.2771280883063429,nan,0.2669649847370662,0.08045229935805613,0.1099484915754232,0.2827592750360658,-0.19893546811104904,1.0,0.9783660467984394,-0.023786934370340167
1/d12^3,-0.15360668948418096,-0.1536105392080916,-0.1536090118633744,-0.15360748071980562,0.1566981901550014,-0.16691939272589063,nan,0.1581257829488023,0.06765946295790322,0.0871850173028743,0.17195285587159517,-0.1552599138181132,0.9783660467984392,1.0,-0.021322541181926898
cos(d_hue),0.009256574364424959,0.009256652677682173,0.009256523198870322,0.009256593674990852,-0.008439298196462844,0.033788175314808634,nan,-0.016384012674480825,-0.0015029879135636055,-0.006699908951821598,-0.03867312846394165,0.009259394569407756,-0.023786934370340167,-0.021322541181926898,1.0
