Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,0.9999999999999998,0.9999999994672303,0.9999999999489592,0.9999999999819363,-0.9999998707152855,0.10541799876377296,nan,-0.10927975922678038,-0.00519611226302517,-0.0007989669223955976,-0.10798711161945014,0.9999500039429113,-0.19864733478211785,-0.15484552039009952,-0.01688115937786603
y,0.9999999994672304,1.0,0.9999999991213809,0.9999999996453046,-0.9999998627927735,0.10541375962540202,nan,-0.10927571586107546,-0.005195874628223016,-0.0007988026246983001,-0.10798277603141139,0.9999502012529219,-0.1986406556266065,-0.1548402697189656,-0.016880700068786954
z,0.9999999999489592,0.999999999121381,1.0,0.9999999998772533,-0.9999998728251083,0.10541804611803812,nan,-0.10928024273002898,-0.0051961277590985,-0.0007989614116075322,-0.107987161799173,0.9999499489206738,-0.19864881237952547,-0.15484673347729064,-0.01688127902570128
r,0.9999999999819362,0.9999999996453047,0.9999999998772532,1.0,-0.9999998693398299,0.10541718306302508,nan,-0.10927899477806466,-0.005196064854265641,-0.000798940164855467,-0.10798627741526491,0.9999500403501405,-0.19864609306087683,-0.15484454582573198,-0.016881072111775614
hue,-0.9999998707152856,-0.9999998627927736,-0.9999998728251083,-0.99999986933983,0.9999999999999998,-0.10526650617525915,nan,0.1092866034901607,0.0051878727200628475,0.0007818171161903198,0.1078390163497926,-0.9999476963013908,0.19890463320550827,0.15508107226849482,0.016914717286243098
gamma,0.10541799876377296,0.10541375962540202,0.10541804611803812,0.10541718306302508,-0.10526650617525914,1.0,nan,-0.7157663139957243,-0.057636498283039087,-0.053931144908369394,-0.9962682659984587,0.10527101236191107,-0.27785494187795445,-0.1688259538372496,0.005843049993949055
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.10927975922678038,-0.10927571586107546,-0.10928024273002898,-0.10927899477806466,0.1092866034901607,-0.7157663139957242,nan,0.9999999999999998,0.05360560817937622,-0.0030767863800014537,0.6713382077784346,-0.10903216330372897,0.2729502007624471,0.1636689101573938,0.037162849624207676
sin(hue),-0.00519611226302517,-0.005195874628223016,-0.005196127759098501,-0.005196064854265641,0.0051878727200628475,-0.05763649828303909,nan,0.053605608179376214,0.9999999999999999,0.0033409838791515194,0.054791634587063515,-0.005174049222700458,0.0017351116033781533,-0.01320688472059636,-0.0025374364123407272
cos(hue),-0.0007989669223955975,-0.0007988026246983001,-0.0007989614116075321,-0.0007989401648554671,0.0007818171161903198,-0.053931144908369394,nan,-0.0030767863800014537,0.00334098387915152,1.0,0.055512278079346986,-0.0008144092816749326,0.014332733549553533,0.011222752968494452,-0.012666343164222122
m0/gamma,-0.10798711161945014,-0.10798277603141139,-0.107987161799173,-0.1079862774152649,0.1078390163497926,-0.9962682659984586,nan,0.6713382077784346,0.054791634587063515,0.055512278079346986,1.0,-0.10784834446980879,0.2873622595392358,0.17704734783882992,-0.00713301286140412
d12,0.9999500039429113,0.9999502012529221,0.9999499489206738,0.9999500403501405,-0.9999476963013908,0.10527101236191105,nan,-0.10903216330372897,-0.005174049222700458,-0.0008144092816749326,-0.10784834446980877,1.0,-0.19993382771050186,-0.15634629637112055,-0.017154367373693823
1/d12^2,-0.19864733478211785,-0.1986406556266065,-0.19864881237952547,-0.19864609306087683,0.19890463320550827,-0.2778549418779544,nan,0.2729502007624471,0.0017351116033781531,0.014332733549553533,0.2873622595392357,-0.19993382771050186,1.0,0.9784534636792324,0.041256160846657154
1/d12^3,-0.1548455203900995,-0.15484026971896564,-0.15484673347729064,-0.15484454582573198,0.1550810722684948,-0.1688259538372496,nan,0.1636689101573938,-0.013206884720596362,0.011222752968494452,0.1770473478388299,-0.15634629637112057,0.9784534636792324,1.0,0.026643672414752
cos(d_hue),-0.016881159377866033,-0.016880700068786954,-0.016881279025701277,-0.016881072111775614,0.016914717286243098,0.0058430499939490545,nan,0.037162849624207676,-0.0025374364123407277,-0.01266634316422212,-0.007133012861404121,-0.017154367373693823,0.04125616084665715,0.026643672414751997,1.0
