Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.04803230145824878,nan,-0.8399767854301454,-0.041578829913920014,-0.22492624404724632,nan,0.0010473492336273986,0.021164168952398903,0.05135605639465023,0.7068213280764009,0.02107282107684759,-0.0003778562894207301,0.0005124723607940225,nan,nan
y,-0.04803230145824878,1.0,nan,0.13360535859254952,0.10034050516201053,0.2533156092469324,nan,-6.902554275922245e-05,0.018457629490326612,0.017795006526314723,-0.175021667309803,0.018531264196953348,2.894433581925244e-05,-3.133619119093103e-05,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.8399767854301454,0.13360535859254952,nan,1.0,0.03859925143883626,0.29137704881862453,nan,-0.0021752251493248934,0.005392331704866171,-0.07753369524801063,-0.6101733686215899,0.005503088490856175,0.00078255527877623,-0.0010648459186683036,nan,nan
hue,-0.041578829913920014,0.10034050516201053,nan,0.03859925143883626,1.0,0.05953194472412701,nan,0.0009650682961110589,0.10854393482242153,0.03866405852794933,-0.05437461058961664,0.10868717459074174,-0.0013016740365620438,0.000961146272875559,nan,nan
gamma,-0.2249262440472463,0.2533156092469324,nan,0.29137704881862453,0.05953194472412701,1.0,nan,0.0003870258974429119,0.04215780373436557,-0.1487355375469233,-0.49393912535668316,0.04242494273012838,-4.368456334185654e-05,0.00025689193867487056,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.0010473492336273986,-6.902554275922246e-05,nan,-0.0021752251493248934,0.0009650682961110589,0.00038702589744291186,nan,1.0,0.0006890945851871536,-0.002274874163453466,-0.0019069712933436152,0.0006953428178875606,0.27924417679439184,0.8995439819150666,nan,nan
sin(hue),0.0211641689523989,0.018457629490326612,nan,0.005392331704866171,0.10854393482242153,0.04215780373436557,nan,0.0006890945851871536,1.0,0.035410363243289174,-0.03221587983579371,0.9999973384566676,0.00025729631773017036,0.00017004926548814346,nan,nan
cos(hue),0.05135605639465024,0.017795006526314727,nan,-0.07753369524801064,0.03866405852794934,-0.1487355375469233,nan,-0.002274874163453466,0.035410363243289174,1.0,0.10251264295672625,0.03373201224469608,-0.003925308702466121,-0.0021157213347365073,nan,nan
m0/gamma,0.7068213280764009,-0.175021667309803,nan,-0.6101733686215899,-0.05437461058961663,-0.4939391253566831,nan,-0.001906971293343615,-0.0322158798357937,0.10251264295672624,1.0,-0.03231866100362423,0.0005978536985183995,-0.0009631623597173398,nan,nan
K_sync,0.02107282107684759,0.01853126419695335,nan,0.005503088490856175,0.10868717459074176,0.04242494273012838,nan,0.0006953428178875606,0.9999973384566676,0.03373201224469608,-0.03231866100362423,1.0,0.0002657346481147326,0.00017685035067438977,nan,nan
F_pauli_x,-0.0003778562894207301,2.894433581925244e-05,nan,0.0007825552787762298,-0.0013016740365620438,-4.368456334185654e-05,nan,0.27924417679439184,0.0002572963177301703,-0.003925308702466121,0.0005978536985183995,0.00026573464811473256,1.0,0.4016179254243645,nan,nan
F_pauli_y,0.0005124723607940225,-3.133619119093103e-05,nan,-0.0010648459186683036,0.0009611462728755589,0.00025689193867487056,nan,0.8995439819150666,0.00017004926548814346,-0.0021157213347365073,-0.0009631623597173399,0.00017685035067438977,0.4016179254243644,1.0,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
