Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,0.9999999999999999,0.02902649812783814,nan,-0.8964386808310056,-0.10728074393737004,-0.21143093636786867,nan,0.001496394462502329,-0.03302934058918906,0.01502111083159708,0.6365437577381248,-0.033019863597321016,0.0017056890000747035,0.0007517523652771285,nan,nan
y,0.029026498127838137,1.0,nan,0.011896162516847036,-0.05537740837598175,0.33298710721211655,nan,3.917901413150845e-05,0.01317390902451061,0.02237148015398521,-0.04083460709957797,0.01321577178979399,3.261329517706592e-05,1.921220490339663e-05,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.8964386808310056,0.011896162516847036,nan,1.0,0.10059231636074492,0.28685561413928096,nan,-0.0021029483348951475,0.027762655020060725,-0.02161971445789687,-0.5364502554431294,0.02778169989068729,-0.002391481122429403,-0.0010567522268817334,nan,nan
hue,-0.10728074393737004,-0.05537740837598175,nan,0.10059231636074492,1.0,0.04473333373158344,nan,0.0011802044659392891,0.13115760324831036,-0.010093025229243777,-0.16348760356929182,0.13114252096511309,0.000831986440143082,0.0023698322109978183,nan,nan
gamma,-0.2114309363678687,0.3329871072121165,nan,0.28685561413928096,0.04473333373158344,1.0,nan,0.00016653665969737345,0.041643485736336514,-0.10198190160103074,-0.5446600024107483,0.04182505563655381,0.00025737906113452487,0.00023979478391488658,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.001496394462502329,3.917901413150845e-05,nan,-0.0021029483348951475,0.001180204465939289,0.00016653665969737345,nan,1.0,0.0004135551746585942,-0.0020483227155750914,-0.0010446528433490261,0.0004164916232012567,0.10365895431772335,0.7927303291871026,nan,nan
sin(hue),-0.03302934058918906,0.013173909024510612,nan,0.027762655020060725,0.13115760324831036,0.04164348573633652,nan,0.0004135551746585942,1.0,0.012770921367967165,-0.053855229170989866,0.9999994323538203,2.3353746367840858e-05,-0.0002667528910443411,nan,nan
cos(hue),0.01502111083159708,0.022371480153985213,nan,-0.02161971445789687,-0.010093025229243777,-0.10198190160103074,nan,-0.0020483227155750914,0.012770921367967168,0.9999999999999999,0.019672676583540376,0.012034846699845522,-0.002632246256725503,-0.003196737167824533,nan,nan
m0/gamma,0.6365437577381248,-0.04083460709957797,nan,-0.5364502554431294,-0.16348760356929182,-0.5446600024107483,nan,-0.0010446528433490261,-0.05385522917098986,0.019672676583540376,1.0,-0.05384743564356363,-0.0011520596070485568,-0.0005233631172168452,nan,nan
K_sync,-0.033019863597321016,0.01321577178979399,nan,0.027781699890687288,0.13114252096511306,0.04182505563655381,nan,0.00041649162320125667,0.9999994323538203,0.012034846699845522,-0.05384743564356364,0.9999999999999998,2.614601297494182e-05,-0.0002645717697436478,nan,nan
F_pauli_x,0.0017056890000747037,3.261329517706592e-05,nan,-0.0023914811224294025,0.000831986440143082,0.0002573790611345249,nan,0.10365895431772335,2.3353746367840858e-05,-0.0026322462567255024,-0.0011520596070485568,2.6146012974941817e-05,1.0,0.1555948411756739,nan,nan
F_pauli_y,0.0007517523652771285,1.921220490339663e-05,nan,-0.0010567522268817334,0.0023698322109978183,0.00023979478391488658,nan,0.7927303291871026,-0.00026675289104434116,-0.0031967371678245328,-0.0005233631172168453,-0.0002645717697436478,0.1555948411756739,1.0,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
