Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,nan,nan,0.47946545150594294,0.8276597732952541,-0.726978719915888,nan,-0.03374198494958725,-0.48646785824935995,-0.6439062320649811,0.7384023286535328,-0.33234683336714727,0.01803529786341047,nan,nan,nan
y,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,0.47946545150594294,nan,nan,1.0,0.6358034904426896,-0.20383501141429886,nan,-0.09957449777050671,-0.7218310357106344,-0.3776651460680973,0.37660186219297664,-0.5700357423845215,-0.016856090022472188,nan,nan,nan
hue,0.8276597732952541,nan,nan,0.6358034904426895,1.0,-0.571438940875078,nan,-0.04708288681837944,-0.7193386744265875,-0.4051154286060474,0.5820771276290028,-0.6486100503177085,0.02119334950463407,nan,nan,nan
gamma,-0.726978719915888,nan,nan,-0.20383501141429883,-0.571438940875078,0.9999999999999998,nan,-0.005864397624158821,0.0875028113372052,0.5309633741908669,-0.8075157940234724,0.0013932462357366601,0.014978771482568718,nan,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.03374198494958725,nan,nan,-0.09957449777050671,-0.04708288681837944,-0.005864397624158821,nan,1.0,0.05118573148944662,0.039942258897910164,-0.015275516412187082,0.03482022815941142,0.001253334570658327,nan,nan,nan
sin(hue),-0.48646785824936,nan,nan,-0.7218310357106344,-0.7193386744265875,0.0875028113372052,nan,0.05118573148944661,0.9999999999999998,0.06754983831329842,-0.18498322173469597,0.9405607913704283,-0.0011705674054066613,nan,nan,nan
cos(hue),-0.6439062320649811,nan,nan,-0.3776651460680973,-0.4051154286060474,0.5309633741908669,nan,0.03994225889791016,0.06754983831329842,1.0,-0.5937148086888507,-0.244794614079485,-0.00032885969082214805,nan,nan,nan
m0/gamma,0.738402328653533,nan,nan,0.37660186219297664,0.5820771276290028,-0.8075157940234723,nan,-0.015275516412187082,-0.18498322173469597,-0.5937148086888507,1.0,-0.050441258852759414,0.0008465187696960925,nan,nan,nan
K_sync,-0.3323468333671472,nan,nan,-0.5700357423845215,-0.6486100503177086,0.0013932462357366601,nan,0.03482022815941142,0.9405607913704284,-0.244794614079485,-0.050441258852759414,1.0,-0.005491034600733435,nan,nan,nan
F_pauli_x,0.018035297863410467,nan,nan,-0.016856090022472188,0.02119334950463407,0.014978771482568718,nan,0.0012533345706583268,-0.0011705674054066613,-0.0003288596908221481,0.0008465187696960924,-0.005491034600733435,1.0,nan,nan,nan
F_pauli_y,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
