Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,-0.9996266954048056,-0.2548871594129139,0.08445615725138333,0.0932951210019159,0.06132091167881369,-0.28160216992832454,0.15938987642642097,-0.13540063655673323,-0.030156277493690948,-0.2649852714641883,-0.018222978529006312
r,-0.9996266954048056,1.0,0.25581467786046375,-0.08938596042874361,-0.09412559029120444,-0.061891848408570836,0.2825884052394209,-0.16001573259294233,0.14500685901988697,0.030808348164745394,0.2658639018687899,0.018418540866447248
hue,-0.25488715941291396,0.25581467786046375,1.0,-0.5430658533107473,0.033894340551094,0.06599821686862115,0.9982126900502951,-0.9666160445768837,0.27394943206639566,-0.04446633182672221,0.994240453471924,-0.003872921579172323
gamma,0.08445615725138335,-0.08938596042874361,-0.5430658533107473,1.0,-0.05169175428225959,-0.0363176411183117,-0.5614629551123614,0.4262601414665129,-0.4628130252567029,0.016015161183250394,-0.4964878640188152,-0.037960639681793765
1/r^3,0.0932951210019159,-0.09412559029120446,0.033894340551094,-0.05169175428225959,0.9999999999999999,0.67307476490749,0.029349645846478038,-0.049466786556257164,0.0052295027441815285,-0.3429179791439385,0.036700407770950634,-2.4963393805108045e-05
1/r^2,0.06132091167881369,-0.061891848408570836,0.06599821686862116,-0.0363176411183117,0.67307476490749,1.0,0.0607787769795179,-0.08239837407202161,0.010270970411161514,-0.22902463282395755,0.06828218567444302,-6.699817869995536e-05
sin(hue),-0.28160216992832454,0.2825884052394209,0.998212690050295,-0.5614629551123614,0.029349645846478038,0.06077877697951789,0.9999999999999998,-0.9499133150598671,0.28191234597248715,-0.04398425158189256,0.9885085986832385,-0.003129885559685635
cos(hue),0.15938987642642097,-0.16001573259294233,-0.9666160445768838,0.42626014146651287,-0.04946678655625717,-0.08239837407202161,-0.9499133150598671,1.0,-0.23110793488276474,0.04120245064444073,-0.9809981693527551,0.007128434738845411
m0/gamma,-0.13540063655673323,0.14500685901988697,0.27394943206639566,-0.4628130252567029,0.0052295027441815285,0.010270970411161512,0.28191234597248715,-0.23110793488276474,0.9999999999999999,0.00013066113619074517,0.26406092452982777,0.09981338977043532
x/r^3,-0.030156277493690948,0.03080834816474539,-0.04446633182672221,0.016015161183250394,-0.3429179791439385,-0.22902463282395757,-0.04398425158189256,0.041202450644440725,0.00013066113619074517,1.0,-0.04294057866596629,-0.0013784430650006841
K_sync,-0.2649852714641883,0.2658639018687899,0.9942404534719241,-0.4964878640188152,0.036700407770950634,0.06828218567444302,0.9885085986832384,-0.9809981693527551,0.26406092452982777,-0.042940578665966296,1.0,-0.004694557841348337
F_pauli_x,-0.018222978529006315,0.018418540866447248,-0.0038729215791723235,-0.037960639681793765,-2.4963393805108045e-05,-6.699817869995536e-05,-0.003129885559685635,0.007128434738845411,0.09981338977043532,-0.0013784430650006841,-0.004694557841348337,1.0
