Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.028322071524613,nan,-0.5915746135258115,0.022552688650930953,0.02567178335409049,nan,0.000554406274474786,-0.008195018519163393,0.11952846264002326,0.5112361256458341,-0.008274158346850503,0.0004673687206340714,0.0006778151993396314,nan,nan
y,-0.028322071524613,1.0,nan,0.12791652760822833,-0.08119507562148745,0.1699001907724568,nan,-0.00015481396439916565,0.12385848927761094,0.07743513827778999,-0.09317680755574738,0.12364232269835643,-0.00013096791536945147,-0.00018907754776271966,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.5915746135258114,0.12791652760822833,nan,1.0,0.03694247822286634,0.06402872493467647,nan,-0.001516324294468105,-0.019226361242868945,-0.1507606553781462,-0.6770899484553341,-0.01903695740091796,-0.0012805476215100471,-0.0018555787899117427,nan,nan
hue,0.022552688650930953,-0.08119507562148745,nan,0.03694247822286634,1.0,0.08669869029218139,nan,0.00013859195152563373,0.16903865525710762,0.07531038780210006,-0.03623782476154362,0.1693249345227887,0.00037845286606931364,0.0012584385082347691,nan,nan
gamma,0.025671783354090486,0.1699001907724568,nan,0.06402872493467647,0.08669869029218139,1.0,nan,-0.00015735187047631288,0.03661439423226454,-0.11473905669595895,-0.09620725907731606,0.03693969332329954,-0.001253624437433333,-8.876943597751145e-05,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.000554406274474786,-0.00015481396439916565,nan,-0.0015163242944681047,0.00013859195152563373,-0.00015735187047631285,nan,1.0,-0.0010430644350264493,0.0021882350011463007,-0.0012123826478273093,-0.0010455673432843092,-0.14299029710145572,0.01657807318102543,nan,nan
sin(hue),-0.008195018519163393,0.12385848927761092,nan,-0.019226361242868945,0.16903865525710762,0.03661439423226454,nan,-0.0010430644350264493,0.9999999999999999,0.029893658468795208,0.018577321901893967,0.9999982722171266,0.0006983258363346118,0.0007060939873649314,nan,nan
cos(hue),0.11952846264002326,0.07743513827778999,nan,-0.15076065537814623,0.07531038780210006,-0.11473905669595895,nan,0.0021882350011463007,0.029893658468795204,1.0,0.26398967515773986,0.028649282450219374,-0.0018403274544478356,-0.0014973607872442547,nan,nan
m0/gamma,0.511236125645834,-0.09317680755574738,nan,-0.677089948455334,-0.036237824761543615,-0.09620725907731606,nan,-0.0012123826478273095,0.018577321901893967,0.2639896751577398,1.0,0.018320783305234362,-0.0009133961557484584,-0.0014850101165938166,nan,nan
K_sync,-0.008274158346850503,0.12364232269835644,nan,-0.01903695740091796,0.1693249345227887,0.03693969332329954,nan,-0.0010455673432843092,0.9999982722171267,0.028649282450219374,0.018320783305234362,1.0,0.0007020664824457884,0.0007104078157805003,nan,nan
F_pauli_x,0.0004673687206340714,-0.00013096791536945147,nan,-0.0012805476215100474,0.00037845286606931364,-0.0012536244374333333,nan,-0.14299029710145572,0.0006983258363346118,-0.0018403274544478356,-0.0009133961557484583,0.0007020664824457883,1.0,0.9230806007671595,nan,nan
F_pauli_y,0.0006778151993396313,-0.00018907754776271963,nan,-0.0018555787899117427,0.0012584385082347691,-8.876943597751145e-05,nan,0.01657807318102543,0.0007060939873649314,-0.0014973607872442547,-0.0014850101165938166,0.0007104078157805004,0.9230806007671596,1.0,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
