Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9939588512153448,-0.9873905700274571,-0.9988089523445358,-0.9183103239377067,-0.7194853501235505,nan,0.18219083865443395,0.9039376430933556,0.7330153330907048,0.707055906130162,0.9039376879307586,-0.2419132714387625,0.02256929301561307,0.013498006122431213,0.14376674548787466
y,0.9939588512153449,1.0,-0.988887411890027,-0.9967040322897297,-0.9486551998494758,-0.7215208290665822,nan,0.17871948963118026,0.8678559853456094,0.7858886136449093,0.7117753977418583,0.867856035589442,-0.31449998986896616,0.036133692124259556,0.017687858721119283,0.15377401060327264
z,-0.987390570027457,-0.988887411890027,1.0,0.9899074196969824,0.9394880200079312,0.7325059938292757,nan,-0.20441379261089268,-0.8613386729538443,-0.7772832451038574,-0.7221536189350476,-0.8613387112612118,0.28272833124074453,-0.02366455772579687,0.01673829577691507,-0.13428051185254733
r,-0.9988089523445358,-0.9967040322897297,0.9899074196969824,0.9999999999999998,0.9306660724592122,0.724313016480436,nan,-0.1861421375586894,-0.891305366636511,-0.7508624227863248,-0.7128164245241477,-0.8913054140952956,0.2736292161092952,-0.020331129106533643,-0.01590654456995268,-0.14370918616581943
hue,-0.9183103239377067,-0.9486551998494758,0.9394880200079312,0.9306660724592122,1.0,0.6494985342988282,nan,-0.23364760323281872,-0.6681594185608877,-0.9228666177796883,-0.6502356917851674,-0.6681594910580284,0.4332932538426545,-7.286872271208283e-05,-0.026519185083480726,-0.18320481739541494
gamma,-0.7194853501235505,-0.7215208290665822,0.7325059938292757,0.724313016480436,0.6494985342988282,0.9999999999999999,nan,-0.031641363791220636,-0.7026321230004081,-0.5785989151951058,-0.9973608453250298,-0.7026321094783388,0.3532897013979388,-0.1366071745819293,0.0080784911395406,0.07014345944690918
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.18219083865443397,0.17871948963118026,-0.20441379261089268,-0.1861421375586894,-0.23364760323281875,-0.031641363791220636,nan,1.0,0.06810597012231412,0.2535298512667809,0.03607108233769232,0.06810602713167739,0.23682451224811982,-0.09352274821626472,-0.002831154767802271,0.07517634797474473
sin(hue),0.9039376430933553,0.8678559853456094,-0.8613386729538443,-0.891305366636511,-0.6681594185608877,-0.7026321230004081,nan,0.06810597012231412,1.0,0.4143224815295079,0.6794412817550143,0.9999999999871709,-0.04814959245240108,0.06383808538212425,-2.422893009456844e-05,0.06955405924708483
cos(hue),0.7330153330907049,0.7858886136449091,-0.7772832451038574,-0.7508624227863248,-0.9228666177796884,-0.5785989151951056,nan,0.25352985126678096,0.4143224815295079,1.0,0.5926757051273378,0.41432254389024303,-0.48037394958591073,-0.010235736835305922,0.0350809978440957,0.2015436787276024
m0/gamma,0.707055906130162,0.7117753977418583,-0.7221536189350477,-0.7128164245241477,-0.6502356917851675,-0.9973608453250298,nan,0.03607108233769233,0.6794412817550143,0.5926757051273379,0.9999999999999999,0.6794412684922819,-0.35418965735997066,0.13209534155139846,-0.007118990896583884,-0.04964808181571873
K_sync,0.9039376879307586,0.867856035589442,-0.8613387112612116,-0.8913054140952957,-0.6681594910580283,-0.7026321094783387,nan,0.06810602713167739,0.9999999999871708,0.41432254389024303,0.6794412684922819,1.0,-0.04814957753977617,0.06383811327878494,-2.4199422569322148e-05,0.06955410022170934
F_pauli_x,-0.2419132714387625,-0.3144999898689661,0.28272833124074453,0.2736292161092952,0.43329325384265455,0.3532897013979388,nan,0.23682451224811982,-0.04814959245240107,-0.48037394958591073,-0.35418965735997066,-0.04814957753977617,1.0,-0.21036781205850852,0.0877460455829984,-0.009837180395413692
F_pauli_y,0.02256929301561307,0.036133692124259556,-0.023664557725796873,-0.02033112910653364,-7.286872271208283e-05,-0.1366071745819293,nan,-0.09352274821626472,0.06383808538212424,-0.010235736835305922,0.13209534155139846,0.06383811327878494,-0.21036781205850852,0.9999999999999999,0.1922227576367897,0.11676441985693926
F_pauli_z,0.013498006122431211,0.017687858721119283,0.01673829577691507,-0.01590654456995268,-0.026519185083480723,0.008078491139540598,nan,-0.002831154767802271,-2.422893009456844e-05,0.0350809978440957,-0.007118990896583884,-2.4199422569322148e-05,0.0877460455829984,0.19222275763678973,0.9999999999999999,0.36418417436506845
F_torsion,0.14376674548787466,0.15377401060327267,-0.13428051185254733,-0.1437091861658194,-0.18320481739541494,0.07014345944690918,nan,0.07517634797474473,0.06955405924708483,0.2015436787276024,-0.04964808181571874,0.06955410022170934,-0.009837180395413692,0.11676441985693925,0.36418417436506845,1.0
