Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.7429760626732689,-0.2033909192700938,0.942891040395872,0.36584569619555934,-0.8495019955392891,nan,-0.5896059810680923,0.5606695404303425,-0.2734972375851013,0.849307940868001,-0.5552947970571984,-0.1819315059372589,0.6445851624030118,0.22081712078072263,-0.8050602807414777
y,-0.7429760626732688,1.0,-0.48157122372088323,-0.7305874637471986,-0.8634562672989657,0.7374486263309717,nan,0.5012256882590532,-0.6562732966750382,0.8255318205334607,-0.7373247108490782,0.37079766369296546,-0.3403324163120373,-0.5269216082153699,-0.10131021727934152,0.6850538230611135
z,-0.2033909192700938,-0.48157122372088323,1.0,-0.20713238153293412,0.8220556623391134,0.04778066525779288,nan,0.11928309504432529,0.33997830467516477,-0.8820935197021327,-0.04769287780934481,0.05894073250785162,0.6644477888823679,-0.1543054907738618,-0.22549724237654248,0.06607709448930163
r,0.9428910403958719,-0.7305874637471986,-0.20713238153293412,1.0,0.36241357582927436,-0.8939587420402079,nan,-0.7004632272122024,0.5714721720026218,-0.26768134212408845,0.8937688062743363,-0.5721175326103197,0.010762727751869662,0.7475326595160572,0.3331695786011028,-0.843514819591235
hue,0.36584569619555934,-0.8634562672989659,0.8220556623391134,0.3624135758292743,1.0,-0.4765350048218579,nan,-0.24575236243732937,0.726365443749268,-0.9901677932507658,0.47652612072186235,-0.3681596622409954,0.5850520809906894,0.2392163589655563,-0.06593054402880401,-0.42798770361652866
gamma,-0.8495019955392891,0.7374486263309717,0.047780665257792884,-0.893958742040208,-0.4765350048218579,1.0,nan,0.5068140466710932,-0.6592356747127814,0.38123361006172135,-0.9999998964987411,0.6199621584388756,-0.14196404031730248,-0.5475589481378494,-0.1423355849182215,0.9231532055838743
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.5896059810680923,0.5012256882590532,0.11928309504432529,-0.7004632272122024,-0.24575236243732934,0.5068140466710932,nan,0.9999999999999999,-0.34692370541813977,0.19266097718844574,-0.5065586206337848,0.33065516871623585,0.005425092101946032,-0.9883260047854251,-0.8878204920682776,0.5269715699857541
sin(hue),0.5606695404303423,-0.6562732966750382,0.33997830467516477,0.5714721720026217,0.726365443749268,-0.6592356747127815,nan,-0.34692370541813977,1.0,-0.6411593343635288,0.6592158066260249,-0.9056999195538078,0.32699482055712054,0.34837317316364047,0.039018271288175886,-0.6006720697315605
cos(hue),-0.2734972375851013,0.8255318205334607,-0.8820935197021326,-0.26768134212408845,-0.9901677932507658,0.38123361006172135,nan,0.19266097718844571,-0.6411593343635289,0.9999999999999998,-0.38123071637810135,0.25537891171537924,-0.6096287705926868,-0.1818757300787844,0.09037282984166958,0.3391179638399942
m0/gamma,0.849307940868001,-0.7373247108490781,-0.047692877809344815,0.8937688062743363,0.4765261207218624,-0.9999998964987412,nan,-0.5065586206337849,0.6592158066260249,-0.38123071637810135,0.9999999999999998,-0.6199387255312241,0.14208647454525494,0.5473032049346699,0.1421358546407399,-0.92316648865489
K_sync,-0.5552947970571984,0.37079766369296546,0.05894073250785161,-0.5721175326103197,-0.3681596622409954,0.6199621584388756,nan,0.3306551687162358,-0.9056999195538078,0.2553789117153793,-0.619938725531224,1.0,-0.07521236340013285,-0.3384391458226283,-0.09908064052467912,0.5694439678604867
F_pauli_x,-0.18193150593725887,-0.34033241631203726,0.664447788882368,0.010762727751869662,0.5850520809906894,-0.14196404031730248,nan,0.005425092101946033,0.32699482055712054,-0.6096287705926868,0.14208647454525494,-0.07521236340013285,1.0,-0.03127957678972906,-0.12959394243114802,-0.16609345877088444
F_pauli_y,0.6445851624030119,-0.5269216082153699,-0.15430549077386177,0.7475326595160571,0.23921635896555626,-0.5475589481378494,nan,-0.9883260047854251,0.3483731731636405,-0.1818757300787844,0.5473032049346698,-0.3384391458226283,-0.03127957678972906,1.0,0.84872910964079,-0.5534801730472044
F_pauli_z,0.2208171207807226,-0.10131021727934152,-0.22549724237654248,0.3331695786011028,-0.06593054402880401,-0.1423355849182215,nan,-0.8878204920682776,0.039018271288175886,0.09037282984166958,0.1421358546407399,-0.0990806405246791,-0.12959394243114802,0.84872910964079,1.0,-0.22479117764952963
F_torsion,-0.8050602807414777,0.6850538230611136,0.06607709448930163,-0.843514819591235,-0.4279877036165286,0.9231532055838743,nan,0.5269715699857541,-0.6006720697315606,0.3391179638399942,-0.92316648865489,0.5694439678604867,-0.1660934587708844,-0.5534801730472044,-0.2247911776495296,0.9999999999999999
