Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,0.9999999999999998,-0.13084285002136667,-0.16051199124395005,-0.9999998482404961,-0.9999980858847659,0.08782983594195858,nan,0.1462599741991388,0.08585462561111426,0.12365501901464394,-0.13720683780658513,0.08585462895335791,-0.19564914870062955,0.04315316285072571,0.16248990741318356,0.07600193473228857
y,-0.13084285002136667,1.0,0.9068407129436793,0.13078027316331328,0.13248220409077258,-0.049011311510292255,nan,-0.5528593816627588,-0.0013286420668143187,-0.11278391192055236,0.25420946003344,-0.0013286404662852635,0.6121522113004632,0.10099008333466743,0.10829127030255038,-0.25459357245671027
z,-0.16051199124395002,0.9068407129436793,1.0,0.16033930136628283,0.162316393530171,-0.2528714312644092,nan,-0.5498890721622538,-0.0026913018010870826,-0.13817626700665736,0.4255519480476703,-0.0026913003696529183,0.5616656345665596,-0.022508933851871443,-0.011710423231715034,-0.20858680681871286
r,-0.999999848240496,0.13078027316331328,0.16033930136628285,1.0,0.9999976396354948,-0.08759497093107697,nan,-0.1459880096918373,-0.08583807398966373,-0.12356166479333591,0.1368471726748874,-0.08583807733314795,0.19540398860012778,-0.042986940590322494,-0.1620418355689312,-0.07583585411030551
hue,-0.9999980858847659,0.13248220409077258,0.16231639353017097,0.9999976396354948,0.9999999999999999,-0.08816503735647305,nan,-0.1469959006554624,-0.08573221471218867,-0.12388474684568979,0.1377668149072763,-0.0857322180567735,0.19662880496317262,-0.04321122157140827,-0.16250004238737953,-0.07631117062505928
gamma,0.08782983594195858,-0.04901131151029226,-0.2528714312644092,-0.08759497093107697,-0.08816503735647305,1.0,nan,0.4534512143159327,0.004697332260306101,0.07505371250467174,-0.72837290806782,0.004697332462239243,-0.20828649017318437,0.3965583951289547,0.28373928668304627,0.26681961873080934
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.14625997419913878,-0.5528593816627587,-0.5498890721622537,-0.1459880096918373,-0.1469959006554624,0.4534512143159327,nan,1.0,0.007420337555688991,0.12512821402203964,-0.8017448392182411,0.007420336345665796,-0.6358288088203173,-0.03700855524637091,0.35806903674692103,0.5318825358991159
sin(hue),0.08585462561111426,-0.0013286420668143185,-0.0026913018010870826,-0.08583807398966371,-0.08573221471218866,0.004697332260306101,nan,0.00742033755568899,0.9999999999999999,0.04479005482837451,-0.007468567759320426,0.9999999999994809,-0.022542148474041387,0.004060202364324335,0.02175012937096523,0.004265438224841701
cos(hue),0.12365501901464396,-0.11278391192055237,-0.13817626700665736,-0.12356166479333593,-0.12388474684568979,0.07505371250467174,nan,0.12512821402203964,0.04479005482837451,1.0,-0.11656101234108786,0.044789882485535774,-0.16751611892191864,0.036595802690432826,0.13691690401607012,0.06494557842052362
m0/gamma,-0.13720683780658513,0.25420946003344,0.4255519480476703,0.1368471726748874,0.1377668149072763,-0.72837290806782,nan,-0.801744839218241,-0.007468567759320426,-0.11656101234108784,1.0,-0.007468567011822098,0.401288313509828,-0.2703533029939862,-0.44489540966880103,-0.48711625632770067
K_sync,0.08585462895335791,-0.0013286404662852635,-0.002691300369652918,-0.08583807733314795,-0.08573221805677352,0.004697332462239244,nan,0.007420336345665797,0.9999999999994809,0.04478988248553577,-0.007468567011822098,1.0,-0.02254214759842032,0.004060201300909569,0.021750129281792714,0.004265437817245223
F_pauli_x,-0.19564914870062952,0.6121522113004632,0.5616656345665596,0.1954039886001278,0.19662880496317262,-0.2082864901731844,nan,-0.6358288088203173,-0.022542148474041387,-0.16751611892191864,0.401288313509828,-0.02254214759842032,1.0,-0.0838144783618704,-0.28811065211460263,-0.682783725566811
F_pauli_y,0.043153162850725714,0.10099008333466743,-0.02250893385187144,-0.042986940590322494,-0.04321122157140827,0.3965583951289547,nan,-0.037008555246370915,0.004060202364324335,0.036595802690432826,-0.27035330299398613,0.004060201300909569,-0.0838144783618704,1.0,0.14139334355845157,0.2932889342820317
F_pauli_z,0.16248990741318356,0.10829127030255038,-0.011710423231715032,-0.16204183556893123,-0.1625000423873795,0.2837392866830463,nan,0.35806903674692103,0.02175012937096523,0.13691690401607012,-0.4448954096688011,0.02175012928179271,-0.28811065211460263,0.14139334355845154,1.0,0.1071226484627299
F_torsion,0.07600193473228857,-0.25459357245671027,-0.20858680681871286,-0.07583585411030551,-0.07631117062505928,0.26681961873080934,nan,0.5318825358991159,0.004265438224841701,0.06494557842052362,-0.48711625632770067,0.004265437817245223,-0.682783725566811,0.2932889342820317,0.1071226484627299,0.9999999999999998
