Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.7377168350891027,-0.6226947504816948,0.9998656558828732,0.6229040849819888,-0.75819505635205,nan,-0.37686566973958274,-0.4531095848365962,-0.033764233119255416,0.0010174502467959307,0.760174976700017,-0.07320943913501089,0.36368383957404754,0.31371350666055087,-0.033764305761770835,0.4353842381773086,0.16310868877009926,0.43140920415446593,-0.36984156984258243
y,-0.7377168350891028,0.9999999999999999,0.47867288046925854,-0.7386389293722304,-0.4231239758110089,0.5435528605606033,nan,0.20627932896690998,0.2578435960713546,0.5473418919962858,0.015807442590155738,-0.5450121555050722,0.03540328407562418,-0.19552654173428097,-0.16401936084375432,0.5473419452352067,-0.2741160904889528,-0.0898483438192695,-0.2664061847986589,0.22141263688259055
z,-0.6226947504816948,0.47867288046925854,1.0,-0.6265328659378396,-0.34145867314450185,0.34809725273933434,nan,-0.05769090290929216,-0.014625273112104672,-0.23507157793744027,-0.006196653427957022,-0.34925975416026667,0.11990826314807726,0.05855241849923921,0.1229040428018985,-0.2350715569112188,-0.08727260148997389,0.14441992710252605,-0.2160771786874975,0.08078093360367732
r,0.9998656558828733,-0.7386389293722304,-0.6265328659378397,0.9999999999999999,0.623887646909183,-0.7590508212461499,nan,-0.37062107953392676,-0.4457997620475622,-0.03359919738096874,0.002612177226541754,0.7610422729803537,-0.0830685180111176,0.35822851777179915,0.30771885007057453,-0.03359927017286859,0.423655547729437,0.1521429691104247,0.42329707860802995,-0.3660499134983196
hue,0.6229040849819888,-0.4231239758110089,-0.34145867314450185,0.623887646909183,0.9999999999999999,-0.5948007116653048,nan,-0.1753837887477997,-0.21296721881197067,-0.0034063308278505272,0.009642333574450695,0.5964756400036114,-0.041745128379430695,0.16935456061579243,0.14453867162983156,-0.0034066187746816636,0.20323881699572843,0.07191247166675206,0.20312837572292541,-0.17582040370578628
gamma,-0.7581950563520501,0.5435528605606033,0.34809725273933434,-0.7590508212461499,-0.5948007116653047,1.0,nan,0.1900992098255516,0.2457117090352964,0.07166407222578726,-0.011322710568656073,-0.9999776557889914,0.0235713592818664,-0.17941049881990084,-0.15083474631282334,0.07166415465146492,-0.2958162274466828,-0.08625133785462841,-0.25216990838435815,0.4425768215417134
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.3768656697395827,0.20627932896690998,-0.05769090290929215,-0.3706210795339267,-0.1753837887477997,0.1900992098255516,nan,1.0,0.9833345408410539,0.11412029342955837,0.049396816997912533,-0.1904681646601522,-0.013010723458330521,-0.9977393654305025,-0.990773743422719,0.11412031903670185,-0.37405879635429196,-0.643332578868898,-0.5622119961638745,0.3501172628365097
1/r^2,-0.4531095848365962,0.2578435960713546,-0.014625273112104672,-0.4457997620475622,-0.2129672188119707,0.24571170903529643,nan,0.9833345408410539,1.0,0.12054129445835227,0.04496738794654741,-0.24613010654020423,-0.007694316354113117,-0.9748937468962372,-0.960509946297842,0.12054132368111488,-0.5027525484779088,-0.6263074797614798,-0.6111933080712633,0.4376871594127057
sin(hue),-0.03376423311925542,0.5473418919962859,-0.23507157793744024,-0.03359919738096873,-0.0034063308278505272,0.07166407222578727,nan,0.11412029342955839,0.12054129445835225,1.0,0.0024573270578463102,-0.07176018944327472,0.02989840998020094,-0.11351835826443012,-0.11276769561033048,0.9999999999205198,-0.06877567261782809,-0.045221755735496416,-0.05202403251264845,0.08511794838260817
cos(hue),0.0010174502467959307,0.015807442590155735,-0.006196653427957021,0.002612177226541754,0.009642333574450695,-0.011322710568656073,nan,0.049396816997912533,0.0449673879465474,0.0024573270578463102,1.0,0.011444832150641902,-0.09866296059633661,-0.045379510982673385,-0.06246591082974111,0.002450393639447201,0.015470935944204909,-0.13183007878420724,0.02215929547724172,-0.019926733821729697
m0/gamma,0.760174976700017,-0.5450121555050722,-0.34925975416026667,0.7610422729803537,0.5964756400036113,-0.9999776557889916,nan,-0.1904681646601522,-0.2461301065402042,-0.07176018944327472,0.0114448321506419,0.9999999999999998,-0.02401101921412097,0.17977843892826345,0.15110908169433848,-0.07176027211818373,0.2959600809898546,0.08605366162384954,0.25246871755369416,-0.441406660562164
x/r^3,-0.07320943913501089,0.03540328407562418,0.11990826314807725,-0.08306851801111759,-0.0417451283794307,0.0235713592818664,nan,-0.013010723458330521,-0.007694316354113117,0.02989840998020094,-0.09866296059633661,-0.02401101921412097,1.0,-0.012856192306199204,0.03341390834989585,0.029898419080504744,0.4688776029501872,0.7026625901989704,0.39926505288134484,0.08785791365267305
y/r^3,0.3636838395740475,-0.19552654173428097,0.0585524184992392,0.3582285177717991,0.16935456061579243,-0.17941049881990084,nan,-0.9977393654305025,-0.9748937468962373,-0.11351835826443013,-0.04537951098267339,0.17977843892826342,-0.012856192306199202,0.9999999999999999,0.9909773338794785,-0.11351838333714466,0.33587457725167325,0.6274994923191946,0.5413854372519423,-0.33381837206298026
z/r^3,0.31371350666055087,-0.16401936084375432,0.12290404280189848,0.3077188500705746,0.14453867162983156,-0.15083474631282334,nan,-0.990773743422719,-0.960509946297842,-0.11276769561033048,-0.06246591082974111,0.15110908169433845,0.03341390834989585,0.9909773338794784,1.0,-0.11276771781469444,0.3006977164047319,0.6754889539540155,0.4847475901197218,-0.28024151019081067
K_sync,-0.033764305761770835,0.5473419452352067,-0.2350715569112188,-0.033599270172868595,-0.003406618774681664,0.07166415465146492,nan,0.11412031903670183,0.12054132368111488,0.9999999999205198,0.002450393639447201,-0.07176027211818371,0.029898419080504744,-0.11351838333714466,-0.11276771781469444,1.0,-0.06877581758696726,-0.0452217477943032,-0.05202405365506482,0.08511796969263816
F_pauli_x,0.4353842381773086,-0.27411609048895286,-0.08727260148997389,0.423655547729437,0.20323881699572846,-0.2958162274466828,nan,-0.3740587963542919,-0.5027525484779088,-0.06877567261782809,0.015470935944204907,0.2959600809898546,0.4688776029501872,0.3358745772516733,0.300697716404732,-0.06877581758696726,1.0,0.485913135992928,0.7654873679840587,-0.5458995745326162
F_pauli_y,0.16310868877009926,-0.08984834381926951,0.14441992710252605,0.1521429691104247,0.07191247166675205,-0.08625133785462841,nan,-0.643332578868898,-0.6263074797614798,-0.04522175573549641,-0.13183007878420724,0.08605366162384954,0.7026625901989704,0.6274994923191946,0.6754889539540155,-0.0452217477943032,0.485913135992928,0.9999999999999998,0.5649732562872405,-0.06036826770671205
F_pauli_z,0.43140920415446593,-0.2664061847986589,-0.2160771786874975,0.42329707860802995,0.20312837572292541,-0.25216990838435815,nan,-0.5622119961638745,-0.6111933080712634,-0.05202403251264844,0.02215929547724172,0.25246871755369416,0.3992650528813449,0.5413854372519423,0.4847475901197218,-0.05202405365506482,0.7654873679840587,0.5649732562872405,0.9999999999999998,-0.37316304258085353
F_torsion,-0.3698415698425825,0.22141263688259055,0.08078093360367732,-0.36604991349831967,-0.17582040370578628,0.4425768215417134,nan,0.3501172628365097,0.4376871594127057,0.08511794838260817,-0.019926733821729697,-0.441406660562164,0.08785791365267306,-0.3338183720629802,-0.2802415101908107,0.08511796969263817,-0.5458995745326162,-0.06036826770671205,-0.37316304258085353,1.0
