Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9991154696013747,-0.991176771505651,0.9998201204448582,0.9999753208247975,-0.981606146424963,nan,-0.4390803907594748,-0.045139705815774825,0.05018396533700856,0.9817188058984035,0.9080710716289184,0.23862814077160224,-0.24250523741071817,0.7187532921187386,-0.15728385412483317
y,0.9991154696013745,1.0,-0.9956098471083243,0.9995246077151899,0.9993735908660447,-0.979327172844348,nan,-0.4137710919033723,-0.04121127663167035,0.052239849525001894,0.9795237886251834,0.9110123930301376,0.23060330686083477,-0.23921810118783443,0.6903711021908825,-0.14747689136723427
z,-0.9911767715056511,-0.9956098471083243,1.0,-0.9931724784536251,-0.9919906320525889,0.9618542125799078,nan,0.3389342032804956,0.02931141186757229,-0.056217726002909044,-0.9622314414943243,-0.9116656107690689,-0.21843774316357506,0.22352068603175715,-0.6216733063111974,0.11628567783033439
r,0.9998201204448584,0.9995246077151899,-0.993172478453625,1.0,0.999889647162255,-0.9793259326405866,nan,-0.42244646400946984,-0.04227223062637292,0.05271633608036175,0.9794727147419303,0.9093599405041756,0.23743324009309374,-0.2375100284080911,0.7080310301862607,-0.14836365642987376
hue,0.9999753208247975,0.9993735908660447,-0.9919906320525889,0.999889647162255,1.0,-0.9814767016393136,nan,-0.43507178269594676,-0.044444761929813274,0.05069709787316476,0.9816042154502325,0.9087214186362882,0.23744339321874805,-0.24181346611539256,0.7143558463045531,-0.15569729824771292
gamma,-0.981606146424963,-0.9793271728443479,0.9618542125799078,-0.9793259326405864,-0.9814767016393136,1.0,nan,0.5273659558352044,0.04544863947277372,-0.04611584431502517,-0.9999975834400324,-0.8886705491018586,-0.24933969839266903,0.2791344786125317,-0.7622629175756058,0.21542754450745794
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.4390803907594748,-0.4137710919033723,0.3389342032804956,-0.42244646400946984,-0.43507178269594676,0.5273659558352045,nan,1.0,0.19094930272430347,0.10525978922977704,-0.5259680477680533,-0.3365613425837412,-0.05305676849574486,0.35056797375147475,-0.7741410605267973,0.4956908958815467
sin(hue),-0.045139705815774825,-0.04121127663167035,0.029311411867572294,-0.04227223062637292,-0.044444761929813274,0.04544863947277372,nan,0.19094930272430347,1.0,0.02048350255180857,-0.04525521047068344,-0.03160348647627149,0.06323516462813804,0.028973402086402696,-0.09245104803375535,0.054733768240362565
cos(hue),0.05018396533700856,0.052239849525001894,-0.056217726002909044,0.052716336080361755,0.05069709787316475,-0.04611584431502516,nan,0.10525978922977704,0.02048350255180857,1.0,0.04632841868371893,0.05295471976676822,0.02024742835720688,0.06426897155056004,0.014772959871387497,0.10549857671573094
m0/gamma,0.9817188058984034,0.9795237886251832,-0.9622314414943244,0.9794727147419303,0.9816042154502326,-0.9999975834400324,nan,-0.5259680477680533,-0.045255210470683434,0.04632841868371893,1.0,0.8889844910184858,0.2488952335236414,-0.27872492197278664,0.760963919691554,-0.21469380203181607
K_sync,0.9080710716289184,0.9110123930301376,-0.9116656107690689,0.9093599405041756,0.9087214186362882,-0.8886705491018586,nan,-0.3365613425837412,-0.03160348647627148,0.052954719766768216,0.8889844910184856,0.9999999999999999,0.22284287537714056,-0.1964686121967607,0.5925406575990895,-0.10892364615044099
F_pauli_x,0.23862814077160222,0.23060330686083474,-0.21843774316357506,0.23743324009309374,0.23744339321874808,-0.24933969839266903,nan,-0.05305676849574486,0.06323516462813804,0.020247428357206883,0.2488952335236414,0.22284287537714056,1.0,-0.06206619729031457,0.2936943932565381,-0.06004154938868856
F_pauli_y,-0.2425052374107182,-0.23921810118783446,0.22352068603175715,-0.2375100284080911,-0.24181346611539256,0.2791344786125317,nan,0.35056797375147475,0.028973402086402696,0.06426897155056004,-0.27872492197278664,-0.19646861219676068,-0.06206619729031457,0.9999999999999999,-0.31420094471128257,0.9363277904243577
F_pauli_z,0.7187532921187387,0.6903711021908825,-0.6216733063111974,0.7080310301862607,0.7143558463045532,-0.7622629175756057,nan,-0.7741410605267973,-0.09245104803375535,0.014772959871387497,0.7609639196915539,0.5925406575990895,0.2936943932565382,-0.3142009447112826,1.0,-0.35908404848716324
F_torsion,-0.15728385412483314,-0.14747689136723427,0.11628567783033439,-0.14836365642987376,-0.15569729824771292,0.21542754450745794,nan,0.4956908958815467,0.054733768240362565,0.10549857671573093,-0.21469380203181607,-0.108923646150441,-0.06004154938868857,0.9363277904243575,-0.35908404848716324,1.0
