Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,0.9999999999999999,nan,nan,-0.9999978997793485,-0.9717797907963023,-0.1706560400686053,nan,0.01772236357361835,0.020517972326689938,-0.969691816543893,0.9925334687318295,0.16689306252647695,-0.9997872754086395,0.6548184893108104,0.5280526188108752,-0.009259172311645915
y,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.9999978997793485,nan,nan,1.0,0.9713132426379208,0.16879181769738166,nan,-0.01772839313863999,-0.02052301803539945,0.9692088014320439,-0.9923227722595984,-0.16490870523923776,0.9997776895759697,-0.6540258799784336,-0.5270282618802552,0.008994960318218325
hue,-0.9717797907963022,nan,nan,0.9713132426379208,1.0,0.3559437915199428,nan,-0.01641832430634865,-0.01912320800750749,0.9999465194556209,-0.9888489818781577,-0.371408147847579,0.9723358528763355,-0.7175521465964246,-0.6184549921972526,0.03593194177376418
gamma,-0.17065604006860527,nan,nan,0.16879181769738166,0.3559437915199429,1.0,nan,-0.09268841367005236,-0.09714235719408724,0.3624546161488589,-0.25475415500135695,-0.973395104623928,0.17449461501594338,-0.5173321830107533,-0.612532270440512,0.13869983844490932
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.01772236357361835,nan,nan,-0.01772839313863999,-0.01641832430634865,-0.09268841367005236,nan,1.0,0.9970450832752803,-0.016478484408052895,0.01572977658365775,0.007439164122490157,-0.018116946877387657,0.05070901015906345,0.05840178796523696,-0.014470724384534395
1/r^2,0.020517972326689938,nan,nan,-0.02052301803539945,-0.01912320800750749,-0.09714235719408724,nan,0.9970450832752804,0.9999999999999999,-0.019195942819998774,0.018279014784080845,0.00942194125340622,-0.02097477326513963,0.05870048549905215,0.06760422976642608,-0.016750667337241627
sin(hue),-0.9696918165438929,nan,nan,0.9692088014320439,0.9999465194556209,0.3624546161488589,nan,-0.016478484408052895,-0.019195942819998774,1.0,-0.9872744108531893,-0.3785220837547061,0.9703901834562062,-0.7216533472298848,-0.6234284135574648,0.037278701083541144
cos(hue),0.9925334687318295,nan,nan,-0.9923227722595984,-0.9888489818781577,-0.25475415500135695,nan,0.01572977658365775,0.018279014784080845,-0.9872744108531893,1.0,0.2601728834536115,-0.9913907080522067,0.6569199381076432,0.5447626275819083,-0.016941000390663544
m0/gamma,0.16689306252647695,nan,nan,-0.16490870523923773,-0.371408147847579,-0.973395104623928,nan,0.007439164122490158,0.00942194125340622,-0.37852208375470614,0.2601728834536115,1.0,-0.17064974847695372,0.5081627157560239,0.6029589260979228,-0.135536051464414
d12,-0.9997872754086397,nan,nan,0.9997776895759696,0.9723358528763356,0.17449461501594338,nan,-0.018116946877387657,-0.02097477326513963,0.9703901834562063,-0.9913907080522067,-0.17064974847695372,1.0,-0.6648270629522683,-0.5376321614353147,0.011493574144684136
1/d12^2,0.6548184893108104,nan,nan,-0.6540258799784335,-0.7175521465964246,-0.5173321830107532,nan,0.05070901015906344,0.05870048549905216,-0.721653347229885,0.6569199381076432,0.5081627157560239,-0.6648270629522683,1.0,0.978325694164923,-0.17805511955353528
1/d12^3,0.5280526188108752,nan,nan,-0.5270282618802552,-0.6184549921972525,-0.612532270440512,nan,0.05840178796523695,0.06760422976642608,-0.6234284135574648,0.5447626275819083,0.6029589260979228,-0.5376321614353147,0.978325694164923,1.0,-0.21925910317558975
cos(d_hue),-0.009259172311645915,nan,nan,0.008994960318218325,0.03593194177376417,0.13869983844490932,nan,-0.014470724384534396,-0.016750667337241627,0.037278701083541144,-0.01694100039066354,-0.13553605146441403,0.011493574144684137,-0.1780551195535353,-0.21925910317558972,1.0
