Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,d12,1/d12^2,cos(d_hue)
x,1.0,0.9787153162527781,-0.9541364415375969,-0.9960963348694307,-0.9999998939419618,0.050096468033610196,nan,0.13381059921541988,0.16772485808321494,0.004967823986284124,-0.008881154905236135,-0.04968166872037251,0.13354362970826392,0.1595436018114611,0.27917707015445065,-0.9980548842700556,0.23333227027683784,-0.924948797840124
y,0.978715316252778,1.0,-0.8757446539382797,-0.9579064020396904,-0.978692968287411,0.05323062430077525,nan,0.08890383684791604,0.1130818616671367,0.0012292497565846716,-0.02291874636435677,-0.05285904148242877,0.08871405650141327,0.10735451051912319,0.1958197022277586,-0.9646618724002222,0.1603360219912921,-0.9771519172335057
z,-0.954136441537597,-0.8757446539382796,1.0,0.9767474835589305,0.9541646391761939,-0.04307272581576467,nan,-0.17167057314093154,-0.2139745787623038,-0.024076281910043188,0.005715705490773189,0.04261505812888684,-0.1713368388886505,-0.20430631524958714,-0.3504899678899537,0.970768005042129,-0.2954043767699268,0.7743944265655325
r,-0.9960963348694306,-0.9579064020396905,0.9767474835589304,1.0,0.9961049073873715,-0.04642900809316634,nan,-0.1464492172504402,-0.18317496436041936,-0.015742267683123062,0.011566074689393538,0.04599709646381535,-0.1461597558062024,-0.17446671368632674,-0.30305610132876665,0.9996405088233997,-0.2540821136936759,0.8898452843558434
hue,-0.9999998939419618,-0.978692968287411,0.9541646391761939,0.9961049073873715,1.0,-0.05006964912461353,nan,-0.13418250766920553,-0.16809162400743521,-0.004976414837074596,0.00883365679245806,0.04965483454989623,-0.13391560136844058,-0.15975767522803686,-0.2793227110876467,0.9980600770127094,-0.23366738558281197,0.9249345644083379
gamma,0.0500964680336102,0.05323062430077525,-0.04307272581576467,-0.04642900809316634,-0.05006964912461353,1.0,nan,-0.056676235087440116,-0.04357471212577111,-0.6345832766217773,-0.5643895260229566,-0.9999911560410796,-0.05676517275456161,0.00687965915521657,0.05023732982653085,-0.04744834138146471,-0.01182694769170171,-0.04119185477282417
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.13381059921541988,0.08890383684791604,-0.1716705731409315,-0.14644921725044016,-0.13418250766920556,-0.056676235087440116,nan,1.0,0.9886850751905,0.061515674004399744,0.06553470881862797,0.05671007766497949,0.9999989584420347,0.6762070841892227,0.4162688803920312,-0.142731171775646,0.8980206207055476,-0.07187147856664106
1/r^2,0.1677248580832149,0.1130818616671367,-0.2139745787623038,-0.18317496436041936,-0.16809162400743521,-0.04357471212577111,nan,0.9886850751904999,0.9999999999999998,0.06994116979990872,0.056443777671819975,0.04361602794878482,0.9884828778837131,0.7626854574501488,0.5475857931819217,-0.1787570384916868,0.9532838136617181,-0.09112322211399436
sin(hue),0.004967823986284124,0.0012292497565846716,-0.02407628191004319,-0.015742267683123062,-0.004976414837074595,-0.6345832766217773,nan,0.06151567400439975,0.06994116979990872,1.0,0.002285976656048982,0.6348064449840811,0.061412127840869024,0.09382584403314477,0.07816303317810804,-0.013971950022944456,0.0797326088056986,0.003561433036127198
cos(hue),-0.008881154905236135,-0.022918746364356767,0.005715705490773189,0.011566074689393536,0.00883365679245806,-0.5643895260229566,nan,0.06553470881862797,0.056443777671819975,0.002285976656048982,1.0,0.564198329601808,0.06559123037378649,0.01174548502371339,-0.02135404203454598,0.012437386666532286,0.03253186028350465,0.0004252266646743754
m0/gamma,-0.04968166872037252,-0.05285904148242878,0.04261505812888685,0.04599709646381535,0.04965483454989623,-0.9999911560410795,nan,0.056710077664979486,0.04361602794878482,0.6348064449840812,0.5641983296018079,1.0,0.05679918811842386,-0.007004508924515055,-0.05017099561642024,0.04702119300621809,0.01191267950239277,0.04086808246033507
