Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,-0.9999999234004838,nan,-0.9999999998884348,-0.9999062278404728,0.9999411416197098,nan,0.12083211320176585,0.1627332099262578,0.10859748724062189,-0.013862243762534582,-0.9999797467836218,-0.9999966465452643,0.3135423646641719,0.24051771597456012,0.06720275793120709
y,-0.9999999234004838,1.0,nan,0.9999999178957817,0.9999045680380286,-0.9999429576005295,nan,-0.12119405854759098,-0.16310946718171987,-0.10861291910394197,0.013808641099522845,0.9999793404738857,0.999995673919993,-0.3138740989273654,-0.24086917950934833,-0.0672031938645106
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.9999999998884348,0.9999999178957817,nan,0.9999999999999999,0.9999062719319018,-0.9999410830924051,nan,-0.12081947358543503,-0.1627200114173271,-0.10859638230461219,0.013864347387922754,0.9999797529387802,0.9999966788320916,-0.3135304095763044,-0.24050520959540506,-0.06720273939636835
hue,-0.9999062278404727,0.9999045680380286,nan,0.9999062719319018,0.9999999999999999,-0.9997007980670427,nan,-0.11910496559682324,-0.16035881704643112,-0.10853709058849022,0.014320708459085743,0.9999717746345156,0.9999195478164556,-0.30891326534010993,-0.23684856960431375,-0.06719943101479625
gamma,0.9999411416197099,-0.9999429576005295,nan,-0.9999410830924051,-0.9997007980670427,1.0,nan,0.12371902722718353,0.16620850431065617,0.10873556444881365,-0.013255511534878462,-0.9998556695662639,-0.9999209432880914,0.3185930419837575,0.2449382054168066,0.06715900814802626
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.12083211320176583,-0.12119405854759098,nan,-0.12081947358543503,-0.11910496559682325,0.12371902722718353,nan,1.0,0.9798228296260323,0.011473904014391833,0.09529151923191763,-0.12102169982954178,-0.11913555063253828,0.6788329003056935,0.7606241979985523,0.010080991367780338
1/r^2,0.16273320992625778,-0.16310946718171984,nan,-0.1627200114173271,-0.1603588170464311,0.16620850431065617,nan,0.9798228296260323,1.0,0.02744571000756707,0.11740320915414608,-0.16267479428416518,-0.16075589265631043,0.8002095397064424,0.8709926762447746,0.01229061616420294
sin(hue),0.10859748724062189,-0.10861291910394197,nan,-0.10859638230461217,-0.1085370905884902,0.10873556444881365,nan,0.011473904014391833,0.02744571000756707,1.0,0.0018100668708856975,-0.10857599796412623,-0.10835835476082684,0.1046138917092404,0.06805380625567611,0.007478035628857027
cos(hue),-0.013862243762534582,0.013808641099522845,nan,0.013864347387922754,0.014320708459085743,-0.013255511534878464,nan,0.09529151923191763,0.1174032091541461,0.001810066870885697,1.0,0.013886933169335872,0.014271192954369533,0.16302035944522494,0.16273368995511192,-0.002044535114583292
m0/gamma,-0.9999797467836219,0.9999793404738857,nan,0.99997975293878,0.9999717746345157,-0.9998556695662639,nan,-0.12102169982954179,-0.1626747942841652,-0.10857599796412623,0.013886933169335874,0.9999999999999999,0.9999818810578721,-0.3122937837450573,-0.2398061343854974,-0.06722896580899748
d12,-0.9999966465452643,0.999995673919993,nan,0.9999966788320918,0.9999195478164556,-0.9999209432880914,nan,-0.11913555063253828,-0.16075589265631043,-0.10835835476082684,0.014271192954369533,0.999981881057872,1.0,-0.31112045899763335,-0.238139075616816,-0.06720503434741874
1/d12^2,0.3135423646641719,-0.3138740989273654,nan,-0.3135304095763044,-0.30891326534011,0.3185930419837575,nan,0.6788329003056935,0.8002095397064425,0.1046138917092404,0.16302035944522494,-0.31229378374505723,-0.31112045899763335,1.0,0.98069832034341,0.02058071556011609
1/d12^3,0.24051771597456012,-0.2408691795093483,nan,-0.24050520959540506,-0.23684856960431375,0.2449382054168066,nan,0.7606241979985523,0.8709926762447747,0.06805380625567613,0.16273368995511195,-0.2398061343854974,-0.23813907561681597,0.9806983203434101,0.9999999999999998,0.016094527211043482
cos(d_hue),0.06720275793120709,-0.06720319386451058,nan,-0.06720273939636835,-0.06719943101479625,0.06715900814802628,nan,0.010080991367780338,0.01229061616420294,0.007478035628857027,-0.002044535114583292,-0.06722896580899748,-0.06720503434741874,0.020580715560116092,0.016094527211043486,1.0
