Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.867613909011564,-0.8531062676159693,0.74084734573333,0.6609304018749591,-0.4231319978007481,nan,-0.4364046627004701,-0.5093919805795386,-0.2802930185328369,-0.43879321987957454,0.4404910046426288,0.37766645616416267,0.4390133095913349,0.3664500595862558,-0.2802930170994403,0.3808596785512449,0.3831947657453477,0.18834310624275807,0.035518342161479304
y,0.867613909011564,1.0,-0.7668507602260582,0.8063054428775743,0.39371527581695137,-0.36009294640662665,nan,-0.5853134393303924,-0.6607013938431024,-0.320451156960645,-0.3955872966572082,0.37572865006928,0.2277445420988126,0.5900728111505221,0.5277087273672565,-0.3204511768831124,0.23819035373302336,0.40545440084782686,0.17719194304173239,-0.0870748367407229
z,-0.8531062676159692,-0.7668507602260582,1.0,-0.9033445494332522,-0.7457370256898433,0.4385882578563347,nan,0.5405950596137951,0.6289762792887602,0.5358702461318443,0.24306641351380653,-0.4580198153117266,-0.1444448420330609,-0.5387235474571396,-0.47159131653478836,0.5358702442791617,-0.36333181340993875,-0.3279150257180075,-0.08886582719730361,-0.07186909134110717
r,0.74084734573333,0.8063054428775744,-0.903344549433252,1.0,0.6543291073632236,-0.36036926787291756,nan,-0.7621053067948541,-0.8461292150941083,-0.4837762769700389,-0.2631817039998487,0.3776298041272167,0.1153155190929267,0.7605477909243122,0.7119490585205137,-0.48377627515577265,0.20062993432173923,0.43627017261484785,0.14050967247982796,0.06907715014066779
hue,0.6609304018749591,0.39371527581695137,-0.7457370256898433,0.6543291073632236,1.0,-0.31357737294112353,nan,-0.378850008674721,-0.4431430642926349,-0.11109141228655552,-0.24604779488973952,0.32716745659496127,0.14357452294740247,0.3766257914349326,0.3252399950333781,-0.11109136565645729,0.24766962930364142,0.29857487599519555,0.1411313201464441,0.29269711828660777
gamma,-0.42313199780074806,-0.36009294640662665,0.4385882578563347,-0.36036926787291756,-0.31357737294112353,1.0,nan,0.18407179963456155,0.22167472557566079,0.1815463044031201,0.12107728358471519,-0.9993851561658588,-0.07545670609233407,-0.18295076404430466,-0.1505199945180932,0.18154630782457495,-0.1876360435705635,-0.13917399059934527,-0.029785048908398233,0.2090887459524811
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.4364046627004701,-0.5853134393303924,0.5405950596137951,-0.7621053067948542,-0.37885000867472096,0.18407179963456155,nan,1.0,0.9874935833844509,0.302410559797005,0.18264683223505546,-0.19322099412536878,-0.0704552568129377,-0.9999020759970537,-0.9964230858367288,0.30241056228820323,0.016620263455556016,-0.7260792422284424,-0.1141693663394207,-0.03399278151597747
1/r^2,-0.5093919805795386,-0.6607013938431024,0.6289762792887602,-0.8461292150941083,-0.4431430642926349,0.22167472557566079,nan,0.9874935833844508,1.0,0.34687750272699885,0.20821526611501656,-0.23262887672504526,-0.08141700009173443,-0.9873407311998456,-0.9741074387482747,0.3468775038172545,-0.018398577306397667,-0.6751780631021568,-0.12735799528999525,-0.04290560300415497
sin(hue),-0.28029301853283695,-0.320451156960645,0.5358702461318443,-0.4837762769700389,-0.1110914122865555,0.18154630440312008,nan,0.302410559797005,0.3468775027269989,1.0,0.07563585149870532,-0.19042442345030508,0.03598009770164288,-0.29973060935369783,-0.27341997302909193,0.9999999999995273,-0.07524138975358094,-0.15529733885394112,-0.06567338754574462,-0.12062872406294034
cos(hue),-0.4387932198795746,-0.3955872966572082,0.24306641351380653,-0.2631817039998487,-0.24604779488973952,0.12107728358471517,nan,0.18264683223505546,0.20821526611501656,0.07563585149870532,0.9999999999999999,-0.1255698263072593,-0.22355045824545333,-0.18529367034852512,-0.15940234971475303,0.07563577631817361,0.6014796462495766,-0.6425911220402243,-0.9552291638043978,-0.4013764935285935
m0/gamma,0.4404910046426288,0.37572865006928,-0.45801981531172664,0.3776298041272167,0.32716745659496127,-0.9993851561658588,nan,-0.1932209941253688,-0.23262887672504523,-0.19042442345030508,-0.12556982630725927,0.9999999999999998,0.0784578612218377,0.19203433592197588,0.15826702741681223,-0.1904244271158775,0.19566517121054056,0.14472846877053513,0.03081006687493966,-0.21177369115061093
x/r^3,0.37766645616416267,0.22774454209881256,-0.1444448420330609,0.1153155190929267,0.14357452294740247,-0.07545670609233407,nan,-0.0704552568129377,-0.08141700009173441,0.03598009770164288,-0.22355045824545333,0.07845786122183769,0.9999999999999999,0.07344512459513768,0.05398691547432677,0.03598009532192945,0.34494571234450405,0.12100628420812506,0.09034744448778771,-0.04436757785432264
y/r^3,0.43901330959133483,0.5900728111505221,-0.5387235474571396,0.7605477909243122,0.3766257914349326,-0.18295076404430466,nan,-0.9999020759970537,-0.9873407311998454,-0.29973060935369783,-0.18529367034852515,0.19203433592197586,0.07344512459513768,0.9999999999999998,0.9961935068302933,-0.29973061196002154,-0.016021980033782576,0.7263350565603072,0.1151302027724182,0.033392874775306225
z/r^3,0.36645005958625587,0.5277087273672565,-0.4715913165347884,0.7119490585205137,0.3252399950333781,-0.1505199945180932,nan,-0.9964230858367287,-0.9741074387482747,-0.27341997302909193,-0.15940234971475303,0.15826702741681223,0.05398691547432676,0.9961935068302932,1.0,-0.27341997570112525,-0.05276222004741124,0.7279932191510695,0.10660015969921154,0.029400422537071598
K_sync,-0.2802930170994403,-0.3204511768831124,0.5358702442791617,-0.48377627515577265,-0.11109136565645729,0.18154630782457495,nan,0.30241056228820323,0.3468775038172545,0.9999999999995273,0.07563577631817361,-0.1904244271158775,0.03598009532192945,-0.2997306119600215,-0.27341997570112525,0.9999999999999998,-0.07524146338359103,-0.15529729296466413,-0.06567330277005402,-0.1206286551680075
F_pauli_x,0.3808596785512449,0.23819035373302336,-0.36333181340993875,0.20062993432173923,0.24766962930364142,-0.18763604357056346,nan,0.016620263455556016,-0.018398577306397667,-0.07524138975358093,0.6014796462495767,0.19566517121054056,0.34494571234450405,-0.016021980033782576,-0.05276222004741125,-0.07524146338359104,0.9999999999999999,-0.4481497573939682,-0.7806357722575025,-0.3793882409644321
F_pauli_y,0.3831947657453477,0.40545440084782686,-0.3279150257180075,0.4362701726148478,0.29857487599519555,-0.13917399059934524,nan,-0.7260792422284423,-0.6751780631021568,-0.15529733885394112,-0.6425911220402243,0.1447284687705351,0.12100628420812508,0.7263350565603072,0.7279932191510694,-0.15529729296466413,-0.4481497573939682,1.0,0.6066778079096372,0.26354142248440643
F_pauli_z,0.18834310624275807,0.1771919430417324,-0.08886582719730361,0.14050967247982796,0.14113132014644408,-0.029785048908398233,nan,-0.11416936633942068,-0.12735799528999525,-0.06567338754574462,-0.9552291638043977,0.03081006687493966,0.09034744448778771,0.11513020277241821,0.10660015969921154,-0.06567330277005402,-0.7806357722575026,0.6066778079096373,1.0,0.45826556592078493
F_torsion,0.035518342161479304,-0.0870748367407229,-0.07186909134110717,0.0690771501406678,0.2926971182866078,0.2090887459524811,nan,-0.03399278151597747,-0.04290560300415497,-0.12062872406294034,-0.4013764935285935,-0.21177369115061093,-0.044367577854322646,0.033392874775306225,0.029400422537071598,-0.1206286551680075,-0.3793882409644321,0.26354142248440643,0.45826556592078493,1.0
