Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.7796567542456562,-0.7746581555314129,0.5606680574401639,0.6117100672751912,-0.08694997548093682,nan,-0.36612421321887034,-0.4189059377512562,-0.2182280111713153,-0.44851873772286643,0.0873449152613787,0.4443332869073309,0.35089554345777213,0.22946188235215612,-0.21822801381364992,0.2866455724669769,0.2690120634111635,0.14041238299997588,0.2397818511643188
y,-0.7796567542456563,1.0,0.9798175906054908,-0.8693709883897399,-0.5479462235789809,0.1448967595339643,nan,0.5322812147310894,0.6119508284093177,0.6697977933853718,0.29327418904243563,-0.14706662245616386,-0.15854070960661668,-0.5191925080718816,-0.4104821385514829,0.6697978024132184,-0.23187065239096563,-0.24113252120889433,-0.09342836490158873,-0.16990461261613782
z,-0.7746581555314129,0.9798175906054908,1.0,-0.8763948471424874,-0.6629781508377841,0.10452801668009301,nan,0.5333791924015392,0.614176404624765,0.6108699675345546,0.23799022469099324,-0.10608610499069657,-0.15228811312214974,-0.5209927293028253,-0.4062735258534221,0.6108699770397416,-0.2898613593550532,-0.20151378664276992,-0.04723023159324693,-0.2280888300462471
r,0.5606680574401639,-0.8693709883897398,-0.8763948471424874,1.0,0.5488019242739641,-0.06515936186430349,nan,-0.7810241913348839,-0.8561866286709093,-0.5937669708328844,-0.19614619113981155,0.06709153937894242,0.10481275817264978,0.7729737359568207,0.696100974697542,-0.5937669815854991,0.14679160428038224,0.26853004529230623,0.06687362519059017,0.19865125520623184
hue,0.6117100672751912,-0.5479462235789809,-0.6629781508377842,0.5488019242739641,1.0,0.2946073229927801,nan,-0.3720851115651759,-0.4248999020001357,-0.1097492176753094,-0.2460519942519817,-0.2993239047998181,0.16357088650941182,0.36365159741508135,0.26037183463880637,-0.10974917563370537,0.17859166603011942,0.1787990029915193,0.10016016338106865,0.625141352063921
gamma,-0.08694997548093682,0.1448967595339643,0.10452801668009301,-0.06515936186430349,0.2946073229927801,1.0,nan,0.01177939434557234,0.018074661162635605,0.045671903531192555,-0.25769342135030543,-0.9996513603785008,-0.009203379496707997,-0.009873716601652687,-0.005234315707658835,0.04567196870515385,-0.32468266129900697,0.22606739370511386,0.31820474030113266,0.6975369218059713
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.36612421321887034,0.5322812147310892,0.5333791924015392,-0.7810241913348839,-0.3720851115651758,0.011779394345572338,nan,1.0,0.98894190990692,0.30504572599157775,0.17796239313250053,-0.012555588761930312,-0.07616331502544893,-0.9998290850489148,-0.9867021538275808,0.3050457341923194,0.030501397072649074,-0.4803445989590782,-0.0861112987969037,-0.15886515499687093
1/r^2,-0.41890593775125623,0.6119508284093178,0.614176404624765,-0.8561866286709093,-0.4248999020001357,0.01807466116263561,nan,0.9889419099069202,0.9999999999999998,0.3560405158520099,0.19593671805707963,-0.019036538350139215,-0.08646227977514415,-0.9869049617907116,-0.9590837904859266,0.3560405245372138,0.005085154467176289,-0.449358439376319,-0.09215369166000992,-0.17870054097991353
sin(hue),-0.2182280111713153,0.6697977933853718,0.6108699675345546,-0.5937669708328844,-0.10974921767530939,0.045671903531192555,nan,0.3050457259915778,0.35604051585200985,1.0,0.07497864606931595,-0.046916203408831327,0.054619624981505,-0.30075350259708344,-0.2705470177770984,0.9999999999995242,-0.05483628606504467,-0.10828661660010695,-0.054067761929415516,-0.06047142364792251
cos(hue),-0.4485187377228664,0.29327418904243563,0.23799022469099318,-0.19614619113981152,-0.24605199425198168,-0.25769342135030543,nan,0.17796239313250053,0.19593671805707966,0.07497864606931595,1.0,0.26188698643191555,-0.23632076368562074,-0.169807530221408,-0.12091786677806031,0.0749785668577288,0.7000016939069617,-0.857329405016183,-0.9405220857103455,-0.3922498791331136
m0/gamma,0.0873449152613787,-0.1470666224561639,-0.10608610499069657,0.06709153937894242,-0.2993239047998181,-0.9996513603785008,nan,-0.01255558876193031,-0.019036538350139215,-0.04691620340883133,0.2618869864319155,1.0,0.009182556261549507,0.010631890505578844,0.006001821651718794,-0.046916269601354976,0.32934341315311266,-0.2296094031145755,-0.32300251585728507,-0.7068073539973961
x/r^3,0.44433328690733087,-0.15854070960661668,-0.15228811312214974,0.10481275817264976,0.16357088650941184,-0.009203379496707997,nan,-0.07616331502544893,-0.08646227977514415,0.054619624981505,-0.23632076368562077,0.009182556261549507,0.9999999999999999,0.07155578741024231,0.03988483443016056,0.05461962533891084,0.2572429436073845,0.0992968609451897,0.0707346743568992,0.06215679761975506
y/r^3,0.35089554345777213,-0.5191925080718816,-0.5209927293028254,0.7729737359568207,0.3636515974150814,-0.009873716601652689,nan,-0.9998290850489147,-0.9869049617907115,-0.30075350259708344,-0.169807530221408,0.010631890505578842,0.07155578741024231,1.0,0.9893313384575876,-0.30075351089726043,-0.03365339932483944,0.47848866889857494,0.08256042728231089,0.15551442497320703
z/r^3,0.22946188235215612,-0.41048213855148286,-0.4062735258534221,0.696100974697542,0.26037183463880637,-0.005234315707658835,nan,-0.9867021538275808,-0.9590837904859266,-0.2705470177770984,-0.12091786677806032,0.006001821651718794,0.03988483443016056,0.9893313384575875,0.9999999999999999,-0.27054702671661357,-0.07523847178207464,0.46934655352502175,0.06699088292233103,0.11139640585750359
K_sync,-0.21822801381364992,0.6697978024132184,0.6108699770397417,-0.5937669815854991,-0.10974917563370534,0.04567196870515386,nan,0.30504573419231945,0.3560405245372138,0.9999999999995242,0.0749785668577288,-0.046916269601354976,0.05461962533891085,-0.3007535108972604,-0.27054702671661357,1.0,-0.054836370193356215,-0.1082865500931751,-0.054067673795616,-0.06047135503806759
F_pauli_x,0.28664557246697686,-0.23187065239096563,-0.28986135935505325,0.1467916042803822,0.17859166603011942,-0.32468266129900697,nan,0.030501397072649074,0.0050851544671762896,-0.05483628606504467,0.7000016939069617,0.3293434131531126,0.2572429436073845,-0.03365339932483944,-0.07523847178207466,-0.05483637019335622,1.0,-0.7508980766063515,-0.8737859707345328,-0.24087911333679002
F_pauli_y,0.2690120634111635,-0.24113252120889436,-0.20151378664276995,0.2685300452923063,0.1787990029915193,0.22606739370511386,nan,-0.4803445989590782,-0.44935843937631903,-0.10828661660010695,-0.8573294050161832,-0.22960940311457548,0.09929686094518969,0.4784886688985749,0.46934655352502175,-0.10828655009317509,-0.7508980766063515,1.0,0.8670526169362309,0.32663102897201585
F_pauli_z,0.1404123829999759,-0.09342836490158875,-0.04723023159324693,0.06687362519059017,0.10016016338106866,0.31820474030113266,nan,-0.0861112987969037,-0.09215369166000992,-0.054067761929415516,-0.9405220857103453,-0.32300251585728507,0.0707346743568992,0.08256042728231087,0.06699088292233103,-0.054067673795616,-0.8737859707345327,0.867052616936231,1.0,0.36707552416596334
F_torsion,0.23978185116431877,-0.16990461261613782,-0.2280888300462471,0.19865125520623186,0.6251413520639209,0.6975369218059713,nan,-0.15886515499687093,-0.1787005409799135,-0.06047142364792251,-0.3922498791331136,-0.7068073539973961,0.06215679761975506,0.155514424973207,0.1113964058575036,-0.06047135503806759,-0.24087911333679002,0.32663102897201585,0.3670755241659634,0.9999999999999998
