Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.042791866495318735,-0.03832529548215886,-0.9306192306213188,0.023670306399623312,-0.39137294927317434,nan,0.005261174800223395,0.08010211166554936,-0.07150229885132797,0.6206153762083154,0.08010273948572885,-0.0047377408502977565,0.0014311996870621855,-0.00028410830746703733,0.009101907207607335
y,0.042791866495318735,1.0,-0.07472638660914876,-0.05015212164863218,0.007683128290477649,0.2949350051912076,nan,0.00021741623614443626,-0.01876827101360521,-0.09350678661105712,0.03447745528599717,-0.018767664949729722,-0.0006959570069302221,-0.000754722749599272,0.00020991107132167309,-8.69196905175654e-06
z,-0.03832529548215886,-0.07472638660914876,1.0,0.030615510881360556,-0.0474913722781136,0.051383884498223044,nan,-0.0003237878124074282,-0.06728412319292387,0.005413061346343891,-0.007117408549436665,-0.06728403376863008,0.00039988204876536236,-3.899726869988641e-05,-0.0012030092161786573,-0.0005099245214923678
r,-0.9306192306213188,-0.05015212164863218,0.030615510881360556,1.0,-0.0009484683873055511,0.40626098169887526,nan,-0.0074810765202894675,-0.07613263811822711,0.02638872817173217,-0.5851258235918992,-0.07613288673543574,0.006394600444349421,-0.0020929201404927453,0.0003365470517304205,-0.01258443932678734
hue,0.023670306399623312,0.007683128290477648,-0.0474913722781136,-0.000948468387305551,1.0,-0.04472013884996884,nan,0.0008945073483007075,0.12111581318006026,-0.029552627028328043,0.013035144577899099,0.12111633405998841,-0.00027624859327317125,-0.0012732159068520568,-0.00042365377789834005,-0.0011665180202553324
gamma,-0.39137294927317434,0.2949350051912076,0.051383884498223044,0.40626098169887526,-0.04472013884996884,1.0,nan,0.0020464620798147024,-0.09183166643871084,-0.09135674814665459,-0.7474949893405219,-0.09183122077179226,0.0006368015754944082,-0.003760691316264462,-0.0003644612517065676,-0.0033433429515464324
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.005261174800223395,0.00021741623614443626,-0.0003237878124074282,-0.0074810765202894675,0.0008945073483007076,0.002046462079814703,nan,1.0,-5.522925789602309e-05,-0.005066613954194834,-0.0035629449405025176,-5.5193621508255923e-05,0.011180777526202156,-0.0033162757529838507,0.0159703607782282,0.055526623060255915
sin(hue),0.08010211166554934,-0.01876827101360521,-0.06728412319292386,-0.0761326381182271,0.12111581318006027,-0.09183166643871084,nan,-5.522925789602308e-05,1.0,0.05465968430751832,0.14856530600925552,0.9999999999776068,-0.00483855676023364,-0.0009128725502699141,0.0008494110472154807,-0.001018329194039345
cos(hue),-0.07150229885132797,-0.09350678661105712,0.005413061346343892,0.026388728171732167,-0.029552627028328043,-0.0913567481466546,nan,-0.005066613954194834,0.05465968430751832,1.0,0.04384665124507742,0.054653668474283705,0.004871272076684495,-0.0039909815247148915,0.00017886363058409628,-0.00893290718631713
m0/gamma,0.6206153762083154,0.03447745528599717,-0.007117408549436664,-0.5851258235918992,0.013035144577899097,-0.747494989340522,nan,-0.003562944940502517,0.14856530600925555,0.04384665124507742,1.0,0.148565147577947,-0.005268932300334387,-0.001467091408466046,-0.0012870895892222191,-0.004070726142844453
K_sync,0.08010273948572887,-0.01876766494972972,-0.06728403376863008,-0.07613288673543575,0.12111633405998841,-0.09183122077179226,nan,-5.5193621508255923e-05,0.9999999999776068,0.0546536684742837,0.14856514757794698,0.9999999999999999,-0.004838588611292559,-0.000912850386277167,0.0008494104024599937,-0.0010182781823364854
F_pauli_x,-0.004737740850297756,-0.0006959570069302221,0.0003998820487653623,0.006394600444349421,-0.00027624859327317125,0.0006368015754944082,nan,0.011180777526202156,-0.00483855676023364,0.004871272076684495,-0.005268932300334387,-0.004838588611292559,1.0,0.18927185058738916,0.047198655446795516,0.41843920930090417
F_pauli_y,0.0014311996870621855,-0.0007547227495992719,-3.899726869988641e-05,-0.0020929201404927453,-0.0012732159068520568,-0.003760691316264462,nan,-0.003316275752983851,-0.000912872550269914,-0.003990981524714892,-0.001467091408466046,-0.000912850386277167,0.18927185058738916,1.0,0.16517105447284194,0.4189143508771233
F_pauli_z,-0.00028410830746703733,0.00020991107132167309,-0.0012030092161786573,0.0003365470517304205,-0.00042365377789834005,-0.00036446125170656765,nan,0.0159703607782282,0.0008494110472154807,0.00017886363058409628,-0.0012870895892222191,0.0008494104024599937,0.047198655446795516,0.16517105447284194,0.9999999999999998,-0.005720925374679697
F_torsion,0.009101907207607335,-8.69196905175654e-06,-0.0005099245214923678,-0.012584439326787338,-0.0011665180202553322,-0.0033433429515464324,nan,0.055526623060255915,-0.0010183291940393452,-0.008932907186317129,-0.004070726142844453,-0.0010182781823364854,0.41843920930090417,0.41891435087712325,-0.005720925374679696,1.0
