Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,0.9999999999999999,0.5073447457179046,-0.029826775810258294,-0.14948740952480047,0.2786893098266264,-0.6106303583144724,nan,-0.1579110837735437,-0.12479341800969913,-0.25304870049086226,-0.5067559494567732,0.6106672777409989,0.44578870795761033,0.17560367135138014,0.11970127354562567,-0.25304870813631414,0.11814684225113695,0.14159152733437513,0.1686932189007581,-0.09991658660511689
y,0.5073447457179046,1.0,0.17285148152789082,-0.00964402393854625,0.03375025931036343,-0.47247410807198875,nan,-0.2792115417124211,-0.2467528015933971,-0.4033403707847311,0.40547484212909013,0.47250110067429874,0.2825542614040323,0.3639272906002652,0.35836386792363684,-0.4033404615231394,0.7557163064628002,-0.28423460110883797,-0.66730771645338,-0.19814980717070008
z,-0.02982677581025829,0.17285148152789082,1.0,0.6460577124890519,-0.9584874874493455,0.5049593501423636,nan,-0.31634610243913946,-0.4603497805547588,-0.07583993256160096,0.1606116106174327,-0.505001223056796,-0.6501468187337556,0.3089795812862597,0.717917581304417,-0.07583998319330933,-0.08279833246480406,-0.46938659917867254,-0.38930556182222803,-0.24334068453915617
r,-0.14948740952480047,-0.00964402393854625,0.6460577124890519,1.0,-0.6317347210057508,0.202185608377395,nan,-0.7116235885001745,-0.8275096253871579,-0.17727181921059598,-0.051274169591879866,-0.2022021489431408,-0.46426029210613334,0.6828902674747926,0.789130172857172,-0.17727184409449662,-0.37062404203300664,-0.1250456873769539,-0.05665871839364628,-0.3095672502496659
hue,0.2786893098266264,0.03375025931036343,-0.9584874874493455,-0.6317347210057507,1.0,-0.6883533264164351,nan,0.21889306144263762,0.36669765630598883,-0.1112977396499653,-0.24607187361249713,0.6884048453933772,0.7368868362778133,-0.2041001787878385,-0.6223081769084859,-0.11129769730659547,0.1437353368771015,0.5014838510517596,0.38448495541039845,0.18082661464163366
gamma,-0.6106303583144724,-0.4724741080719887,0.5049593501423637,0.20218560837739497,-0.688353326416435,1.0,nan,0.18025791560134766,0.09014481374198484,0.4082220745101477,0.2916058781005101,-0.9999999641489915,-0.5846945821599634,-0.20906279485295548,0.09758651589593408,0.4082220706777019,-0.17951315911238377,-0.3201320824765668,-0.18218467596201113,0.13122806400366666
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.1579110837735437,-0.2792115417124211,-0.3163461024391395,-0.7116235885001745,0.21889306144263762,0.18025791560134766,nan,1.0,0.9789460486199926,0.3168450830347686,0.059473092961198556,-0.18026940694032279,0.10716463406276923,-0.9946111811712613,-0.8652903669693346,0.3168451123875477,0.15107359559183736,-0.14323842582034277,0.07039379673845499,0.40634667508469086
1/r^2,-0.12479341800969912,-0.2467528015933971,-0.46034978055475884,-0.8275096253871578,0.3666976563059889,0.09014481374198485,nan,0.9789460486199926,1.0,0.318030500520179,0.07252334362113418,-0.09014833056070003,0.22403266545621855,-0.9673992765539937,-0.9158164705645726,0.3180305317296023,0.21557355382656548,-0.058173596416418435,0.07930105172095311,0.4212670040158694
sin(hue),-0.25304870049086226,-0.4033403707847312,-0.07583993256160096,-0.17727181921059598,-0.11129773964996528,0.40822207451014764,nan,0.3168450830347686,0.318030500520179,1.0,0.075782769535179,-0.40823799971121966,-0.07056749282306615,-0.31191706060416907,-0.23897308497731656,0.9999999999995276,-0.06600146869243233,-0.3288364241703213,-0.07482613641911857,0.1750894139446353
cos(hue),-0.5067559494567732,0.4054748421290901,0.1606116106174327,-0.051274169591879866,-0.24607187361249713,0.2916058781005101,nan,0.059473092961198556,0.07252334362113418,0.07578276953517901,1.0,-0.2916238957003728,-0.11480802764969861,0.011314895358516628,0.09606895613110919,0.07578268943124603,0.7557438625962242,-0.4506587831744541,-0.8945867290151058,-0.0025558863971465256
m0/gamma,0.6106672777409988,0.4725011006742987,-0.505001223056796,-0.2022021489431408,0.6884048453933772,-0.9999999641489915,nan,-0.18026940694032279,-0.09014833056070003,-0.4082379997112197,-0.2916238957003728,1.0,0.584750218132666,0.2090765144132824,-0.09759616363504829,-0.4082379958795456,0.17952808011117827,0.3201526750667618,0.18219750068774726,-0.13121440076533167
x/r^3,0.44578870795761033,0.2825542614040323,-0.6501468187337556,-0.4642602921061334,0.7368868362778134,-0.5846945821599635,nan,0.10716463406276924,0.22403266545621858,-0.07056749282306615,-0.11480802764969861,0.584750218132666,1.0,-0.07051330777937677,-0.37115779658653375,-0.07056748302437575,0.3884222702736131,0.31709565651833527,0.11070102527882074,0.171941322365401
y/r^3,0.17560367135138016,0.36392729060026524,0.30897958128625963,0.6828902674747928,-0.2041001787878385,-0.20906279485295548,nan,-0.9946111811712613,-0.9673992765539937,-0.31191706060416907,0.011314895358516628,0.2090765144132824,-0.07051330777937677,1.0,0.8667433089372252,-0.311917100017627,-0.055352584816907094,0.09779632388747285,-0.1554449942922255,-0.40686001159897844
z/r^3,0.11970127354562567,0.3583638679236369,0.7179175813044169,0.7891301728571721,-0.6223081769084859,0.09758651589593408,nan,-0.8652903669693347,-0.9158164705645726,-0.23897308497731656,0.09606895613110918,-0.09759616363504829,-0.3711577965865338,0.8667433089372253,1.0,-0.23897313564761172,-0.0707598368363638,-0.25099565074658653,-0.3106127296047128,-0.4471713020530231
K_sync,-0.2530487081363142,-0.40334046152313935,-0.07583998319330934,-0.17727184409449662,-0.11129769730659546,0.4082220706777019,nan,0.31684511238754776,0.3180305317296023,0.9999999999995277,0.07578268943124603,-0.4082379958795456,-0.07056748302437575,-0.31191710001762707,-0.23897313564761175,1.0,-0.06600155100064606,-0.3288363601765341,-0.0748260291494914,0.1750894221779595
F_pauli_x,0.11814684225113696,0.7557163064628002,-0.08279833246480407,-0.3706240420330067,0.1437353368771015,-0.1795131591123838,nan,0.15107359559183736,0.2155735538265655,-0.06600146869243233,0.7557438625962241,0.17952808011117827,0.3884222702736131,-0.0553525848169071,-0.0707598368363638,-0.06600155100064606,1.0,-0.3168682571336925,-0.8089088369271237,0.05116218218326296
F_pauli_y,0.14159152733437513,-0.284234601108838,-0.4693865991786725,-0.12504568737695393,0.5014838510517596,-0.32013208247656677,nan,-0.14323842582034277,-0.058173596416418435,-0.3288364241703213,-0.4506587831744541,0.3201526750667618,0.31709565651833527,0.09779632388747285,-0.2509956507465866,-0.3288363601765341,-0.3168682571336925,1.0,0.5791664885419484,0.11494167125403046
