Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.8938022143063235,-0.8693583144239552,0.4106788956223074,0.7135990944065054,-0.83133771182388,nan,-0.20743130891174158,-0.2546993080403531,0.8141826090810077,-0.5597384300252918,0.8304280143801761,0.16881154630545978,0.24675146333500553,0.16669436583229247,0.8141823589888465,0.664951004304593,-0.5993538582468942,0.15095602610802666,-0.2744747317841361
y,0.8938022143063233,0.9999999999999998,-0.9932694151970564,0.7287299806817423,0.8845483178904334,-0.9373630730562565,nan,-0.3965562229425356,-0.47734418692974623,0.9317054633401406,-0.7908480241439751,0.9367474084460753,0.05575831983447285,0.4067589668628473,0.36577279386870276,0.9317052716208051,0.43665804753189236,-0.8633858572493516,0.3307295171411466,-0.44272492430464316
z,-0.8693583144239552,-0.9932694151970564,1.0,-0.7221330278394998,-0.9050214352751697,0.911278274596808,nan,0.4005084414000036,0.48048068659783416,-0.9374661439331259,0.8253755433964077,-0.9105388996147428,-0.09940037203273125,-0.4225430885664206,-0.35748653284302023,-0.9374659650976592,-0.4466761107137796,0.878028734058203,-0.36841038001156545,0.4469719761564555
r,0.41067889562230747,0.7287299806817423,-0.7221330278394998,1.0,0.5896131415260191,-0.7467572910300554,nan,-0.6420899621017954,-0.7480132123954402,0.6062522823070674,-0.5651728213514463,0.7467579002340324,-0.14501391281473375,0.6021007837526682,0.6325850956943756,0.6062522632531621,-0.0479632214212546,-0.9210796925373204,0.46654611352372016,-0.6435336063206539
hue,0.7135990944065054,0.8845483178904335,-0.9050214352751697,0.5896131415260191,1.0,-0.8244282989369088,nan,-0.2799673600171571,-0.3441506558042786,0.9820146286834004,-0.9783964491899891,0.8241854606128348,0.02446549138087011,0.28431301273810666,0.26134717628346027,0.9820146533372354,0.2777703550313605,-0.7855248928521532,0.31592336743526395,-0.2980602614569134
gamma,-0.83133771182388,-0.9373630730562565,0.911278274596808,-0.7467572910300553,-0.8244282989369088,1.0,nan,0.41787787563700257,0.4958779321719276,-0.8914651776666043,0.72209475294827,-0.9999959964398419,-0.014467079783435286,-0.417994678558528,-0.39256708883282015,-0.891465164170752,-0.324651562793475,0.8276760694353051,-0.32927071716657447,0.4728259355331674
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.2074313089117416,-0.3965562229425357,0.4005084414000036,-0.6420899621017954,-0.27996736001715716,0.41787787563700257,nan,1.0,0.9840597098650722,-0.2933592847795621,0.26389288071634837,-0.4167782397074276,0.26538124153222753,-0.9697794179653991,-0.9662352085071999,-0.29335928014378637,0.3196641380448161,0.6829207093103125,-0.257962077652683,0.47118034027827504
1/r^2,-0.2546993080403531,-0.47734418692974623,0.48048068659783416,-0.74801321239544,-0.34415065580427867,0.4958779321719276,nan,0.9840597098650723,1.0,-0.3601092803368849,0.3246288421166159,-0.49485481537289333,0.2585712041559998,-0.9484933040250955,-0.9533963842703695,-0.36010927442265017,0.29726654135554104,0.7644870323627617,-0.3485844460962717,0.561719289157622
sin(hue),0.8141826090810077,0.9317054633401406,-0.937466143933126,0.6062522823070674,0.9820146286834004,-0.8914651776666042,nan,-0.2933592847795621,-0.3601092803368849,1.0,-0.9230682952501005,0.8911766992560758,0.04576826766475288,0.30204439899097,0.2709144025174114,0.9999999991951495,0.36387930791296375,-0.7963915720207291,0.3009951473369154,-0.33109399479042445
cos(hue),-0.5597384300252918,-0.7908480241439751,0.8253755433964077,-0.5651728213514462,-0.978396449189989,0.72209475294827,nan,0.2638928807163483,0.3246288421166159,-0.9230682952501004,0.9999999999999998,-0.7219837947526471,0.009191110522812894,-0.2606741836946709,-0.25159739022313843,-0.9230683838199732,-0.15187089363982498,0.7510862510963391,-0.32745870828826706,0.2620940272561241
m0/gamma,0.830428014380176,0.9367474084460754,-0.9105388996147429,0.7467579002340324,0.8241854606128348,-0.9999959964398418,nan,-0.41677823970742767,-0.4948548153728932,0.8911766992560759,-0.7219837947526471,1.0,0.013685386763269072,0.41663345895840276,0.39178749560770143,0.8911766864965941,0.32393766172025823,-0.8270874695728424,0.3286810117329617,-0.4723114886206475
x/r^3,0.1688115463054598,0.055758319834472846,-0.09940037203273125,-0.14501391281473372,0.02446549138087011,-0.014467079783435286,nan,0.26538124153222753,0.2585712041559998,0.04576826766475288,0.009191110522812894,0.01368538676326907,0.9999999999999998,-0.02507231255917479,-0.501568180140698,0.0457682906341229,0.5668188199418098,0.034310169955326965,0.40161598426290024,-0.07440312828475734
y/r^3,0.24675146333500556,0.40675896686284735,-0.4225430885664206,0.6021007837526682,0.2843130127381067,-0.417994678558528,nan,-0.969779417965399,-0.9484933040250955,0.30204439899097,-0.2606741836946709,0.41663345895840276,-0.02507231255917479,1.0,0.8748673722720743,0.30204440018386597,-0.1951755896738915,-0.6789742243287168,0.35234414123362506,-0.48812771189563414
z/r^3,0.16669436583229247,0.36577279386870276,-0.35748653284302023,0.6325850956943756,0.26134717628346027,-0.39256708883282015,nan,-0.9662352085071999,-0.9533963842703695,0.2709144025174114,-0.2515973902231384,0.39178749560770143,-0.501568180140698,0.8748673722720743,1.0,0.2709143903061727,-0.4074397045254131,-0.6416302504776693,0.12327953134523069,-0.40980123884900543
K_sync,0.8141823589888465,0.9317052716208052,-0.9374659650976593,0.6062522632531621,0.9820146533372354,-0.891465164170752,nan,-0.29335928014378637,-0.3601092744226501,0.9999999991951495,-0.9230683838199731,0.8911766864965941,0.0457682906341229,0.302044400183866,0.2709143903061727,0.9999999999999999,0.36387911219404995,-0.7963915802688949,0.30099523566758046,-0.3310940000279013
F_pauli_x,0.6649510043045931,0.43665804753189236,-0.4466761107137796,-0.0479632214212546,0.2777703550313605,-0.324651562793475,nan,0.3196641380448161,0.29726654135554104,0.36387930791296375,-0.15187089363982498,0.32393766172025823,0.5668188199418097,-0.1951755896738915,-0.40743970452541306,0.36387911219404995,0.9999999999999999,-0.12656567476583966,-0.002384097052598074,0.037213191432293825
