Feature,x,r,hue,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,-0.9999999955059988,0.9999999971529044,nan,0.9927839193417529,0.9959284636587405,-0.0003255211310779506,0.00011546060860514022,nan,-0.9959457403405705,0.9927844387669569,-0.9999999825884975,0.9959335726487835,0.9927898952380672,-0.03272981607791313
r,-0.9999999955059987,1.0,-0.9999999893365138,nan,-0.9927725552942197,-0.9959199146222963,0.00032549289067455785,-0.00011551032357430191,nan,0.9959372093790474,-0.9927730751089661,0.9999999945261207,-0.9959250289339072,-0.9927785358083123,0.03282100817095908
hue,0.9999999971529046,-0.9999999893365139,1.0,nan,0.9927879471389963,0.9959315548190489,-0.0003254986081803774,0.00011539028404793959,nan,-0.995948825610948,0.992788466507324,-0.999999973355952,0.995936662046857,0.9927939216432826,-0.032703542167124164
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.9927839193417529,-0.9927725552942198,0.9927879471389963,nan,0.9999999999999998,0.9995498299847242,-0.0003497050305107767,5.8132229795193235e-05,nan,-0.9995440282628089,0.9999999999556617,-0.9927631075412717,0.9995480895187014,0.9999999967609177,0.0824383305215206
1/r^2,0.9959284636587407,-0.9959199146222965,0.9959315548190489,nan,0.9995498299847242,1.0,-0.0003432147391058621,7.230190189926859e-05,nan,-0.9999999814148992,0.9995499680440605,-0.9959128151664693,0.9999999962984372,0.9995513538329897,0.05397894227285988
sin(hue),-0.0003255211310779506,0.00032549289067455785,-0.0003254986081803774,nan,-0.0003497050305107767,-0.0003432147391058621,1.0,-0.00018237648712714677,nan,0.0003431682498853084,-0.00034969916939659373,0.0003254866994542698,-0.00034321411248520664,-0.00034970115435226145,-0.00011142455796326233
cos(hue),0.00011546060860514022,-0.00011551032357430193,0.00011539028404793959,nan,5.813222979519324e-05,7.230190189926859e-05,-0.00018237648712714677,1.0,nan,-7.240453503784879e-05,5.8136479857918185e-05,-0.00011555683374384424,7.23253225293971e-05,5.815749225124772e-05,-0.0003145299301577094
m0/gamma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
x/r^3,-0.9959457403405705,0.9959372093790474,-0.995948825610948,nan,-0.9995440282628089,-0.9999999814148991,0.00034316824988530833,-7.240453503784879e-05,nan,1.0,-0.9995441672270029,0.9959301250235949,-0.9999999889187314,-0.9995455619776307,-0.05379665034010353
y/r^3,0.992784438766957,-0.9927730751089662,0.9927884665073241,nan,0.9999999999556617,0.9995499680440604,-0.0003496991693965937,5.813647985791819e-05,nan,-0.9995441672270029,1.0,-0.9927636276480702,0.9995482278221318,0.9999999969394504,0.08243558118043491
d12,-0.9999999825884976,0.9999999945261205,-0.9999999733559521,nan,-0.9927631075412718,-0.9959128151664695,0.0003254866994542698,-0.00011555683374384423,nan,0.9959301250235948,-0.9927636276480702,1.0,-0.9959179382659954,-0.9927690961134816,0.032892851314622704
1/d12^2,0.9959335726487835,-0.9959250289339072,0.995936662046857,nan,0.9995480895187014,0.9999999962984373,-0.00034321411248520664,7.23253225293971e-05,nan,-0.9999999889187313,0.9995482278221318,-0.9959179382659954,1.0,0.9995496202717518,0.05392796929971535
1/d12^3,0.9927898952380672,-0.9927785358083123,0.9927939216432826,nan,0.9999999967609176,0.9995513538329897,-0.0003497011543522614,5.815749225124772e-05,nan,-0.9995455619776308,0.9999999969394505,-0.9927690961134817,0.9995496202717519,1.0,0.08239434242611862
cos(d_hue),-0.03272981607791313,0.03282100817095908,-0.032703542167124164,nan,0.0824383305215206,0.053978942272859876,-0.00011142455796326234,-0.0003145299301577094,nan,-0.05379665034010353,0.08243558118043491,0.032892851314622704,0.053927969299715356,0.08239434242611862,1.0
