Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.957863236882174,-0.9707022498862692,0.99379887756109,0.9746610490880612,-0.4370570034867918,nan,-0.2507549382691409,-0.331003017540339,0.7883363013964398,-0.9771113986634663,0.4324836842597283,-0.013709956075135074,0.2503947411691096,0.2516542147902648,0.7883363239465058,-0.18708022722817177,0.51282391774505,0.8142344318531979,-0.2921823729330101
y,-0.9578632368821741,0.9999999999999999,0.9675982309587469,-0.9769661307515808,-0.9397161419479176,0.2720324308639157,nan,0.1283438156678757,0.18092657522652975,-0.6559304454668132,0.9830980031070471,-0.23098670961319281,0.04849119762645489,-0.12809680069961926,-0.13145102088793292,-0.6559304681909824,0.2542623255163609,-0.4286250185437997,-0.7373317754814607,0.3234909794863239
z,-0.9707022498862691,0.967598230958747,0.9999999999999998,-0.9842417666507256,-0.9881387653245143,0.348499408633312,nan,0.16394056324288245,0.22757137242213324,-0.8144808437875009,0.9963605174860133,-0.30408356896289057,0.054493347040477556,-0.16351514340396153,-0.1646152572214725,-0.8144808539677505,0.2884093033037068,-0.4801327680050398,-0.7260715899814434,0.2120532145188187
r,0.99379887756109,-0.9769661307515807,-0.9842417666507255,1.0,0.9799876770510976,-0.41663083917355187,nan,-0.23324404760674705,-0.30619322232533397,0.7747777837446442,-0.9911675911108413,0.38793821476581086,-0.04753579628019862,0.23289186255770886,0.23450632661705786,0.7747778052553188,-0.25088827314404216,0.4917790932939943,0.7983325973397434,-0.2954369288715848
hue,0.9746610490880613,-0.9397161419479175,-0.9881387653245144,0.9799876770510977,1.0,-0.44253579531712517,nan,-0.20735645115945603,-0.2809960872644437,0.8707355454611568,-0.9841326726032066,0.4060802606883465,-0.05293512412941793,0.20686817231242183,0.20655144026052932,0.87073556312238,-0.2823895446184543,0.50876508560114,0.7146750674291691,-0.16983178088688378
gamma,-0.4370570034867918,0.2720324308639157,0.3484994086333121,-0.4166308391735518,-0.44253579531712517,1.0,nan,0.43222920089011463,0.5248294236140478,-0.5752089383204582,0.34199268197259614,-0.9672372935714206,0.10117548452249259,-0.43174508634034575,-0.42771262483485595,-0.5752089545300321,0.22774508837724539,-0.36537497898840005,-0.5097238208143755,0.10416501218039251
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.2507549382691409,0.12834381566787573,0.16394056324288245,-0.23324404760674705,-0.20735645115945603,0.43222920089011463,nan,0.9999999999999999,0.9813624073499619,-0.2684051414799518,0.16075190740636014,-0.4404373984528041,-0.005703543947936697,-0.9999990065239445,-0.9999117449658116,-0.26840514903613355,-0.03630589575098078,0.216091472152106,-0.4818804462551868,0.41893209257206904
1/r^2,-0.331003017540339,0.18092657522652977,0.22757137242213324,-0.30619322232533397,-0.2809960872644437,0.5248294236140477,nan,0.9813624073499619,1.0,-0.3549248480733738,0.22294149503469585,-0.5439492597013706,-0.006050396528714216,-0.9812785153347825,-0.9804860518277572,-0.3549248578351753,-0.03360379106439509,0.060434569809559295,-0.5782971431245497,0.38901935769519164
sin(hue),0.78833630139644,-0.6559304454668132,-0.8144808437875009,0.7747777837446443,0.8707355454611568,-0.5752089383204583,nan,-0.2684051414799518,-0.3549248480733739,1.0,-0.7783979043023007,0.549421398550246,-0.04888883492727966,0.2676461711118251,0.2627454783549926,0.9999999999576625,-0.26673046118237975,0.5107640209365847,0.5585282559319893,0.06587757460453599
