Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,d12,1/d12^2,cos(d_hue)
x,1.0,0.9999998321257222,-0.9999996450161858,-0.999999946018251,-0.9999999677664824,-0.008207811595733987,nan,0.011449934489837858,0.017659825628978432,0.005833098613008975,-0.008105703705410318,0.01804656780903003,2.1012812018113162e-05,0.011214283781057759,0.01140586484092731,-0.9999155767937221,0.18312122932703626,-0.06233779938710084
y,0.9999998321257223,0.9999999999999999,-0.9999993955926206,-0.99999984186162,-0.9999997450102902,-0.00813473258809588,nan,0.011449258608283337,0.01765680678955456,0.005828794803149119,-0.008120138822385421,0.017952242074837987,1.542861399305496e-05,0.011213481964644044,0.011405279545203555,-0.9999163070120201,0.18298488706346458,-0.06223582494784299
z,-0.9999996450161858,-0.9999993955926205,0.9999999999999999,0.9999995563995425,0.9999997268507674,0.008225155192630314,nan,-0.011460181916408806,-0.01767600481794144,-0.00584563912389926,0.008092950933471954,-0.018075630146574977,-2.2246855555053774e-05,-0.011224374259348413,-0.011416052957381443,0.9999048346451024,-0.18329801973580848,0.06233795638823578
r,-0.999999946018251,-0.99999984186162,0.9999995563995426,1.0,0.9999998915956728,0.008070659863554215,nan,-0.011449014747846674,-0.017653590214929755,-0.00582555545030148,0.00812737667243259,-0.01786928334734246,-8.562148138034385e-06,-0.011213023821912213,-0.011405148027826351,0.9999158446190292,-0.1828431762410491,0.0623130770976086
hue,-0.9999999677664824,-0.9999997450102901,0.9999997268507675,0.9999998915956728,0.9999999999999998,0.008249998915776408,nan,-0.011442682914854152,-0.017649899049972717,-0.005834340504492246,0.008097183935898079,-0.018096506265139832,-1.956306921150318e-05,-0.011206863779452566,-0.011398662619414615,0.9999144295777518,-0.18316460073089033,0.0624082849137263
gamma,-0.008207811595733987,-0.008134732588095878,0.008225155192630314,0.008070659863554217,0.00824999891577641,1.0,nan,0.5415588425661536,0.6625764417079901,0.007708580875095114,-0.013017669202790707,-0.9859693535076994,-0.11072591547707017,0.5368728494852554,0.5416034837220182,0.008117839846597742,-0.1836562765182171,0.006957064300845302
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.011449934489837858,0.011449258608283336,-0.011460181916408806,-0.011449014747846674,-0.011442682914854152,0.5415588425661537,nan,0.9999999999999999,0.9785791095621112,0.006864266757013788,0.006333211181224691,-0.4780191141580294,-0.10496361857952236,0.9957229788142105,0.9998380623320147,-0.0113259723173236,0.07815059366605041,-0.009799036583910245
1/r^2,0.017659825628978432,0.017656806789554558,-0.017676004817941442,-0.017653590214929755,-0.017649899049972714,0.6625764417079901,nan,0.9785791095621112,1.0,0.010333242639720235,0.00976033816036666,-0.587400405293856,-0.1013793123294836,0.9751233597241883,0.9781432852331531,-0.017468647168450337,0.1220837671355761,-0.015109870711645526
sin(hue),0.005833098613008976,0.00582879480314912,-0.00584563912389926,-0.005825555450301481,-0.005834340504492246,0.007708580875095114,nan,0.0068642667570137875,0.010333242639720236,0.9999999999999999,0.0030956457522814114,-0.005401264276746674,-0.0007716999455838584,0.00670597933264624,0.006850116519271281,-0.005749559126669084,0.05838181624450169,-0.008997240437670412
cos(hue),-0.008105703705410318,-0.008120138822385421,0.008092950933471954,0.00812737667243259,0.008097183935898077,-0.013017669202790707,nan,0.006333211181224691,0.009760338160366661,0.0030956457522814114,1.0,0.02081138011613243,0.0009298253404900067,0.006261446429856392,0.006295088227601037,0.008157257426193745,0.05287456729190603,-0.006418650355468586
m0/gamma,0.01804656780903003,0.017952242074837987,-0.018075630146574973,-0.017869283347342464,-0.018096506265139832,-0.9859693535076994,nan,-0.47801911415802945,-0.5874004052938561,-0.005401264276746674,0.020811380116132434,0.9999999999999999,0.09516471357319808,-0.4742756682166349,-0.47798747553767823,-0.017849773379094973,0.28640009265408045,-0.015358636932430038
x/r^3,2.1012812018113165e-05,1.542861399305496e-05,-2.224685555505377e-05,-8.562148138034385e-06,-1.9563069211503183e-05,-0.11072591547707017,nan,-0.10496361857952236,-0.10137931232948359,-0.0007716999455838584,0.0009298253404900069,0.09516471357319808,0.9999999999999999,-0.012880399106764947,-0.12277082264750756,-2.0587632274387348e-05,0.015233100656173166,-1.5736131911032055e-05
y/r^3,0.011214283781057759,0.011213481964644046,-0.011224374259348413,-0.011213023821912214,-0.011206863779452564,0.5368728494852554,nan,0.9957229788142106,0.9751233597241883,0.00670597933264624,0.006261446429856392,-0.4742756682166349,-0.012880399106764947,1.0,0.9939024279589459,-0.011092857764976215,0.0773838832007956,-0.009597618076855993
