Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,-0.9999990664765751,-0.9999993429487465,-0.9999996494623219,-0.9993136768559455,0.19158354360720345,nan,0.08468894702396189,0.02512540092544113,0.047742083641179385,-0.40830337564493907,-0.9996046178842334,0.2563613503336933,0.20926085246138496,-0.05465152777772019
y,-0.9999990664765751,0.9999999999999999,0.9999999757874446,0.9999988586456419,0.9992823728806184,-0.1926528689817787,nan,-0.08566046946641333,-0.02525893379320239,-0.04791333880054774,0.4094563211424506,0.9995773364262449,-0.2573541313159476,-0.210136402634279,0.054897809464876345
z,-0.9999993429487465,0.9999999757874446,1.0,0.9999991121561355,0.9992875506680312,-0.19248091459729083,nan,-0.08550428642773646,-0.025237427210560846,-0.04788580158986317,0.4092708379428939,0.9995818633597062,-0.25719425487094344,-0.20999545543426637,0.05485817322289595
r,-0.9999996494623219,0.9999988586456419,0.9999991121561355,1.0,0.9993153677663436,-0.1917605249042545,nan,-0.08484722391997682,-0.02514607613667336,-0.047702177864827576,0.4084725693582328,0.9996074595265453,-0.2559381549146614,-0.20873547489431388,0.05462501339543158
hue,-0.9993136768559455,0.9992823728806184,0.9992875506680312,0.9993153677663436,1.0,-0.18299566108790216,nan,-0.07857885951232683,-0.020447889548677625,-0.04762085778437382,0.3954167275770199,0.9999457603537943,-0.23980327664268006,-0.1950743980068354,0.050370384763485175
gamma,0.19158354360720345,-0.1926528689817787,-0.19248091459729083,-0.19176052490425446,-0.18299566108790213,0.9999999999999998,nan,0.9845044689659311,0.023475919587925137,0.08399274834666452,-0.9406252620487596,-0.18319691102089367,0.5271323373076127,0.5072257870791284,-0.08980606030929157
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.08468894702396189,-0.08566046946641333,-0.08550428642773646,-0.08484722391997682,-0.07857885951232683,0.984504468965931,nan,1.0,0.007555636377787855,0.06504023441681263,-0.8676385457135819,-0.07836030813740408,0.4477271851384057,0.45236870768024817,-0.0631429755540805
sin(hue),0.025125400925441126,-0.02525893379320239,-0.025237427210560846,-0.02514607613667336,-0.020447889548677625,0.023475919587925137,nan,0.007555636377787854,1.0,0.013110178849581015,-0.05370826245235953,-0.021732479412825738,0.05307052862428212,0.029154199220294972,-0.7854277520309942
cos(hue),0.04774208364117939,-0.04791333880054774,-0.04788580158986317,-0.04770217786482758,-0.04762085778437382,0.08399274834666454,nan,0.06504023441681261,0.013110178849581017,0.9999999999999999,-0.11455049094722822,-0.04679344667868135,0.17556148989934087,0.154520009848245,-0.6277256114569143
m0/gamma,-0.40830337564493907,0.4094563211424506,0.4092708379428939,0.40847256935823273,0.39541672757701984,-0.9406252620487595,nan,-0.8676385457135819,-0.053708262452359525,-0.11455049094722822,0.9999999999999998,0.3964618550091783,-0.6545306687812854,-0.5918514290743417,0.13602404275710125
d12,-0.9996046178842334,0.9995773364262448,0.9995818633597063,0.9996074595265453,0.9999457603537943,-0.18319691102089367,nan,-0.07836030813740408,-0.021732479412825738,-0.04679344667868134,0.3964618550091783,1.0,-0.24017907215626502,-0.19484099096419552,0.05083819511141401
1/d12^2,0.2563613503336933,-0.2573541313159476,-0.25719425487094344,-0.2559381549146614,-0.23980327664268003,0.5271323373076128,nan,0.4477271851384057,0.05307052862428212,0.17556148989934087,-0.6545306687812854,-0.24017907215626502,1.0,0.9788905421240957,-0.18779784238366173
1/d12^3,0.20926085246138498,-0.210136402634279,-0.20999545543426634,-0.20873547489431388,-0.19507439800683538,0.5072257870791284,nan,0.4523687076802481,0.02915419922029497,0.154520009848245,-0.5918514290743417,-0.1948409909641955,0.9788905421240958,1.0,-0.15656030616383662
cos(d_hue),-0.05465152777772019,0.054897809464876345,0.05485817322289595,0.05462501339543159,0.050370384763485175,-0.08980606030929157,nan,-0.0631429755540805,-0.7854277520309944,-0.6277256114569142,0.13602404275710123,0.05083819511141401,-0.18779784238366176,-0.15656030616383662,1.0
