Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.9433811488196968,0.6220747256363048,0.9356944034382311,0.5890784320742524,-0.4868009982497461,nan,-0.4370269099360081,-0.5525012843429311,0.6487666441500737,-0.4510710152446732,0.602209178350058,0.2973149038659944,0.4465284673854479,0.43836863811451,0.6487665532387021,0.3992111695269862,-0.767754398354194,0.9283886778833638,-0.5299037389094032
y,-0.9433811488196968,0.9999999999999999,-0.4674287489826092,-0.9696201209343795,-0.42616339705796813,0.5490823420403774,nan,0.48193553021441815,0.5975571446560344,-0.5155448642289788,0.2524873663782689,-0.6676384535655825,-0.216234867394248,-0.49895951653866943,-0.4821005332133601,-0.5155446859126707,-0.2637409091180929,0.8604414775115496,-0.9159767503439652,0.6777252818166215
z,0.6220747256363048,-0.4674287489826092,1.0,0.5985667276331976,0.9815246577408907,-0.5066476522473581,nan,-0.2916316644490667,-0.3658212590975654,0.9762041112066329,-0.9521277696614953,0.5706432595610046,0.11775735431690754,0.30600812315665293,0.29418712010633713,0.9762041461220753,-0.05885201597061579,-0.25158954619329305,0.6913281898813858,-0.37496041711795436
r,0.9356944034382311,-0.9696201209343795,0.5985667276331976,1.0,0.5615472946891114,-0.6309722218940719,nan,-0.5600383764089701,-0.6779520909890988,0.6300087292057353,-0.4148736623085874,0.7489196977685464,0.192649850183953,0.582032861722073,0.5604019370842186,0.630008606976798,0.12412375280051113,-0.8441063285011983,0.971291567599841,-0.7561775259324733
hue,0.5890784320742524,-0.42616339705796813,0.9815246577408907,0.5615472946891115,1.0,-0.5308478918460898,nan,-0.26129016298055363,-0.33015365033466965,0.9901352858322713,-0.9762064680925256,0.5858083840083832,0.10926570262465418,0.27474250795258603,0.26384749493400694,0.9901353473044936,-0.07855126307659163,-0.19327669096329947,0.6495542250381505,-0.35944072927669457
gamma,-0.48680099824974615,0.5490823420403774,-0.5066476522473581,-0.6309722218940719,-0.5308478918460899,1.0,nan,0.33864336953115065,0.42632438095263686,-0.5752514128029773,0.43445353560786876,-0.9743362865064168,0.04234391921299977,-0.36754760857185137,-0.338555742563043,-0.5752514273242623,0.22213470718673842,0.42733168782331626,-0.5914526440034245,0.6776563894635759
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.43702690993600807,0.4819355302144181,-0.2916316644490667,-0.5600383764089701,-0.26129016298055363,0.33864336953115065,nan,1.0,0.9819872312072669,-0.2873206303335929,0.20212396634577615,-0.38656750445271937,-0.24054977146882148,-0.9971819098385925,-0.9999814980616896,-0.2873205909764437,0.01283796252651547,0.4372735148888041,-0.6156801387486129,0.34809997567679196
1/r^2,-0.5525012843429311,0.5975571446560344,-0.36582125909756547,-0.6779520909890988,-0.33015365033466965,0.42632438095263686,nan,0.9819872312072669,1.0,-0.3634557918157886,0.2545719339223523,-0.4792226263992093,-0.2496580153784329,-0.985793055556716,-0.9821067512244906,-0.3634557385853159,-0.018512307610472574,0.5699335401583646,-0.7340865390115306,0.44680360451894896
sin(hue),0.6487666441500737,-0.5155448642289788,0.9762041112066329,0.6300087292057351,0.9901352858322712,-0.5752514128029772,nan,-0.2873206303335929,-0.3634557918157885,1.0,-0.9370021695310073,0.6370986936246554,0.12178091767424139,0.3016660599753667,0.28971397404303284,0.9999999998645858,-0.05055604874234618,-0.26552871437263476,0.7034082711591284,-0.40916315757276445
