Feature,x,y,z,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,0.9999999999999998,-0.8126890323892656,0.9803604772600836,0.9112318037724314,0.9096059147692708,-0.7686163875211045,-0.43751839254393526,-0.5406752942341294,-0.1431573040633227,0.04008953528160744,0.7685955995147894,0.19576197611156176,0.43745214140281646,0.43786806249719623,-0.14315717658892407,0.5250502169138936,0.09483784735144334,-0.10654106971637858,-0.8060250550252421
y,-0.8126890323892656,1.0,-0.7307926995193677,-0.7272577183137507,-0.5065032110927812,0.4251561507343086,0.4315793743571471,0.5186368743475291,0.1513927565605728,-0.0029170325620057856,-0.4251227063038034,-0.19149812078879613,-0.43148271723430803,-0.4319607597192737,0.15139269244084969,-0.4397194356915993,-0.13337039669606374,0.15324543934155538,0.7332472832598331
z,0.9803604772600838,-0.7307926995193677,1.0,0.9621042562120561,0.9551169247197626,-0.8406885115707476,-0.48232192003650526,-0.5893544880710484,-0.08297546618604214,0.11687665015752119,0.8406721676027376,0.13147932686356364,0.4823241485738715,0.48241180899340774,-0.0829753296550761,0.501761367674396,0.19902366133812796,-0.2133781341829271,-0.8340265233992349
r,0.9112318037724315,-0.7272577183137507,0.9621042562120561,1.0,0.8838919423806058,-0.8334860810597389,-0.5881757180898459,-0.6964827777421609,-0.012035869585890212,0.22313414542769341,0.8334667518144723,0.03337744875130288,0.588272615982487,0.5878759240189729,-0.012035748637005456,0.4547386426609126,0.3948888152264428,-0.4164686779433223,-0.8872953594707382
hue,0.9096059147692707,-0.5065032110927813,0.9551169247197625,0.8838919423806056,1.0,-0.8650483226034772,-0.3971400153776607,-0.49322276274034793,-0.06573038458914317,0.1115222940141819,0.8650455917354205,0.12185329165247336,0.39714516536611727,0.3972428728526079,-0.06573023266035374,0.46259316810330225,0.12836201782273005,-0.1389994383893114,-0.72395269447224
gamma,-0.7686163875211046,0.4251561507343087,-0.8406885115707476,-0.8334860810597389,-0.8650483226034772,0.9999999999999999,0.33583824492650405,0.42091594992143083,0.0032352785152989076,0.102929166107895,-0.9999994961785007,-0.013896621031242395,-0.3359343776598149,-0.3355670504889831,0.0032351665460124204,-0.1765559125971486,-0.24131660944904504,0.11383944983730872,0.6000098889317107
1/r^3,-0.43751839254393526,0.43157937435714716,-0.4823219200365053,-0.5881757180898458,-0.39714001537766075,0.3358382449265041,1.0,0.9839855337327642,0.1883583048668489,-0.393950508632124,-0.3358249442801604,-0.024573152210154128,-0.9999994849541606,-0.9999923090522264,0.18835825488458355,-0.2509337642433155,-0.4769118202134021,0.6857930907648571,0.7560418804295451
1/r^2,-0.5406752942341294,0.5186368743475291,-0.5893544880710484,-0.6964827777421609,-0.493222762740348,0.4209159499214308,0.9839855337327642,0.9999999999999999,0.19104180388479233,-0.4243725715219501,-0.42089775890022985,-0.029203334809429875,-0.9840082195200769,-0.9839087800296502,0.19104173395333263,-0.31556172726559756,-0.5354720264735677,0.7219913800050222,0.8527849140160969
sin(hue),-0.1431573040633227,0.1513927565605728,-0.08297546618604214,-0.012035869585890212,-0.06573038458914318,0.003235278515298907,0.1883583048668489,0.19104180388479233,1.0,0.041001223058883644,-0.0032350897088947103,-0.35036500687967737,-0.18802408545454288,-0.1896929647365145,0.9999999999648463,-0.020208969442312565,0.14454195279838764,-0.04756550382875748,0.2552418074393298
cos(hue),0.04008953528160744,-0.0029170325620057856,0.11687665015752119,0.22313414542769341,0.1115222940141819,0.10292916610789501,-0.393950508632124,-0.4243725715219502,0.041001223058883644,0.9999999999999999,-0.10296106389572844,-0.20986253422815046,0.394191196207069,0.393016972067058,0.041001152459682416,0.5959469664704928,0.4200548637569187,-0.7679664372737744,-0.37163271807955
m0/gamma,0.7685955995147894,-0.4251227063038034,0.8406721676027376,0.8334667518144722,0.8650455917354205,-0.9999994961785007,-0.3358249442801604,-0.4208977589002299,-0.0032350897088947107,-0.10296106389572844,1.0,0.013891488406945932,0.3359210052493816,0.335553748274112,-0.003234977739206152,0.17651607395243993,0.2413098689031602,-0.11381789330041626,-0.5999743231594958
x/r^3,0.19576197611156176,-0.1914981207887961,0.13147932686356362,0.03337744875130288,0.12185329165247334,-0.013896621031242395,-0.024573152210154128,-0.029203334809429875,-0.35036500687967737,-0.20986253422815046,0.013891488406945932,1.0,0.02359577764526379,0.02846036767724374,-0.350364899819584,-0.3298213361314942,-0.6075994008377686,0.3458931417371454,-0.16261099000629592
y/r^3,0.4374521414028165,-0.43148271723430803,0.4823241485738715,0.5882726159824871,0.3971451653661172,-0.3359343776598149,-0.9999994849541606,-0.9840082195200768,-0.18802408545454288,0.39419119620706894,0.3359210052493816,0.023595777645263785,1.0,0.9999879120642758,-0.1880240355503838,0.2513380401352228,0.47756763353925075,-0.6861773538925466,-0.7559998109101814
z/r^3,0.43786806249719623,-0.4319607597192738,0.48241180899340774,0.5878759240189728,0.3972428728526079,-0.3355670504889831,-0.9999923090522264,-0.9839087800296502,-0.1896929647365145,0.393016972067058,0.335553748274112,0.02846036767724374,0.9999879120642758,0.9999999999999999,-0.18969291441364025,0.2493887004777533,0.47434610024476187,-0.6842815443023043,-0.7562762564545512
K_sync,-0.14315717658892407,0.15139269244084969,-0.0829753296550761,-0.012035748637005456,-0.06573023266035374,0.0032351665460124204,0.18835825488458355,0.19104173395333265,0.9999999999648462,0.041001152459682416,-0.0032349777392061516,-0.350364899819584,-0.18802403555038383,-0.18969291441364028,0.9999999999999999,-0.020209022864559806,0.14454198422741202,-0.04756552083332323,0.25524162530323397
F_pauli_x,0.5250502169138936,-0.4397194356915993,0.501761367674396,0.4547386426609126,0.46259316810330225,-0.1765559125971486,-0.2509337642433155,-0.31556172726559756,-0.020208969442312562,0.595946966470493,0.17651607395243993,-0.3298213361314943,0.2513380401352228,0.24938870047775333,-0.020209022864559806,1.0,0.2567445555302516,-0.3822762360009283,-0.45532970477888624
F_pauli_y,0.09483784735144334,-0.1333703966960637,0.19902366133812796,0.3948888152264428,0.12836201782273005,-0.241316609449045,-0.4769118202134021,-0.5354720264735677,0.14454195279838764,0.42005486375691864,0.24130986890316022,-0.6075994008377686,0.4775676335392508,0.4743461002447619,0.14454198422741205,0.2567445555302516,0.9999999999999999,-0.8403516379765392,-0.44617947539927816
F_pauli_z,-0.10654106971637858,0.15324543934155538,-0.21337813418292711,-0.4164686779433224,-0.1389994383893114,0.11383944983730872,0.6857930907648571,0.7219913800050222,-0.047565503828757474,-0.7679664372737744,-0.11381789330041626,0.34589314173714547,-0.6861773538925466,-0.6842815443023044,-0.04756552083332323,-0.38227623600092836,-0.8403516379765392,1.0,0.5816535422055102
F_torsion,-0.8060250550252421,0.7332472832598331,-0.8340265233992349,-0.8872953594707382,-0.72395269447224,0.6000098889317107,0.7560418804295451,0.8527849140160969,0.2552418074393298,-0.37163271807955,-0.5999743231594958,-0.1626109900062959,-0.7559998109101814,-0.7562762564545512,0.25524162530323397,-0.45532970477888624,-0.44617947539927816,0.5816535422055101,1.0
