Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9730681694675155,0.27985289511136474,0.9230179616587703,0.6173432311746023,-0.495128999425275,nan,-0.3878533343412762,-0.49295356218943176,0.7173705737345418,-0.4750899757576536,0.5628594396672724,0.01734803808142107,0.3898389352764148,0.3895986007791049,0.7173704953838792,0.48113270340263015,-0.31269186158171913,0.9134743356413408,-0.44364445260721036
y,0.9730681694675155,1.0,0.4126582552915922,0.9716625516306114,0.7248879172290268,-0.6250491846336235,nan,-0.4535117045657635,-0.5634525160587012,0.809834657599453,-0.5987711109978107,0.6858026046216178,-0.05926158875333663,0.44618106400311086,0.4556714506894947,0.809834560850143,0.2985060646622119,-0.2870833960970061,0.9710468118884434,-0.5653567977012882
z,0.2798528951113648,0.4126582552915922,1.0,0.3083047970060407,0.9085753945937791,-0.33337164481203607,nan,-0.13116686353158974,-0.16609146361002944,0.8150904550976313,-0.9690791903409861,0.36683877346414334,-0.03160602375050567,0.12679899757719124,0.13415659887817474,0.8150905285533455,-0.18088075320936514,-0.4743993820398499,0.4779156931514324,-0.22773975510998193
r,0.9230179616587704,0.9716625516306114,0.3083047970060407,1.0,0.639626882001059,-0.710062265682871,nan,-0.5427684940358806,-0.6544895133106019,0.7351096692033263,-0.5088471497584093,0.7597638393204265,-0.15195304345234262,0.5243571474167292,0.5446925039248098,0.7351095751204203,0.16162158674941865,-0.1541559351904101,0.966743595853939,-0.662850892074098
hue,0.6173432311746022,0.7248879172290268,0.9085753945937792,0.639626882001059,1.0,-0.5500406148314041,nan,-0.266395826344055,-0.33663576208884183,0.9784763427223342,-0.980208881114845,0.6076227613038585,-0.04795983996361344,0.2590089782423183,0.2694830237082415,0.9784763959855972,-0.027237993844441033,-0.45934195075036244,0.756129411942746,-0.44515906518769605
gamma,-0.49512899942527494,-0.6250491846336235,-0.333371644812036,-0.7100622656828709,-0.5500406148314041,1.0,nan,0.3097290285573957,0.3998081881803192,-0.6039062922422391,0.47708099493693057,-0.977295912237174,0.0590614138967954,-0.30900493652029287,-0.3118199733459325,-0.6039063037630482,0.32618954259376387,-0.19065380560406883,-0.6406601943319823,0.9153194672786066
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.3878533343412762,-0.4535117045657635,-0.13116686353158974,-0.5427684940358807,-0.26639582634405495,0.3097290285573957,nan,0.9999999999999999,0.9835260383427199,-0.2994458910716835,0.21962582321132657,-0.3424211188531063,0.4775480760921454,-0.9804676991426737,-0.999981208178101,-0.2994458386795509,0.1671785934102323,-0.2159800977584158,-0.5583204676052512,0.20338450972492028
1/r^2,-0.4929535621894318,-0.5634525160587012,-0.1660914636100294,-0.6544895133106019,-0.33663576208884183,0.3998081881803192,nan,0.9835260383427198,1.0,-0.3791466653380908,0.27628942888123975,-0.4313287775066793,0.437476741716598,-0.9632639842374613,-0.9840340167858952,-0.3791466003165004,0.1246145196224673,-0.14781240626173583,-0.6706690169244937,0.2779178063429781
sin(hue),0.7173705737345419,0.8098346575994528,0.8150904550976312,0.7351096692033264,0.9784763427223342,-0.6039062922422391,nan,-0.2994458910716835,-0.3791466653380908,1.0,-0.9197472989547956,0.6691162175500169,-0.04820498045435925,0.2916712361112532,0.3023529863077894,0.9999999998525405,0.04136604391435674,-0.4223002161986058,0.8240824796157654,-0.4990682047835165
cos(hue),-0.4750899757576536,-0.5987711109978108,-0.9690791903409861,-0.5088471497584093,-0.9802088811148449,0.4770809949369306,nan,0.2196258232113266,0.27628942888123975,-0.9197472989547956,1.0,-0.5237383272828956,0.05045346165613703,-0.2122684414969247,-0.2227554314495312,-0.9197473856146622,0.11495873420417942,0.46989320867219514,-0.6491261980459516,0.3744727920878967
m0/gamma,0.5628594396672724,0.6858026046216179,0.36683877346414334,0.7597638393204265,0.6076227613038586,-0.9772959122371739,nan,-0.3424211188531063,-0.4313287775066793,0.6691162175500168,-0.5237383272828956,1.0,-0.10747731311038927,0.33219110523376794,0.34449241381138795,0.6691162476266143,-0.2719139419546094,0.09577134442047701,0.6932355622087031,-0.9069933845712396
x/r^3,0.01734803808142107,-0.05926158875333663,-0.03160602375050567,-0.15195304345234262,-0.04795983996361344,0.0590614138967954,nan,0.4775480760921454,0.437476741716598,-0.04820498045435926,0.05045346165613703,-0.10747731311038927,0.9999999999999998,-0.3091642976289353,-0.47662447636990257,-0.04820496086737483,0.5562136681914649,-0.273450260642008,-0.09472074226972668,0.07976887512361079
y/r^3,0.3898389352764148,0.4461810640031109,0.12679899757719124,0.5243571474167292,0.2590089782423183,-0.30900493652029287,nan,-0.9804676991426737,-0.9632639842374612,0.2916712361112532,-0.2122684414969247,0.33219110523376794,-0.30916429762893527,1.0,0.9805804267862082,0.2916711810744911,-0.0910451437726755,0.2051104181380212,0.551270545966949,-0.19061658870831097
z/r^3,0.38959860077910496,0.4556714506894947,0.13415659887817474,0.5446925039248097,0.2694830237082415,-0.31181997334593253,nan,-0.9999812081781009,-0.9840340167858953,0.3023529863077894,-0.22275543144953122,0.3444924138113879,-0.47662447636990257,0.9805804267862084,1.0,0.3023529342779533,-0.16728269373086319,0.2142185723481821,0.5607111441465442,-0.20494972367788644
K_sync,0.7173704953838792,0.809834560850143,0.8150905285533454,0.7351095751204203,0.9784763959855973,-0.6039063037630482,nan,-0.2994458386795508,-0.3791466003165004,0.9999999998525404,-0.9197473856146621,0.6691162476266143,-0.04820496086737483,0.2916711810744911,0.3023529342779533,1.0,0.04136600787077053,-0.4223002917367462,0.8240823994362033,-0.4990682794820667
F_pauli_x,0.48113270340263015,0.2985060646622119,-0.18088075320936514,0.16162158674941865,-0.027237993844441033,0.3261895425937638,nan,0.1671785934102323,0.12461451962246729,0.04136604391435675,0.11495873420417943,-0.2719139419546094,0.556213668191465,-0.0910451437726755,-0.16728269373086319,0.041366007870770535,1.0,-0.5279601312816633,0.20819450331901,0.33395920910257726
F_pauli_y,-0.3126918615817191,-0.2870833960970061,-0.4743993820398499,-0.1541559351904101,-0.45934195075036244,-0.19065380560406883,nan,-0.2159800977584158,-0.14781240626173583,-0.4223002161986058,0.46989320867219514,0.09577134442047701,-0.27345026064200795,0.20511041813802122,0.2142185723481821,-0.4223002917367462,-0.5279601312816633,1.0,-0.3213353539994455,-0.21691295468854735
F_pauli_z,0.9134743356413408,0.9710468118884434,0.4779156931514324,0.966743595853939,0.7561294119427459,-0.6406601943319823,nan,-0.5583204676052512,-0.6706690169244935,0.8240824796157653,-0.6491261980459516,0.6932355622087032,-0.09472074226972668,0.551270545966949,0.5607111441465441,0.8240823994362032,0.20819450331901,-0.3213353539994455,1.0,-0.5490570426125467
F_torsion,-0.44364445260721036,-0.5653567977012883,-0.22773975510998193,-0.662850892074098,-0.44515906518769605,0.9153194672786065,nan,0.20338450972492025,0.2779178063429781,-0.49906820478351654,0.3744727920878967,-0.9069933845712396,0.07976887512361079,-0.19061658870831097,-0.20494972367788644,-0.4990682794820667,0.33395920910257726,-0.21691295468854738,-0.5490570426125467,1.0
