Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9997557115892111,-0.9999961733516212,0.999963890119655,0.9996671073955096,-0.20746853468943516,nan,-0.09400491609528402,0.01949559815019286,-0.01882826743660684,0.20578865545863173,-0.0031676019098880767,-0.12362280472368402,0.08057089634970101,-0.07870923326267143,-0.08314552823799237
y,0.9997557115892112,1.0,-0.9998115894347115,0.9999041916769265,0.9998502154322672,-0.21492354822968313,nan,-0.09009166628037306,0.019048240297969136,-0.018115923955109452,0.21384640386119677,-0.0014559421599975753,-0.11705706288320077,0.07720354842872876,-0.07550485502378708,-0.07992237164685968
z,-0.9999961733516213,-0.9998115894347115,1.0,-0.9999835122965465,-0.9997060366821645,0.2087527760859758,nan,0.09380349469452717,-0.019486407350493114,0.018785150619754765,-0.20714894078263138,0.002955908975035799,0.12307809338973827,-0.08041636456718665,0.07857435091895261,0.08301780380126585
r,0.999963890119655,0.9999041916769265,-0.9999835122965466,0.9999999999999998,0.9997701527351094,-0.21149379150348332,nan,-0.09338530518889052,0.019487617806594974,-0.01867863759800657,0.21004106817348936,-0.002523086090992262,-0.12192559582942487,0.08008350790426713,-0.07828344255483372,-0.08274788925697521
hue,0.9996671073955096,0.999850215432267,-0.9997060366821645,0.9997701527351095,0.9999999999999998,-0.20434079159379578,nan,-0.08669565065649279,0.017952900645777505,-0.01730187253757265,0.20312284822113846,-0.001747425397472084,-0.11434232740986092,0.07420982611925062,-0.07248854901127402,-0.07665654075934497
gamma,-0.20746853468943513,-0.21492354822968313,0.2087527760859758,-0.21149379150348332,-0.20434079159379578,1.0,nan,0.5022216814795745,-0.0822367580379986,0.056496318618969706,-0.9993932363699839,-0.013210311655026655,0.39156903757884143,-0.46310007086279903,0.46915930942433304,0.49150774881365844
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.09400491609528402,-0.09009166628037305,0.09380349469452717,-0.09338530518889052,-0.08669565065649279,0.5022216814795745,nan,1.0,-0.019726804607723816,0.06620355438469812,-0.4914631766963747,0.02720890531830638,0.9737436950955402,-0.9957679829387945,0.9957663182481298,0.9979771354025847
sin(hue),0.019495598150192864,0.019048240297969133,-0.01948640735049311,0.019487617806594974,0.017952900645777505,-0.0822367580379986,nan,-0.019726804607723816,1.0,-0.006300044447784118,0.08146034083320229,0.06868445465504856,-0.02492314866593048,0.011523663786311377,-0.010938353147578758,-0.015116232937610736
cos(hue),-0.01882826743660684,-0.018115923955109452,0.018785150619754765,-0.01867863759800657,-0.01730187253757265,0.056496318618969706,nan,0.0662035543846981,-0.006300044447784118,1.0,-0.05586727611903919,-0.03266242111812785,0.0618821652389113,-0.061622784442875334,0.06225552370168743,0.06325843062847947
m0/gamma,0.20578865545863173,0.21384640386119677,-0.20714894078263135,0.21004106817348936,0.20312284822113844,-0.9993932363699839,nan,-0.4914631766963747,0.08146034083320228,-0.05586727611903919,1.0,0.01658763095731213,-0.3803945142372259,0.4537702294961441,-0.45978067452371835,-0.481969695922514
K_sync,-0.003167601909888077,-0.0014559421599975755,0.002955908975035799,-0.0025230860909922622,-0.0017474253974720843,-0.013210311655026655,nan,0.02720890531830638,0.06868445465504858,-0.03266242111812785,0.01658763095731213,1.0,0.028240926124335562,-0.02244849997414567,0.021732758821748462,0.022929042539720886
F_pauli_x,-0.12362280472368402,-0.11705706288320075,0.12307809338973827,-0.12192559582942487,-0.11434232740986092,0.39156903757884143,nan,0.9737436950955402,-0.024923148665930484,0.0618821652389113,-0.380394514237226,0.028240926124335562,1.0,-0.9759457199144563,0.9715283983865283,0.9739947386332111
F_pauli_y,0.08057089634970101,0.07720354842872876,-0.08041636456718665,0.08008350790426713,0.07420982611925062,-0.46310007086279903,nan,-0.9957679829387944,0.011523663786311377,-0.061622784442875334,0.45377022949614415,-0.022448499974145667,-0.9759457199144563,1.0,-0.9997472637764669,-0.9992714795311378
F_pauli_z,-0.07870923326267143,-0.07550485502378709,0.07857435091895261,-0.07828344255483372,-0.07248854901127402,0.4691593094243331,nan,0.9957663182481297,-0.010938353147578758,0.06225552370168743,-0.4597806745237184,0.021732758821748466,0.9715283983865283,-0.9997472637764669,1.0,0.9991935582883595
F_torsion,-0.08314552823799237,-0.07992237164685968,0.08301780380126585,-0.08274788925697521,-0.07665654075934496,0.4915077488136585,nan,0.9979771354025848,-0.015116232937610736,0.06325843062847947,-0.481969695922514,0.02292904253972089,0.9739947386332112,-0.9992714795311378,0.9991935582883598,0.9999999999999999
