Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.12145328193401772,nan,-0.6805637610125457,-0.09795019949753853,0.015400940812829406,nan,0.00049137924221881,-0.0009361291102496293,0.084331982942916,0.6402463957173183,-0.0013823229801459302,0.0003762953530109668,0.0003773666657050242,nan,nan
y,0.1214532819340177,1.0,nan,-0.06799576857788767,-0.07527095721949237,-0.2779175315590762,nan,6.492333649875242e-05,0.018323028933998554,0.04704004499163953,0.059665274151815835,0.017778003823941877,5.152839133369632e-05,4.9858756206493484e-05,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.6805637610125457,-0.06799576857788765,nan,1.0,0.1305562545244503,0.10411767236720992,nan,-0.0009213289276674391,0.011353428420726936,-0.10429020326773122,-0.7322980299417923,0.011910223826098423,-0.0007197695261568129,-0.0007070796566450786,nan,nan
hue,-0.09795019949753851,-0.07527095721949238,nan,0.13055625452445027,1.0,0.08347208130149694,nan,0.0006972912310508988,0.09180640487524643,0.028763139863269446,-0.14828079684596046,0.09218368429279118,0.0006402001801312973,0.0006661245913797259,nan,nan
gamma,0.015400940812829408,-0.2779175315590762,nan,0.10411767236720992,0.08347208130149693,1.0,nan,-0.00011519745399139809,0.02684911727809507,-0.1411767072491668,-0.14882192020741147,0.028299820170717405,0.004734049677500748,0.0004485556501957818,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.00049137924221881,6.492333649875242e-05,nan,-0.0009213289276674392,0.0006972912310508988,-0.00011519745399139808,nan,1.0,0.0005954113157717631,-0.0012435698920603001,-0.0013225134377035266,0.0006072897426867922,0.06314697716684682,0.9042235999331836,nan,nan
sin(hue),-0.0009361291102496293,0.018323028933998554,nan,0.011353428420726936,0.09180640487524641,0.02684911727809507,nan,0.0005954113157717631,0.9999999999999999,0.031081534826629904,-0.03260164558725526,0.9999714249222916,0.0006013059861895402,0.00032196645974432955,nan,nan
cos(hue),0.084331982942916,0.04704004499163954,nan,-0.10429020326773122,0.028763139863269446,-0.1411767072491668,nan,-0.0012435698920603001,0.031081534826629904,1.0,0.1406007334758468,0.024844302768555728,-0.0015236056346510922,-0.001226444071783451,nan,nan
m0/gamma,0.6402463957173183,0.059665274151815835,nan,-0.7322980299417924,-0.14828079684596046,-0.14882192020741145,nan,-0.0013225134377035266,-0.032601645587255264,0.14060073347584678,1.0,-0.03336926397177202,-0.0010638113258525097,-0.0010209625190191736,nan,nan
K_sync,-0.0013823229801459304,0.017778003823941877,nan,0.011910223826098423,0.09218368429279117,0.028299820170717402,nan,0.0006072897426867922,0.9999714249222917,0.024844302768555728,-0.03336926397177202,1.0,0.0006130131614922482,0.0003333541961641526,nan,nan
F_pauli_x,0.0003762953530109668,5.152839133369632e-05,nan,-0.0007197695261568129,0.0006402001801312973,0.004734049677500748,nan,0.06314697716684682,0.0006013059861895403,-0.0015236056346510922,-0.0010638113258525097,0.0006130131614922482,1.0,0.12909632680995758,nan,nan
F_pauli_y,0.00037736666570502416,4.985875620649348e-05,nan,-0.0007070796566450786,0.000666124591379726,0.0004485556501957818,nan,0.9042235999331835,0.00032196645974432955,-0.001226444071783451,-0.0010209625190191736,0.0003333541961641526,0.12909632680995756,1.0,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
