Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.0753568458340442,nan,-0.7750476547491358,-0.09204490613275552,0.022661585347205863,nan,0.00044671837073150217,-0.003758160486085347,0.08008730031683431,0.6713036976530112,-0.0007180142595156429,-4.7282311364518685e-06,0.0001995032960590542,nan,nan
y,0.0753568458340442,1.0,nan,-0.15146075064946884,-0.07846986202126421,0.30441282358993815,nan,9.028509056567985e-05,0.06903821571980422,-0.07049080902472998,0.13635149256394696,-0.002202546141327982,-1.7041943130555437e-06,4.009531405856975e-05,nan,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,-0.7750476547491357,-0.15146075064946884,nan,0.9999999999999999,0.09698993091044181,0.12285872880830953,nan,-0.0006686363514487227,0.009611712816901074,-0.11202744813987088,-0.7748221827527354,-0.0002547771404718542,7.054309630477189e-06,-0.0002986797337969696,nan,nan
hue,-0.09204490613275551,-0.07846986202126421,nan,0.09698993091044181,1.0,0.09223778905629011,nan,0.0004910698429495837,0.10197623297869432,0.013427457452562783,-0.13217497199333164,0.0001795114064167305,-9.418224593219383e-05,0.00038772068278626165,nan,nan
gamma,0.022661585347205863,0.3044128235899382,nan,0.12285872880830954,0.09223778905629011,1.0,nan,-8.004351512241505e-05,0.030229844775836245,-0.13824303381342293,-0.16081901683272337,-0.0026489980443631734,-0.0038989877709382985,-0.0002817498431271804,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,0.00044671837073150217,9.028509056567985e-05,nan,-0.0006686363514487227,0.0004910698429495837,-8.004351512241505e-05,nan,1.0,0.00031751676858028264,-0.0011823799927164738,-0.001125644780858936,0.0005236718765852969,0.006942151542259404,0.8241244938059445,nan,nan
sin(hue),-0.003758160486085347,0.06903821571980422,nan,0.009611712816901074,0.10197623297869433,0.030229844775836248,nan,0.00031751676858028264,1.0,0.03373026801198188,-0.025942630991702527,-0.001215202965490115,-0.0002981336496931158,-0.00012821788613389987,nan,nan
cos(hue),0.08008730031683431,-0.07049080902472998,nan,-0.11202744813987088,0.013427457452562783,-0.1382430338134229,nan,-0.0011823799927164738,0.03373026801198188,1.0,0.13892412779153174,-0.001105270840409779,0.0002518866359026854,-0.0009194775390286781,nan,nan
m0/gamma,0.6713036976530112,0.13635149256394696,nan,-0.7748221827527354,-0.13217497199333164,-0.16081901683272337,nan,-0.001125644780858936,-0.025942630991702527,0.1389241277915317,1.0,-0.00024918157926129167,5.9625971820935525e-05,-0.0005005920854567917,nan,nan
K_sync,-0.0007180142595156429,-0.002202546141327982,nan,-0.00025477714047185423,0.0001795114064167305,-0.0026489980443631734,nan,0.0005236718765852969,-0.0012152029654901148,-0.001105270840409779,-0.00024918157926129167,1.0,0.00035980761173856645,0.0009309123857359159,nan,nan
F_pauli_x,-4.7282311364518685e-06,-1.704194313055544e-06,nan,7.054309630477189e-06,-9.418224593219384e-05,-0.0038989877709382985,nan,0.006942151542259405,-0.0002981336496931158,0.0002518866359026854,5.962597182093552e-05,0.00035980761173856645,1.0,0.0917424729062,nan,nan
F_pauli_y,0.0001995032960590542,4.009531405856975e-05,nan,-0.0002986797337969696,0.00038772068278626165,-0.0002817498431271804,nan,0.8241244938059445,-0.00012821788613389984,-0.0009194775390286781,-0.0005005920854567916,0.0009309123857359159,0.0917424729062,1.0,nan,nan
F_pauli_z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F_torsion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
