Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9997520989556639,nan,0.9989896637624492,0.9999999649243827,0.22429029498871295,nan,-0.1101804771208836,0.999999964702494,-0.9680981484754987,-0.22123090680610957,0.9989896637621223,-0.11361376015482492,-0.11018047715749496,nan
y,0.9997520989556639,1.0,nan,0.9997425989337617,0.999747743573015,0.22468653882383446,nan,-0.11128677928681972,0.9997477350961007,-0.9702263054567718,-0.22165034214226692,0.9997425989335981,-0.11472071200276622,-0.11128677932383274,nan
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,0.9989896637624492,0.9997425989337617,nan,0.9999999999999999,0.998980866565485,0.22500783654354767,nan,-0.11241844311136386,0.9989808493789878,-0.9719666632443297,-0.22199769343650053,0.9999999999999998,-0.11585050003513646,-0.112418443148758,nan
hue,0.9999999649243826,0.9997477435730149,nan,0.998980866565485,1.0,0.22436093329243728,nan,-0.11021753349001351,0.9999999999994157,-0.9680418983621434,-0.22130066142691315,0.9989808665651616,-0.11365194401592023,-0.11021753352663126,nan
gamma,0.22429029498871292,0.2246865388238345,nan,0.22500783654354767,0.22436093329243725,1.0,nan,-0.9556864132193225,0.22436113969474164,-0.16241167607668616,-0.9999674664229372,0.2250078365641397,-0.9594681447653663,-0.9556864132757221,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.11018047712088361,-0.11128677928681972,nan,-0.11241844311136386,-0.11021753349001352,-0.9556864132193225,nan,0.9999999999999999,-0.11021763693490444,0.07935535664697001,0.9580247998878165,-0.112418443108933,0.9999015531511168,1.0,nan
sin(hue),0.9999999647024941,0.9997477350961005,nan,0.9989808493789878,0.9999999999994157,0.22436113969474167,nan,-0.11021763693490445,1.0,-0.9680416312403277,-0.22130086508291436,0.9989808493786638,-0.1136520506491213,-0.11021763697152229,nan
cos(hue),-0.9680981484754987,-0.9702263054567717,nan,-0.9719666632443297,-0.9680418983621434,-0.16241167607668616,nan,0.07935535664697001,-0.9680416312403276,1.0,0.1601812940050593,-0.971966663240083,0.08182926805528512,0.07935535667363547,nan
m0/gamma,-0.22123090680610957,-0.22165034214226692,nan,-0.22199769343650053,-0.22130066142691315,-0.9999674664229371,nan,0.9580247998878166,-0.22130086508291436,0.1601812940050593,1.0,-0.2219976934565203,0.9617074765406968,0.9580247999428075,nan
d12,0.9989896637621224,0.9997425989335982,nan,0.9999999999999998,0.9989808665651616,0.22500783656413967,nan,-0.112418443108933,0.9989808493786639,-0.971966663240083,-0.2219976934565203,1.0,-0.1158505000340173,-0.11241844314632712,nan
1/d12^2,-0.11361376015482491,-0.11472071200276622,nan,-0.11585050003513646,-0.11365194401592024,-0.9594681447653662,nan,0.9999015531511168,-0.1136520506491213,0.08182926805528512,0.9617074765406968,-0.1158505000340173,1.0,0.999901553154223,nan
1/d12^3,-0.11018047715749497,-0.11128677932383274,nan,-0.11241844314875798,-0.11021753352663125,-0.9556864132757221,nan,1.0,-0.11021763697152229,0.07935535667363545,0.9580247999428076,-0.11241844314632712,0.9999015531542231,1.0,nan
cos(d_hue),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
