Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,-0.6758842907927461,nan,0.9573472304375374,0.8392865521902778,-0.6722741767990008,nan,-0.5009875898656182,0.839552382645049,-0.6931519569068275,0.6722300729806452,0.8346377320658427,-0.45646874062814663,-0.4545443171034716,-0.13993802362424
y,-0.6758842907927461,0.9999999999999998,nan,-0.8100034706565283,-0.30442892069720057,0.302440880316531,nan,0.6759085919438196,-0.3049638222385019,0.035933609042652956,-0.3023690261473376,-0.29285688744161004,0.6517810210714327,0.6508056715757832,0.264809956073277
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,0.9573472304375376,-0.8100034706565283,nan,0.9999999999999998,0.7736870063134613,-0.47589974856832673,nan,-0.6792741809026167,0.7740395995442348,-0.5838816471951315,0.47587203166851655,0.766464116809096,-0.6449271542148158,-0.6434593819986383,-0.1986877964804629
hue,0.8392865521902779,-0.3044289206972006,nan,0.7736870063134613,1.0,-0.3804589113764665,nan,-0.5558006708730502,0.999999838683757,-0.9627345426793099,0.38034876239263016,0.9999227251148854,-0.5236688088277843,-0.5221818217834662,-0.17498597432108426
gamma,-0.6722741767990007,0.302440880316531,nan,-0.47589974856832673,-0.3804589113764665,0.9999999999999999,nan,-0.2390049911854909,-0.38060233878065153,0.3245259690839131,-0.9999998979710362,-0.38046178460399677,-0.29231954573861274,-0.2945909191614665,-0.1014845313362994
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.5009875898656183,0.6759085919438196,nan,-0.6792741809026166,-0.5558006708730501,-0.2390049911854909,nan,0.9999999999999998,-0.5560697133776333,0.3824869116861119,0.23918911347028804,-0.5476552157314926,0.9983479787638712,0.9982025591305013,0.4564388627085571
sin(hue),0.8395523826450488,-0.3049638222385019,nan,0.774039599544235,0.999999838683757,-0.38060233878065153,nan,-0.5560697133776333,1.0,-0.9625831841118453,0.38049219550990376,0.9999158144676884,-0.5239288941593835,-0.5224415835370341,-0.17511807108225952
cos(hue),-0.6931519569068275,0.03593360904265295,nan,-0.5838816471951314,-0.9627345426793099,0.32452596908391307,nan,0.38248691168611193,-0.9625831841118453,1.0,-0.32443400555041885,-0.965969910383625,0.35514800411649994,0.3538466225198517,0.09657183501441238
m0/gamma,0.6722300729806451,-0.3023690261473376,nan,0.4758720316685166,0.38034876239263016,-0.9999998979710362,nan,0.23918911347028804,0.38049219550990376,-0.3244340055504189,1.0,0.3803521928093372,0.29249563704560677,0.2947665914599071,0.10167322724615004
d12,0.8346377320658427,-0.29285688744161004,nan,0.7664641168090959,0.9999227251148854,-0.38046178460399677,nan,-0.5476552157314926,0.9999158144676884,-0.9659699103836249,0.3803521928093372,1.0,-0.515589068246609,-0.5141039276980444,-0.17128632192667528
1/d12^2,-0.45646874062814663,0.6517810210714327,nan,-0.6449271542148158,-0.5236688088277842,-0.29231954573861274,nan,0.9983479787638713,-0.5239288941593835,0.3551480041165,0.2924956370456067,-0.515589068246609,1.0,0.9999968845019195,0.4545761927089554
1/d12^3,-0.45454431710347165,0.6508056715757832,nan,-0.6434593819986383,-0.5221818217834662,-0.2945909191614665,nan,0.9982025591305013,-0.522441583537034,0.3538466225198517,0.29476659145990713,-0.5141039276980444,0.9999968845019195,1.0,0.4543955949298973
cos(d_hue),-0.13993802362423996,0.264809956073277,nan,-0.19868779648046292,-0.17498597432108426,-0.1014845313362994,nan,0.45643886270855705,-0.17511807108225952,0.09657183501441237,0.10167322724615005,-0.17128632192667528,0.45457619270895533,0.4543955949298973,1.0
