Feature,x,y,z,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.12765089587258044,0.7075947019592258,0.9077746248519738,0.905581533843674,-0.6244079403368928,-0.44440140086929586,-0.5500478521732873,0.7392511452664501,-0.8574557954794375,0.640016438115116,0.3374633987740666,0.46556637729673395,0.4625995258032183,0.7392510048892705,-0.08507094448573158,-0.34288864707435807,0.2959893868527557,0.0918019252943469
y,-0.12765089587258044,1.0,0.4830783736887392,-0.34083635064569734,0.25303631944792326,-0.009352271254629597,0.2824378719349672,0.3282664299853649,-0.575975680592407,-0.34587013489531265,0.05680338372095981,-0.1799319636176431,-0.26773151821658375,-0.26661090726650144,-0.5759754408217154,-0.41798585768060514,0.6738727298954318,-0.8749584085904538,-0.09583414061121624
z,0.7075947019592258,0.4830783736887392,1.0,0.588925842883055,0.9316997668174869,-0.4824408910153799,-0.2613780214885832,-0.3243727765756875,0.10319975402971973,-0.9483047482368291,0.5244088011276072,0.12565168897902806,0.29676479346281626,0.287957265669836,0.10319975871030271,-0.3977177504742946,-0.033494795966568895,-0.3844201357013024,0.019623432802496513
r,0.9077746248519738,-0.34083635064569734,0.588925842883055,1.0,0.7880289981423724,-0.5555850723221896,-0.6106568601110044,-0.7210813522212921,0.7286497059744206,-0.7352529458303058,0.5713806117297907,0.2603814024490002,0.6480869334222458,0.6221168664166348,0.728649482570127,-0.21923190505108875,-0.5961842355886254,0.49545936329840645,-0.04315418257338563
hue,0.905581533843674,0.25303631944792326,0.931699766817487,0.7880289981423725,1.0,-0.604022952154178,-0.37947083037661294,-0.46818357396383675,0.4456009408192455,-0.9932026581090313,0.6413747662349205,0.22097835109161584,0.41468226087783766,0.4041707883059106,0.44560091254200107,-0.32392737018470324,-0.17153990379844888,-0.06832552064481424,0.051965801660809295
gamma,-0.6244079403368928,-0.009352271254629597,-0.4824408910153799,-0.5555850723221896,-0.604022952154178,1.0,0.34987017922094016,0.40931077879292893,-0.46450721542871554,0.5874590825003692,-0.9918457974986848,-0.23902211701532233,-0.35883925669060274,-0.3630758552589634,-0.46450705708831547,0.06654175004568287,0.1888494743247213,-0.15898208645312292,0.005615625609745024
1/r^3,-0.4444014008692959,0.2824378719349673,-0.26137802148858313,-0.6106568601110044,-0.37947083037661294,0.34987017922094016,1.0,0.9830800587213495,-0.42097835540361245,0.35016646869158063,-0.34917142058357126,-0.30946997706065865,-0.9916633298395319,-0.9995302158499082,-0.4209783547927888,0.06662432749775486,0.4926707500569044,-0.41850637165451143,-0.10211247703787277
1/r^2,-0.5500478521732872,0.328266429985365,-0.3243727765756875,-0.7210813522212921,-0.46818357396383675,0.409310778792929,0.9830800587213495,1.0,-0.5135556858991366,0.4321361346182013,-0.4106860396467871,-0.32671087637743296,-0.9840194411809854,-0.9848737387708967,-0.5135556432766462,0.07787822694438674,0.5843963498119429,-0.48099411037434786,-0.099170961604276
sin(hue),0.7392511452664501,-0.5759756805924069,0.10319975402971975,0.7286497059744207,0.4456009408192455,-0.46450721542871554,-0.42097835540361245,-0.5135556858991366,1.0,-0.38313456301863547,0.45968636651627404,0.31544469278594417,0.42918942889240846,0.4247994429219663,0.9999999997627647,0.1221281218721739,-0.4660310794036299,0.7859778061102694,0.21752242368816682
cos(hue),-0.8574557954794375,-0.34587013489531265,-0.9483047482368291,-0.7352529458303058,-0.9932026581090313,0.587459082500369,0.35016646869158063,0.4321361346182013,-0.38313456301863547,1.0,-0.6313951079651418,-0.17940768104084345,-0.3894173415988017,-0.3756498574681435,-0.38313458839692677,0.39666841863862795,0.10526449062367978,0.1393381771210334,-0.03854816133469488
