Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9664437397665304,-0.4586704013537485,0.9334584011404491,0.761119582766272,-0.7149241838045947,nan,-0.4774248335690446,-0.5918622613177361,0.8253586076542208,-0.6284295125093109,0.7327535523175333,0.20591523033701578,0.473104767603153,0.47415404426343527,0.8253585580933572,0.34741219565589626,-0.6742321697113283,0.9319067083168517,-0.5612906346469679
y,0.9664437397665304,1.0,-0.5444940380439397,0.9694317745447941,0.7695629451908829,-0.7228148586767993,nan,-0.5431658951468605,-0.6647087415229652,0.8140178588820455,-0.6598006343003817,0.7378390806811581,0.0954811983657596,0.5403109579350879,0.5381643561753188,0.8140178152241793,0.17867024599226916,-0.7282532356103955,0.9576645123568369,-0.6138463170425817
z,-0.45867040135374854,-0.5444940380439396,0.9999999999999998,-0.527909573070341,-0.8413444563346482,0.395464936058196,nan,0.18174962353453525,0.2329011775321508,-0.7489393904104902,0.9175255327699466,-0.40653911403513165,-0.0019499108521131713,-0.17580738153170225,-0.1751989185510206,-0.7489393332255821,0.17986479790134627,0.3331858801071601,-0.40077964599165306,0.026662272549926282
r,0.933458401140449,0.969431774544794,-0.5279095730703409,0.9999999999999999,0.8009744658296046,-0.8044678678315033,nan,-0.5863155858608288,-0.7051779577799817,0.8523870639058354,-0.6907327407530146,0.8198103110298538,0.07277483255817645,0.5789143518651971,0.5811605801160271,0.8523870784497501,0.03520874805516049,-0.6936720294166698,0.95741290550591,-0.7213426160998524
hue,0.761119582766272,0.7695629451908828,-0.8413444563346482,0.8009744658296046,1.0,-0.66351864343875,nan,-0.3373607706960536,-0.42469576656731006,0.9868703690984675,-0.977437781535363,0.6823094615775179,0.06315410797688063,0.32978629601514625,0.3313183426805432,0.9868703735226213,-0.04788758558975594,-0.5307582043266594,0.6900342056743517,-0.33897734438866844
gamma,-0.7149241838045948,-0.7228148586767993,0.395464936058196,-0.8044678678315031,-0.66351864343875,0.9999999999999998,nan,0.44915243793877696,0.5292966252462574,-0.7192787353841202,0.5622921061874394,-0.9960577814323149,0.0005753057829304345,-0.4418940004692572,-0.44491139917696004,-0.7192787318858648,0.0692145576200715,0.5018886286282352,-0.7214888319491675,0.726434980752318
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.4774248335690446,-0.5431658951468605,0.18174962353453525,-0.5863155858608288,-0.3373607706960536,0.44915243793877696,nan,1.0,0.9808428427143397,-0.37402447213485474,0.26897831404408673,-0.4261341514742158,-0.21038050037533407,-0.9979042183207875,-0.9999177224655049,-0.37402454344530256,0.030136148883415786,0.442897948290243,-0.6794929338192712,0.43347080293769963
1/r^2,-0.5918622613177361,-0.6647087415229651,0.2329011775321508,-0.7051779577799817,-0.42469576656731,0.5292966252462574,nan,0.9808428427143399,1.0,-0.4696254930792513,0.34041423943299476,-0.5124292779963099,-0.1881746235154161,-0.9808253410852061,-0.9797265291410796,-0.46962554862835354,0.013612284733954897,0.5703242824270709,-0.7941899815648964,0.5265489996120594
sin(hue),0.8253586076542208,0.8140178588820455,-0.7489393904104903,0.8523870639058354,0.9868703690984675,-0.7192787353841202,nan,-0.37402447213485474,-0.4696254930792513,1.0,-0.931524714458284,0.7396905450564142,0.08059765273315188,0.36629864633984754,0.3684275867834925,0.9999999998440853,0.005501055652085822,-0.5686415795031203,0.7550288230571718,-0.426729172157133
