Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.7111149825354095,0.9738191013743979,0.9884466698208818,0.9769807489324233,-0.25764360670020564,nan,-0.23259572199988618,-0.3285498473838841,0.9752188115359378,-0.9903062859226972,-0.3142591237407412,0.11041276543306904,0.24167803301338672,0.23188499999170664,0.9752187472544637,0.23276065224695616,-0.25923411618432973,0.6333323796640068,-0.22590998849945657
y,-0.7111149825354095,1.0,-0.6039287298615024,-0.6760025907254922,-0.8110958126114656,0.3964608831673721,nan,0.29515843955727017,0.4043061243722985,-0.8155994304689884,0.7069403967213012,0.17466700567234963,-0.11463126471617775,-0.30485412957145036,-0.2963999292068737,-0.8155996652676301,-0.2630038601309012,0.4702065468539841,-0.8674645009659919,-0.3174601842147532
z,0.9738191013743979,-0.6039287298615023,1.0,0.9915956065417313,0.9358135567592121,-0.2752436901574814,nan,-0.19987352691274557,-0.2813392489325336,0.9323079782353437,-0.9884307944302589,-0.28010043555903,0.05224294540551572,0.2100201861589166,0.19842469151587502,0.9323078583526075,0.0727989612124055,-0.15792393483608655,0.4966891023736977,-0.34401182214734577
r,0.9884466698208817,-0.6760025907254921,0.9915956065417313,0.9999999999999998,0.9597903000227332,-0.3149342024779911,nan,-0.26237742562362004,-0.3560882249020002,0.9571248370844212,-0.9945057818359396,-0.2464044722560429,0.06475053340965417,0.27425506192953886,0.2609507416100506,0.9571247536798293,0.10327200993435583,-0.2622847887537903,0.6018271912984078,-0.29307373143540005
hue,0.9769807489324233,-0.8110958126114655,0.9358135567592121,0.9597903000227332,1.0,-0.2784298687227789,nan,-0.22389059905571077,-0.3230982393218295,0.9999486089502173,-0.9764125132609368,-0.35360824122779083,0.11354875766996816,0.23232229231117438,0.22381092058644267,0.9999486064032511,0.2570665665010531,-0.2742253250004549,0.6914000825145736,-0.09043022354272283
gamma,-0.2576436067002057,0.3964608831673721,-0.27524369015748146,-0.3149342024779911,-0.2784298687227789,1.0,nan,0.05211161881084644,0.11887802719234966,-0.27818726473468675,0.2908546255201233,-0.6293322438780513,-0.004607523341260217,-0.05676666216521207,-0.053051072667584666,-0.27818724016657476,0.31504422160024453,0.19332950971443666,-0.36515481671922284,-0.14149921133029886
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.2325957219998862,0.29515843955727017,-0.19987352691274554,-0.26237742562362004,-0.22389059905571077,0.05211161881084644,nan,1.0,0.9798739008818594,-0.224205852400035,0.21873357401114216,-0.11462713656102155,-0.05895444931725749,-0.9969131514652385,-0.9999057196559914,-0.22420591980617482,0.12910828490268775,0.5653354762677281,-0.5548403800031724,0.1933585696857032
1/r^2,-0.3285498473838841,0.40430612437229846,-0.2813392489325336,-0.3560882249020002,-0.3230982393218295,0.11887802719234966,nan,0.9798739008818594,1.0,-0.32373629078054383,0.30954002892231797,-0.12265227830905996,-0.06235416284460251,-0.9854391499470779,-0.978796954459288,-0.32373637595086086,0.09849200604243649,0.6935791923697524,-0.6805536344021755,0.19141597698968046
sin(hue),0.9752188115359379,-0.8155994304689883,0.9323079782353436,0.9571248370844212,0.9999486089502173,-0.2781872647346867,nan,-0.224205852400035,-0.3237362907805438,1.0,-0.9742102118679706,-0.35514973234663055,0.11490870223168419,0.23258695921202902,0.22416178866848613,0.9999999998468677,0.2612931116773004,-0.2767618797025175,0.6955219833678696,-0.08389177223025891
cos(hue),-0.9903062859226972,0.7069403967213013,-0.988430794430259,-0.9945057818359396,-0.9764125132609369,0.29085462552012326,nan,0.21873357401114216,0.30954002892231797,-0.9742102118679706,1.0,0.3017248959365085,-0.07759471860842106,-0.22850148169403917,-0.2178464700468484,-0.9742101579057397,-0.14627940956452143,0.2189280964899865,-0.5932687767256928,0.22862815387412705
m0/gamma,-0.3142591237407412,0.17466700567234966,-0.28010043555903,-0.2464044722560429,-0.35360824122779083,-0.6293322438780513,nan,-0.11462713656102155,-0.12265227830905995,-0.3551497323466306,0.30172489593650853,0.9999999999999998,0.01601249752633799,0.11397751796439905,0.11511302767406509,-0.3551496369791724,-0.3847134211886133,-0.22736746189500787,0.016712368849439788,0.05903984735164529
