Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9212883088369499,0.4632075049664986,0.8852171810096962,0.9690510001280894,-0.6915712851665577,nan,-0.39666090331266535,-0.49422024878379256,-0.001738416309374276,-0.00016387902854481549,0.6915613646591805,0.21602348458739185,0.3966611380603158,0.3966643098014503,-0.0017359495289455858,-0.0008216883994833056,0.00023926257374071955,-0.00023894104962302355,-0.7730876677655981
y,0.92128830883695,1.0,0.15320661618217019,0.9194938552538512,0.9798167512984766,-0.8101998234870099,nan,-0.46122628404798965,-0.5586444872202997,-0.0016257983244873078,-0.0008932675044126956,0.8101912278962249,0.14613713840426168,0.4612264046589573,0.4612268681084742,-0.0016212021891682687,-0.0009292824515533457,0.0002844994772208554,3.717453291846825e-05,-0.7905859222049039
z,0.4632075049664986,0.15320661618217019,1.0,0.4118470833820466,0.2534209474433806,-0.04614663570262509,nan,-0.22809248053030473,-0.2773037699494347,0.0003479169641176724,0.0013599476822357072,0.04613474441841105,0.10399315110222115,0.22809201978934476,0.2280959907253922,0.0003436038579575552,0.00046947302019617376,-0.0001617964744990402,-0.0004114648893371385,-0.3974883093886297
r,0.885217181009696,0.9194938552538512,0.4118470833820466,1.0,0.8960489414508142,-0.7680181181440499,nan,-0.5757388936614485,-0.6816488041427818,-0.0006859579399985015,-0.0005618570888740964,0.7680123905408136,0.033235008673198944,0.5757339037400561,0.5757363759827575,-0.0006832488692573593,-0.00042719579131177956,0.00013340232299090488,8.435199150878579e-05,-0.8720088649299371
hue,0.9690510001280894,0.9798167512984765,0.2534209474433806,0.8960489414508142,1.0,-0.7982371880371555,nan,-0.3845681563510814,-0.4806439203664658,-0.0018615593512427329,-0.0005868406311814978,0.7982300637555698,0.17536526483555012,0.3845675738998145,0.3845699164540088,-0.001857659311869754,-0.0009703176246891207,0.0002901584447755706,-0.00011154017279430835,-0.7440771907932215
gamma,-0.6915712851665576,-0.8101998234870099,-0.04614663570262508,-0.7680181181440499,-0.7982371880371556,1.0,nan,0.27493290842989293,0.34862657136042347,-0.0004183817364252767,0.000758189901844925,-0.9999999294767932,-0.010794566768405494,-0.2749295206705616,-0.27493016778122276,-0.0004218915133901936,0.0006690953440678203,-0.00020683659497100926,-7.374967752684684e-05,0.5136336611726674
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.39666090331266535,-0.46122628404798965,-0.22809248053030476,-0.5757388936614485,-0.3845681563510814,0.2749329084298929,nan,1.0,0.9845431654458614,-7.930017973776462e-05,0.0003072349212531449,-0.2749311096890407,-0.02184137284830422,-0.9999999987508649,-0.9999999994863754,-7.99334531749366e-05,2.4778753322368423e-05,-1.2897161863147021e-05,-0.0001245590309400505,0.7522224945527963
1/r^2,-0.49422024878379256,-0.5586444872202997,-0.2773037699494347,-0.6816488041427818,-0.48064392036646575,0.34862657136042347,nan,0.9845431654458614,1.0,-4.6769716931721664e-05,0.00037204634445426997,-0.34862470634657294,-0.026488284434279273,-0.9845419260471552,-0.9845424360612832,-4.771164268942265e-05,5.28840808718773e-05,-2.219805982505855e-05,-0.00014232425771539074,0.8466268058143672
sin(hue),-0.001738416309374276,-0.0016257983244873078,0.00034791696411767234,-0.0006859579399985015,-0.0018615593512427329,-0.0004183817364252767,nan,-7.930017973776462e-05,-4.6769716931721664e-05,1.0,0.000270200482955031,0.00041858533737043103,-0.00022182578520118376,7.929536409101159e-05,7.930064313434426e-05,0.9999982573556021,0.0005790694500760475,-0.00019023273419597865,-0.00052920327628469,3.919321734058623e-05
