Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,0.9999999999999998,-0.520841085831833,-0.40592074313580107,0.8849300039734064,0.9694245233003408,-0.6905313252967981,nan,-0.3962444641485516,-0.49374039140387804,-0.0006834782594892457,0.0007345162405662552,0.690536034159458,0.21625201205590353,0.3962440040515681,0.3962440746737993,-0.0006857762074302533,-0.000318844948925244,7.73334584236697e-05,-0.0004430159315668071,-0.7726106965117916
y,-0.520841085831833,1.0,0.989206097520041,-0.5772699685203426,-0.7139420093572968,0.791174567019137,nan,0.20102870340598025,0.2552244999298312,-0.00154918465681679,-0.0010274880661647265,-0.7911806779509398,-0.011586907733187619,-0.20102537782618798,-0.20102423029878366,-0.0015433570283997407,-0.0003863117501399107,0.0001312087734427666,0.0003027224600183829,0.3804346273818439
z,-0.40592074313580107,0.989206097520041,0.9999999999999999,-0.489728534147459,-0.6174537116766465,0.7569547291933459,nan,0.14023772469329832,0.18396925855611237,-0.0016928713891456986,-0.0009681508810952262,-0.7569580771795124,0.03294673155416553,-0.14023517225237972,-0.14023269976902147,-0.0016870567749641527,-0.00043752058937811256,0.00014794076235178163,0.0002550498437816869,0.27355242435347493
r,0.8849300039734065,-0.5772699685203425,-0.4897285341474589,1.0,0.8959234873665052,-0.7673275519569932,nan,-0.5756277357943834,-0.6815097470503804,0.000488125632426574,0.0004330022177405909,0.7673272315053896,0.03327339658175804,0.5756281666888933,0.5756238835467962,0.0004853949302706036,0.00013019319914632974,-4.6049354264666816e-05,-0.00014169956484603834,-0.8718623762979306
hue,0.9694245233003408,-0.7139420093572969,-0.6174537116766465,0.8959234873665052,1.0,-0.7969765789145195,nan,-0.38431412498078477,-0.48035579908079706,-0.00011318025677481877,0.0008923718037226481,0.7969814348764394,0.1758753941574382,0.3843130636283184,0.38431241898459695,-0.0001167273439062134,-0.00014597166724061446,2.4435557363831015e-05,-0.00044635072795217286,-0.7438971412324793
gamma,-0.6905313252967981,0.791174567019137,0.7569547291933459,-0.7673275519569932,-0.7969765789145196,1.0,nan,0.27440368650590635,0.34800048571561776,-0.0011559540929913477,0.0007064960797659431,-0.9999999041866773,-0.01079911860776052,-0.2744022147849452,-0.27439936669496234,-0.0011552968988717083,0.0006366694485386402,-0.0001961895068063636,-6.181325777110603e-05,0.5127180844636674
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.39624446414855163,0.20102870340598022,0.14023772469329832,-0.5756277357943834,-0.38431412498078477,0.27440368650590635,nan,1.0,0.9845496286387463,-0.0004984957984925159,-5.3132851781137464e-05,-0.2744011707447831,-0.021879862050368477,-0.9999999991724233,-0.9999999998267399,-0.0004979326265304222,-0.00017681203977310323,5.199750991082984e-05,-4.276771078337682e-05,0.7521605081918377
1/r^2,-0.4937403914038781,0.2552244999298312,0.1839692585561124,-0.6815097470503804,-0.48035579908079706,0.34800048571561776,nan,0.9845496286387463,1.0,-0.0005785549113089399,-8.440187944374922e-05,-0.3479975567440174,-0.026526682619595565,-0.9845505276769775,-0.9845488453086645,-0.0005777056162694345,-0.0002026422919695686,6.005290710401612e-05,-3.867262699878686e-05,0.8465618329164049
sin(hue),-0.0006834782594892458,-0.00154918465681679,-0.0016928713891456988,0.000488125632426574,-0.00011318025677481877,-0.0011559540929913475,nan,-0.0004984957984925159,-0.0005785549113089399,1.0,6.443217100432345e-05,0.001156507344725957,-0.00020549141629204543,0.0004984936497822614,0.0004984848490100092,0.9999982626681958,0.00046259845547967995,-0.0001528571769804453,-0.00048253233629320626,-0.0007408464347721629
