Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.9935381879773695,-0.9938156373208381,0.9989606429505307,0.9890137010028228,-0.15250872263219975,nan,-0.2864620108420275,-0.3672781189150429,0.9890130196971253,-0.9931977934883092,-0.19032078330317553,0.01016980589645197,0.2913371095436313,0.2864482967811369,0.9890129964316331,-0.22189946052400555,-0.36671675680136245,0.61688269135847,-0.5356364108190669
y,-0.9935381879773696,1.0,0.9999239404546164,-0.9962898874322358,-0.9696735981621736,0.15168073315511835,nan,0.23905641389798862,0.3084303640125928,-0.9696724466695549,0.9947867149785093,0.17515168755258262,0.005983180955234858,-0.24335565081019325,-0.23905986090524978,-0.9696724290401123,0.24899806657649787,0.2836656582865013,-0.5302848820836898,0.4590285320667284
z,-0.9938156373208381,0.9999239404546164,1.0,-0.9967145811487541,-0.9710364533909269,0.1594582667590627,nan,0.23821115356865988,0.3082955817501393,-0.9710353361078072,0.9947832584248364,0.17409748077991125,0.011354885780225985,-0.24267077928025138,-0.23820696229813293,-0.9710353196450113,0.25786768996437176,0.2851958399826101,-0.5328465857425742,0.46040610725589615
r,0.9989606429505306,-0.9962898874322358,-0.9967145811487541,0.9999999999999999,0.9850326447068543,-0.17089075452537938,nan,-0.28333158800092245,-0.3613928410925151,0.9850318449404187,-0.9947419081461322,-0.17310328463952845,-0.006240755710833005,0.28841766216628756,0.283307532825423,0.9850318227871772,-0.2553791420894525,-0.34829475592578,0.5982632537845556,-0.5226875374153502
hue,0.9890137010028228,-0.9696735981621736,-0.9710364533909268,0.9850326447068544,1.0,-0.21775442494133895,nan,-0.317881792148528,-0.40863297150367045,0.9999999999847812,-0.9750716494011628,-0.2149452917300196,0.009436593071870948,0.32335749077285025,0.31781922171724314,0.9999999997855823,-0.23190422496530896,-0.4240623213663325,0.6893069146004426,-0.5928691632657755
gamma,-0.15250872263219975,0.15168073315511835,0.15945826675906266,-0.17089075452537936,-0.21775442494133898,1.0,nan,0.012063222215511482,0.03376486829715371,-0.21775535981192617,0.17601273925843972,-0.3988553265818293,0.28471894990147867,-0.018764922960208763,-0.011651270197829553,-0.21775551135519783,0.6217126297376299,-0.02157385407981862,-0.10844132784438039,0.05410171908986477
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.2864620108420275,0.23905641389798862,0.2382111535686599,-0.28333158800092245,-0.317881792148528,0.012063222215511482,nan,1.0,0.9806371907727649,-0.3178831271659641,0.2531957596501715,-0.020184205006393643,-0.10921789135435499,-0.9992990095246902,-0.9999994947087499,-0.31788308943426274,0.12550557103013057,0.46465529813817313,-0.657052925791023,0.7584252262583742
1/r^2,-0.367278118915043,0.30843036401259283,0.3082955817501393,-0.3613928410925152,-0.40863297150367045,0.0337648682971537,nan,0.9806371907727649,1.0,-0.40863466206561844,0.3265092556161379,-0.005838679562273941,-0.10279185672061657,-0.9833038675012095,-0.9805844084054636,-0.4086345971407081,0.12715700044836453,0.6060312609313673,-0.7787798190517788,0.8676761430618536
sin(hue),0.9890130196971253,-0.9696724466695549,-0.9710353361078071,0.9850318449404188,0.9999999999847812,-0.21775535981192612,nan,-0.3178831271659641,-0.4086346620656184,0.9999999999999998,-0.9750704352990472,-0.21494611515475756,0.009436846429292642,0.32335884420449923,0.3178205556449045,0.9999999998010267,-0.23190414954884458,-0.42406456644041196,0.6893095946788729,-0.5928714588625253
cos(hue),-0.9931977934883093,0.9947867149785093,0.9947832584248363,-0.9947419081461322,-0.9750716494011629,0.1760127392584397,nan,0.2531957596501715,0.32650925561613797,-0.9750704352990472,1.0,0.17206893187091626,0.00458809648532986,-0.2578009221402434,-0.25317966634158173,-0.975070425495094,0.23897971638051943,0.3151925521054085,-0.5575385497500176,0.4807793420130141
m0/gamma,-0.1903207833031755,0.17515168755258262,0.17409748077991125,-0.17310328463952845,-0.21494529173001964,-0.3988553265818293,nan,-0.02018420500639364,-0.005838679562273941,-0.21494611515475756,0.17206893187091626,1.0,-0.07326729043084847,0.021656509674711777,0.020151578963150785,-0.21494618099389165,-0.18604792858756802,0.027358613678924813,-0.11566281289818538,0.03871573725877279
