Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,-0.8590879946773767,0.01835723694600821,-0.05161102340890195,0.03695121901279776,0.024601532491690337,0.02180676112062573,0.01198983227421827,-0.055652342527257107,0.024953271443632245,-0.17050578901655442,0.02811790893295168
r,-0.8590879946773767,0.9999999999999999,0.023995670217594793,-0.21668088352639192,-0.06937798763466603,-0.04629385683107579,0.021336751492330306,-0.041342518931731013,0.30044266375213446,-0.04579640382002987,0.21092959009696519,-0.028554433907286687
hue,0.01835723694600821,0.023995670217594793,1.0,-0.6519871125693345,-0.04805033477409366,-0.031135605232158362,0.9997614054010391,-0.964751709386489,0.2921382529248671,-0.04005731800148778,0.4513349030915849,-0.023787878073695524
gamma,-0.051611023408901946,-0.21668088352639192,-0.6519871125693345,1.0,0.041395481501443544,0.020657999556796865,-0.6575361759966378,0.5508159334133502,-0.43451219710667754,0.040111666815339446,-0.5023023025938961,0.012187320569454818
1/r^3,0.03695121901279776,-0.06937798763466603,-0.04805033477409365,0.041395481501443544,1.0,0.7163846485363314,-0.04874674084549713,0.03659399267940848,-0.019398443778684018,0.6695954729279979,-0.05841595020635448,0.0017900590884235557
1/r^2,0.024601532491690337,-0.04629385683107579,-0.031135605232158362,0.020657999556796865,0.7163846485363314,1.0,-0.03148694714593379,0.025900024796700095,-0.012710658774428662,-0.0043453638377685564,0.015137253017025955,0.000942388854133425
sin(hue),0.021806761120625733,0.021336751492330306,0.9997614054010392,-0.6575361759966379,-0.048746740845497134,-0.03148694714593379,0.9999999999999999,-0.9588952560943536,0.28877708691163123,-0.040806733027777084,0.45960487676869627,-0.023080575839716823
cos(hue),0.01198983227421827,-0.041342518931731013,-0.964751709386489,0.5508159334133501,0.03659399267940848,0.025900024796700095,-0.9588952560943536,1.0,-0.3102911285133707,0.028061321038008097,-0.31089118839889024,0.029146948563969828
m0/gamma,-0.05565234252725711,0.30044266375213446,0.2921382529248671,-0.4345121971066775,-0.01939844377868402,-0.012710658774428662,0.28877708691163123,-0.3102911285133707,1.0,-0.013764374798891456,0.09682044637757982,-0.040348279052278724
x/r^3,0.02495327144363224,-0.04579640382002987,-0.04005731800148778,0.040111666815339446,0.6695954729279979,-0.0043453638377685564,-0.040806733027777084,0.028061321038008097,-0.013764374798891456,1.0,-0.09588326149589267,0.0015103926476222047
K_sync,-0.1705057890165544,0.21092959009696519,0.45133490309158486,-0.5023023025938961,-0.05841595020635447,0.015137253017025955,0.4596048767686962,-0.31089118839889024,0.09682044637757982,-0.09588326149589267,1.0,-0.014599378176455065
F_pauli_x,0.02811790893295168,-0.028554433907286687,-0.023787878073695524,0.012187320569454818,0.0017900590884235557,0.0009423888541334251,-0.023080575839716823,0.02914694856396983,-0.04034827905227872,0.0015103926476222047,-0.014599378176455065,1.0
