Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.6001878343634087,0.8223782787015546,-0.7023375102346,-0.03442579168501712,-0.02076554102065873,-0.4674373388336265,-0.7356078165188334,0.7095585074902699,0.0297545344853339,-0.2501284697415411,0.012750458981875889
r,0.6001878343634087,0.9999999999999999,0.6509493906554605,-0.25004342339183694,-0.0879021685627275,-0.05316053181044148,-0.6937228606129042,-0.5355838429374495,0.40703946313837447,0.07484349195914597,-0.4688643920808375,0.017916095821071183
hue,0.8223782787015546,0.6509493906554605,1.0,-0.5178679818361268,-0.04273759047066676,-0.023683860481554932,-0.702317929199177,-0.48255755020005414,0.43641294739333514,0.041020572887443096,-0.5883835151144344,0.01151096246835179
gamma,-0.7023375102346,-0.25004342339183694,-0.5178679818361268,1.0,-0.02631757937875363,-0.020176549958315113,0.0022056660947036236,0.6237411331582554,-0.8048306702276756,0.014473014009262621,-0.1415103178771108,0.0197209840628606
1/r^3,-0.03442579168501711,-0.08790216856272752,-0.04273759047066676,-0.02631757937875363,1.0,0.7055722800025594,0.04975703845654381,0.038319959668703246,0.03710850598120233,-0.6972771996859346,0.03303280303668479,0.0020586789820910218
1/r^2,-0.020765541020658727,-0.05316053181044149,-0.02368386048155493,-0.02017654995831511,0.7055722800025594,1.0,0.03507355043944219,0.020345945287221633,0.03187071448496278,-0.04510540367900146,0.024775964147143198,0.0012491258988886417
sin(hue),-0.46743733883362654,-0.6937228606129042,-0.702317929199177,0.002205666094703624,0.049757038456543806,0.035073550439442186,0.9999999999999998,0.07745278079070858,-0.005512409962204772,-0.03096688302243101,0.9318593933808705,0.0060438078204743
cos(hue),-0.7356078165188334,-0.5355838429374494,-0.4825575502000541,0.6237411331582554,0.038319959668703246,0.020345945287221633,0.07745278079070858,0.9999999999999999,-0.8001994610493178,-0.03800070697241141,-0.2617668407355581,-0.04707816183445566
m0/gamma,0.7095585074902699,0.40703946313837447,0.43641294739333514,-0.8048306702276756,0.03710850598120233,0.03187071448496278,-0.005512409962204771,-0.8001994610493179,0.9999999999999999,-0.014538173963608528,0.24073582792342024,0.018695473704749246
x/r^3,0.029754534485333897,0.07484349195914596,0.041020572887443096,0.014473014009262621,-0.6972771996859346,-0.04510540367900146,-0.03096688302243101,-0.03800070697241141,-0.014538173963608528,0.9999999999999998,-0.017908042897400257,-0.0013596619238986786
K_sync,-0.2501284697415411,-0.46886439208083747,-0.5883835151144345,-0.1415103178771108,0.03303280303668479,0.024775964147143198,0.9318593933808705,-0.2617668407355581,0.24073582792342024,-0.01790804289740026,0.9999999999999999,0.023043249955508695
F_pauli_x,0.012750458981875889,0.017916095821071187,0.01151096246835179,0.019720984062860603,0.0020586789820910218,0.0012491258988886417,0.0060438078204743,-0.04707816183445566,0.018695473704749246,-0.0013596619238986786,0.023043249955508695,1.0
