Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,-0.998914580240403,0.10720997825294762,-0.0706778422126397,0.08444685047714692,0.08785843503185821,0.08600274376157263,-0.17745082323350114,0.11353675278239365,0.04860399921868682,0.11035686863643733,0.013248689288373666
r,-0.998914580240403,1.0,-0.11082541874810062,0.0644223758291044,-0.08560386300889357,-0.08896250087868797,-0.0890937341148732,0.18324284925005888,-0.10389323494399405,-0.04883038256834022,-0.11447338968356163,-0.012326044142528417
hue,0.10720997825294763,-0.11082541874810062,0.9999999999999998,-0.5619236562701909,-0.05392380656445836,-0.05484175834482761,0.9973757200294153,-0.9544910902965499,0.31834630082676524,-0.03713321434973473,0.994671767691623,-0.032726474139108994
gamma,-0.0706778422126397,0.0644223758291044,-0.5619236562701909,1.0,-0.04775138336899258,-0.048854012000164024,-0.5763046867333681,0.4594446350363112,-0.46379832202600046,-0.028833859475387493,-0.5286044303144781,0.0008488958849765758
1/r^3,0.08444685047714692,-0.08560386300889355,-0.05392380656445835,-0.04775138336899258,1.0,0.9733831334762604,-0.05566046954932883,0.04413183159288025,0.006746322809857499,0.8334100650117985,-0.052863203727041515,0.0020360300816649503
1/r^2,0.0878584350318582,-0.08896250087868796,-0.054841758344827615,-0.048854012000164024,0.9733831334762604,1.0,-0.056751703760939534,0.043960410494371695,0.007861217680463885,0.7806528278081315,-0.05347818194046826,0.0023143750627588897
sin(hue),0.08600274376157263,-0.08909373411487319,0.9973757200294153,-0.5763046867333681,-0.05566046954932883,-0.056751703760939534,1.0,-0.9307311081063787,0.3198652180840186,-0.038415838424308145,0.9869380626275386,-0.03383172300296045
cos(hue),-0.17745082323350114,0.18324284925005888,-0.9544910902965498,0.4594446350363113,0.04413183159288025,0.04396041049437169,-0.9307311081063788,1.0,-0.29800046163630184,0.029368062978086792,-0.9722136493343149,0.026855495924132344
m0/gamma,0.11353675278239365,-0.10389323494399405,0.31834630082676524,-0.4637983220260004,0.006746322809857499,0.007861217680463883,0.3198652180840186,-0.2980004616363019,1.0,0.0031822884278809227,0.3145826835854628,0.09633095105232382
x/r^3,0.04860399921868683,-0.04883038256834022,-0.037133214349734725,-0.028833859475387497,0.8334100650117984,0.7806528278081316,-0.03841583842430814,0.029368062978086792,0.0031822884278809227,1.0,-0.03440906440861858,0.0009165377178111573
K_sync,0.11035686863643733,-0.11447338968356163,0.9946717676916229,-0.5286044303144781,-0.05286320372704151,-0.053478181940468265,0.9869380626275387,-0.9722136493343149,0.3145826835854628,-0.03440906440861858,1.0,-0.02931092792078358
F_pauli_x,0.013248689288373666,-0.01232604414252842,-0.032726474139109,0.0008488958849765758,0.0020360300816649507,0.0023143750627588897,-0.033831723002960445,0.026855495924132344,0.09633095105232382,0.0009165377178111573,-0.02931092792078358,0.9999999999999998
