Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,0.9999999999999998,0.9999994026591571,nan,0.9999976130278713,0.9999999979058469,-0.9980535978312337,nan,-0.12133096464509473,0.9999481202173165,-0.9687000193460934,0.9980535547370825,0.9999976126233509,-0.12488277500936232,-0.12133094647495857,-0.9679252263303558
y,0.999999402659157,0.9999999999999998,nan,0.9999994036296623,0.9999994119451677,-0.9980503422118214,nan,-0.12134835302758402,0.9999459955119685,-0.9687458276193962,0.9980502823360409,0.9999994034442068,-0.12488590760201825,-0.1213483349619363,-0.9679712660250203
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,0.9999976130278712,0.9999994036296623,nan,1.0,0.9999976320312458,-0.9980464938144896,nan,-0.12135609477293391,0.9999429384697901,-0.9687843092104427,0.9980464145460786,0.9999999999985092,-0.12487943617499397,-0.12135607681160922,-0.9680098986752069
hue,0.9999999979058469,0.9999994119451677,nan,0.9999976320312458,1.0,-0.998054167885727,nan,-0.12132166919786516,0.9999474769677901,-0.9687159548732116,0.9980541300602109,0.9999976317200114,-0.12487321390607277,-0.12132165102912268,-0.9679413444860615
gamma,-0.9980535978312337,-0.9980503422118213,nan,-0.9980464938144895,-0.998054167885727,1.0,nan,0.05921042675790903,-0.9979258497234146,0.9691499114503184,-0.9999999657839255,-0.9980465043795361,0.06280860569181324,0.05921040835248493,0.9683867583567033
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.12133096464509471,-0.12134835302758402,nan,-0.12135609477293391,-0.12132166919786518,0.05921042675790904,nan,1.0,-0.12255883528651078,0.07958127395481518,-0.059210751104932666,-0.12135591700383029,0.9998636229194756,0.9999999999999944,0.0793216256311398
sin(hue),0.9999481202173164,0.9999459955119685,nan,0.9999429384697901,0.9999474769677901,-0.9979258497234147,nan,-0.12255883528651079,1.0,-0.966159372969368,0.9979249007206576,0.999942924639263,-0.1261459202070984,-0.12255881693214267,-0.9653506201579534
cos(hue),-0.9687000193460935,-0.9687458276193962,nan,-0.9687843092104429,-0.9687159548732117,0.9691499114503184,nan,0.0795812739548152,-0.966159372969368,1.0,-0.9691699298301393,-0.9687846659317442,0.0819390451767194,0.0795812620560901,0.9999903932307403
m0/gamma,0.9980535547370826,0.998050282336041,nan,0.9980464145460787,0.998054130060211,-0.9999999657839256,nan,-0.059210751104932666,0.9979249007206576,-0.9691699298301393,1.0,0.9980464251974713,-0.0628090010366535,-0.05921073269860692,-0.9684071437433635
d12,0.9999976126233509,0.9999994034442068,nan,0.9999999999985092,0.9999976317200114,-0.9980465043795361,nan,-0.12135591700383029,0.9999429246392629,-0.9687846659317442,0.9980464251974713,1.0,-0.12487925312385999,-0.1213558990425326,-0.9680102584041705
1/d12^2,-0.1248827750093623,-0.12488590760201826,nan,-0.12487943617499399,-0.12487321390607277,0.06280860569181324,nan,0.9998636229194755,-0.1261459202070984,0.0819390451767194,-0.0628090010366535,-0.12487925312385999,1.0,0.9998636212199311,0.08167218323735659
1/d12^3,-0.12133094647495857,-0.12134833496193628,nan,-0.1213560768116092,-0.12132165102912268,0.059210408352484936,nan,0.9999999999999944,-0.12255881693214268,0.0795812620560901,-0.05921073269860692,-0.12135589904253262,0.999863621219931,1.0,0.07932161377047821
cos(d_hue),-0.9679252263303559,-0.9679712660250204,nan,-0.9680098986752069,-0.9679413444860615,0.9683867583567033,nan,0.0793216256311398,-0.9653506201579534,0.9999903932307403,-0.9684071437433635,-0.9680102584041707,0.08167218323735659,0.07932161377047821,1.0
