Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,1.0,0.9999994037896759,nan,0.9999976129145934,0.9999999981893428,-0.999880284071666,nan,-0.12133018549301666,0.9999402610707414,-0.9687515632943082,0.9998801727581634,0.999997613011343,-0.12488011665392572,-0.12133020679818417,-0.9680683943883617
y,0.9999994037896759,1.0,nan,0.9999994023987164,0.999999411704685,-0.9998787861357281,nan,-0.121348667795008,0.9999382008409932,-0.9687937266931897,0.999878712578813,0.9999994024471892,-0.12488438422230455,-0.12134868897765588,-0.9681107511944855
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,0.9999976129145935,0.9999994023987165,nan,1.0,0.9999976307126212,-0.999876274674752,nan,-0.1213553156204741,0.9999348737961218,-0.9688358256143449,0.9998762360404689,0.9999999999999926,-0.12487679261074434,-0.12135533668040252,-0.9681530795539646
hue,0.9999999981893428,0.999999411704685,nan,0.9999976307126213,1.0,-0.9998804119191594,nan,-0.12132157148105031,0.999939614278365,-0.9687663945403663,0.999880308934814,0.9999976308057184,-0.12487125660368469,-0.12132159278470128,-0.9680833859119932
gamma,-0.9998802840716661,-0.999878786135728,nan,-0.999876274674752,-0.9998804119191593,1.0,nan,0.10596895679125884,-0.9998005847157201,0.9692066573238977,-0.999999975370171,-0.9998762741605385,0.10953465296481073,0.1059689781975009,0.9685264044139094
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.12133018549301668,-0.12134866779500801,nan,-0.12135531562047408,-0.12132157148105033,0.10596895679125883,nan,1.0,-0.122647813826453,0.07959993489957036,-0.10596265182157193,-0.1213553564086034,0.9998637663209675,0.9999999999999918,0.07933321603978895
sin(hue),0.9999402610707415,0.999938200840993,nan,0.9999348737961219,0.999939614278365,-0.9998005847157201,nan,-0.12264781382645301,1.0,-0.9660234745771847,0.9997992230787197,0.9999348744360217,-0.12623557780707506,-0.12264783536343031,-0.9653090057118369
cos(hue),-0.9687515632943082,-0.9687937266931899,nan,-0.9688358256143449,-0.9687663945403664,0.9692066573238978,nan,0.07959993489957036,-0.9660234745771848,1.0,-0.9692381126060138,-0.9688358101192915,0.08195702064661733,0.07959994885451817,0.9999942246824827
m0/gamma,0.9998801727581633,0.9998787125788128,nan,0.9998762360404688,0.999880308934814,-0.9999999753701712,nan,-0.10596265182157193,0.9997992230787198,-0.9692381126060139,1.0,0.9998762355166099,-0.10952761145432416,-0.10596267322289389,-0.9685581440259474
d12,0.9999976130113429,0.9999994024471891,nan,0.9999999999999926,0.9999976308057185,-0.9998762741605384,nan,-0.1213553564086034,0.9999348744360218,-0.9688358101192914,0.9998762355166099,1.0,-0.12487683450897294,-0.12135537746853912,-0.9681530640079584
1/d12^2,-0.12488011665392573,-0.12488438422230454,nan,-0.12487679261074434,-0.12487125660368469,0.10953465296481071,nan,0.9998637663209675,-0.1262355778070751,0.08195702064661735,-0.10952761145432417,-0.12487683450897295,1.0,0.9998637683126635,0.0816828443423858
1/d12^3,-0.12133020679818415,-0.12134868897765587,nan,-0.12135533668040252,-0.12132159278470128,0.10596897819750091,nan,0.9999999999999918,-0.12264783536343031,0.07959994885451818,-0.10596267322289388,-0.12135537746853912,0.9998637683126634,1.0,0.07933322994877981
cos(d_hue),-0.9680683943883617,-0.9681107511944856,nan,-0.9681530795539647,-0.968083385911993,0.9685264044139094,nan,0.07933321603978893,-0.965309005711837,0.9999942246824826,-0.9685581440259473,-0.9681530640079584,0.0816828443423858,0.07933322994877981,1.0
